Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
County Assembly,Office of the speaker,"38,389,787","16,845,218","21,544,569",43.9,149,1
,"Representation, legislative and oversight
services","546,943,330","383,376,108","163,567,222",70.1,149,1
,County Assembly Service Board,"572,867,588","260,127,875","312,739,713",45.4,149,1
,Sub total,"1,158,200,705","660,349,201","497,851,504",57.0,149,1
County Executive,"Administration, planning and support
services","435,192,154","264,755,654","170,436,500",60.8,149,1
,office of the county secretary,"39,520,000","20,793,885","18,726,115",52.6,149,1
,legal services,"25,700,000","13,206,147","12,493,853",51.4,149,1
,communication services,"44,144,924","6,222,124","37,922,800",14.1,149,1
,special programmes,"8,350,000","2,930,370","5,419,630",35.1,149,1
,public private partnership,"2,500,000","1,231,000","1,269,000",49.2,149,1
,Advisory services,"4,350,000",,"4,350,000",0.0,149,1
,County public service Board,"33,792,000","13,762,996","20,029,004",40.7,149,1
,Sub total,"593,549,078","322,902,176","270,646,902",54.4,149,1
"Administration, cooperate
services and Stakeholder
management","Administration, planning and support
services","601,610,804","415,798,340","185,812,464",69.1,149,1
,devolved units services,"65,745,650","18,386,074","47,359,576",28.0,149,1
,Human Resource development,"10,060,000","4,498,611","5,561,389",44.7,149,1
,Enforcement services,"13,300,000",,"13,300,000",0.0,149,1
,Stakeholder management,"23,808,809","4,377,877","19,430,932",18.4,149,1
,Public participation and civic Education,"13,820,000","10,577,043","3,242,957",76.5,149,1
,Disaster management,"15,130,000","4,988,735","10,141,265",33.0,149,1
,Sub total,"743,475,263","458,626,680","284,848,583",61.7,149,1
"Finance & Economic
planning","Administration, coordination and sup-
port services","1,056,699,209","773,319,590","283,379,590",73.0,150,0
,Public financial management services,"128,727,850","51,509,127","77,218,723",40.0,150,0
,County planning services,"244,819,575","88,775,755","156,043,820",36.0,150,0
,Sub total,"1,430,246,634","913,604,472","516,642,162",64.0,150,0
"Agriculture, Livestock,
Veterinary & Fisheries",Administrative and support services,"545,994,178","357,484,885","188,509,293",65.5,150,0
,crop development and value addition,"138,733,337","51,750,770","86,982,567",37.3,150,0
,Livestock development,"23,250,000","15,595,808","7,654,192",67.1,150,0
,Veterinary services,"222,500,000","168,893,245","53,606,755",75.9,150,0
,"Co-operative development and manage-
ment","2,250,000","1,125,000","1,125,000",50.0,150,0
,Fisheries development,"48,000,000","19,203,740","28,796,260",40.0,150,0
,Kisii agricultural training centre,"12,927,550","3,407,540","9,520,010",26.4,150,0
,Sub total,"993,655,065","617,460,988","376,194,077",62.1,150,0
"Energy, Environment And
Natural Resources",Administration and planning services,"136,621,579","74,680,317","61,941,262",54.7,150,0
,Water and sanitation services,"320,619,861","85,438,621","235,181,240",26.6,150,0
,Environment management,"22,000,000","7,439,546","14,560,454",33.8,150,0
,Energy services,"8,550,000","3,839,500","4,710,500",44.9,150,0
,Sub total,"487,791,440","171,397,984","316,393,456",35.1,150,0
"Education, Youth Affairs
& Social Development","General administration and planning
services","614,572,043","342,018,068","272,553,975",55.7,150,0
,Early childhood development education,"42,966,201","11,902,631","31,063,570",27.7,150,0
,Vocational training,"159,958,902","90,205,171","69,753,731",56.4,150,0
,Sub total,"817,497,146","444,125,870","373,371,276",54.3,150,0
County Health Services,Medical services,"4,080,255,441","2,364,312,879","1,715,942,562",57.9,150,0
,Public health,"14,950,000","5,551,978","9,398,022",37.1,150,0
,Sub total,"4,095,205,441","2,369,864,857","1,725,340,584",57.9,150,0
"Lands, Physical Planning
and Urban Development","Administration, planning and support
services","76,485,904","50,164,027","26,321,877",65.6,150,0
,Land use services,"118,500,000","91,879,530","26,620,470",77.5,150,0
,Urban development,"47,261,501","22,150,673","25,110,828",46.9,150,0
,Sub total,"242,247,405","164,194,230","78,053,175",67.8,150,0
"Roads, Public Works,
Transport and Housing","General administration and planning
services","108,895,000","75,091,969","33,803,031",69.0,150,0
,Roads development,"1,069,470,039","336,141,173","733,328,866",31.4,150,0
,Public works,"90,712,706","23,393,642","67,319,064",25.8,150,0
,Housing services,"5,800,000",,"5,800,000",0.0,150,0
,Sub total,"1,274,877,745","434,626,784","840,250,961",34.1,150,0
"Trade, Tourism, Cooper-
atives and Enterprise De-
velopment",Administration and planning services,"204,699,806","83,821,145","120,878,661",40.9,150,0
,Tourism development,"14,271,000","4,137,402","10,133,598",29.0,150,0
,Weights and measures,"2,550,000","1,629,400","920,600",63.9,150,0
,Liquor licensing,"1,950,000","1,380,000","570,000",70.8,150,0
,Betting and gaming,"8,050,000","4,466,224","3,583,776",55.5,150,0
,Sub total,"231,520,806","95,434,171","136,086,635",41.2,150,0
