Program,Sub Program,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),Absorption %,page_number,table_index
,Road construction,"837,558,077","384,971,166","452,586,911",46.0,114,0
"Administrative, planning and support services",,-,"2,828,972","(2,828,972)",-,114,0
,"Administrative, planning and support services",-,"2,828,972","(2,828,972)",-,114,0
Energy Reticulation,,"100,000,000","24,265,156","75,734,844",24.3,114,0
,Rural Electrification,"100,000,000","24,265,156","75,734,844",24.3,114,0
Public works Management,,"48,205,954","32,368,473","15,837,481",67.1,114,0
,Public works Management,"48,205,954","32,368,473","15,837,481",67.1,114,0
"Administration, Planning and support services",,"24,118,761","10,457,213","13,661,548",43.4,114,0
,Administration Support Services,"24,118,761","10,457,213","13,661,548",43.4,114,0
Trade Development and Investment,,"132,400,362","32,824,345","99,576,017",24.8,114,0
,Modern Market Infrastructure,"126,400,362","32,824,345","93,576,017",26.0,114,0
,Trade Financing,"6,000,000",-,"6,000,000",-,114,0
Tourism Development and Marketing,,"33,836,437","10,207,158","23,629,279",30.2,114,0
,Development of Local Content Niche Tourism,"33,836,437","10,207,158","23,629,279",30.2,114,0
Industrial development and investment,,"193,638,459","58,696,455","134,942,004",30.3,115,0
,Industrial Development and Promotion,"126,138,459","18,876,455","107,262,004",15.0,115,0
,SME and Cottage industry development,"67,500,000","39,820,000","27,680,000",59.0,115,0
Preventive and promotive services,,"172,247,625","20,502,575","151,745,050",11.9,115,0
,Community Health Strategy,"48,000,000","12,318,240","35,681,760",25.7,115,0
,Diseases surveillance & Emergency response,"5,000,000","1,383,635","3,616,365",27.7,115,0
,Nutrition service Promotion,"2,000,000","126,000","1,874,000",6.3,115,0
,HIV /AIDS Control,"2,000,000","366,000","1,634,000",18.3,115,0
,Maternal and child healthcare promotion,"107,321,625","1,955,500","105,366,125",1.8,115,0
,TB Control,"2,000,000","879,900","1,120,100",44.0,115,0
,Malaria control,"1,926,000",-,"1,926,000",-,115,0
,Promotion of family planning,"4,000,000","3,473,300","526,700",86.8,115,0
Curative services,,"1,874,042,224","1,158,534,114","715,508,110",61.8,115,0
,Curative services,"973,967,631","667,072,881","306,894,750",68.5,115,0
,Community Health Strategy,"885,074,593","476,461,233","408,613,360",53.8,115,0
,Disease Surveillance and Response,"15,000,000","15,000,000",-,100.0,115,0
"Administrative, planning and support services",,"70,305,750","28,471,479","41,834,271",40.5,115,0
,"Administrative, planning and support services","53,231,750","22,103,979","31,127,771",41.5,115,0
,Disability mainstreaming,"1,000,000","437,400","562,600",43.7,115,0
,Health Data and Information Management,"16,074,000","5,930,100","10,143,900",36.9,115,0
Vocational Education and Training development,,"97,298,893","47,396,778","49,902,115",48.7,115,0
,Polytechnic Support and Development,"97,298,893","47,396,778","49,902,115",48.7,115,0
Early Childhood Development Education (ECDE),,"347,355,595","220,061,002","127,294,594",63.4,115,0
,ECD Infrastructure Development,"227,000,000","119,731,004","107,268,997",52.7,115,0
,SP2 ECD education improvement and Support,"120,355,595","100,329,998","20,025,597",83.4,115,0
Education Support Programme,,"219,582,721","187,605,814","31,976,907",85.4,115,0
,Education Financial Support,"219,582,721","187,605,814","31,976,907",85.4,115,0
Polytechnic Improvement,,"115,000,000","21,999,000","93,001,000",19.1,115,0
,Polytechnic Tuition Subsidy,"115,000,000","21,999,000","93,001,000",19.1,115,0
Management of county affairs,,"178,264,286","98,013,614","80,250,672",55.0,115,0
,County executive services,"178,264,286","98,017,752","80,246,534",55.0,115,0
Coordination and supervisory services,,"18,650,480","2,969,074","15,681,406",15.9,115,0
,Coordination and supervisory services,"18,650,480","2,969,074","15,681,406",15.9,115,0
Information and communication services,,"231,162,028","93,994,524","137,167,504",40.7,115,0
,Information and communication services,"231,162,028","93,994,524","137,167,504",40.7,115,0
Economic and policy formulation and management planning,,"46,415,412","23,180,809","23,234,603",49.9,115,0
,"Economic and policy formulation and manage-
ment planning","46,415,412","23,180,809","23,234,603",49.9,115,0
Public finance management,,"195,510,054","105,381,501","90,128,553",53.9,115,0
,Public finance management,"90,609,000","38,100,785","52,508,215",42.0,115,0
,Financial Accounting and Reporting,"49,521,250","32,732,084","16,789,166",66.1,115,0
,Budget Formulation and management,"41,580,354","28,660,641","12,919,713",68.9,115,0
,Revenue Mobilization,"13,799,450","5,887,991","7,911,459",42.7,115,0
Coordination and supervisory services,,"64,759,448","31,645,881","33,113,567",48.9,115,0
,Coordination and supervisory services,"45,686,537","22,942,933","22,743,604",50.2,115,0
