col_0,Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index,Programme,Sub- Programme,Absorption (%)
020600,Mining efficiency,"1, 170, 000","206, 160","963, 840",17.6,158,0,,,
,Sub total,,,,,158,0,,,
Grand Total,,"12, 056, 138, 368","6, 383, 784, 853","5, 672, 353, 515",53.0,158,0,,,
,,,,,,162,1,Office of the Governor,,
,,-,"19,063,868","(19,063,868)",,162,1,General Administration & Planning,704023710,∞
,,"123,581,369","92,630,521","30,950,848",,162,1,General Administration & Planning,702013710,75.0
,,"36,428,979","26,379,263","10,049,716",,162,1,Procurement,704023710,72.4
,,"50,899,990","26,556,456","24,343,534",,162,1,General Administration & Planning,705013710,52.2
,,"1,179,319,481","442,866,505","736,452,976",,162,1,General Administration & Planning,701013710,37.6
,,"1,390,229,819","607,496,613","782,733,206",,162,1,,Sub total,43.7
,,,,,,162,1,Public Service Management and Administration,,
,,"1,225,000","1,225,000",-,,163,0,Coordination & Programmes Tracking,706013710,100.0
,,"121,560,777","73,183,749","48,377,028",,163,0,Coordination & Administrative Services,705013710,60.2
,,"147,430,212","79,922,235","67,507,977",,163,0,Coordination & Administrative Services,706013710,54.2
,,"139,917,282","69,291,822","70,625,460",,163,0,General Administration & Planning,701013710,49.5
,,"410,133,271","223,622,806","186,510,465",,163,0,,Sub total,54.5
,,,,,,163,0,"Agriculture, Water & Livestock Development",,
,,"68,773,276","66,149,154","2,624,122",,163,0,Water,111033710,96.2
,,"282,101,753","258,617,387","23,484,366",,163,0,General Administration And Planning,101013710,91.7
,,"68,730,467","46,587,462","22,143,005",,163,0,Agriculture,103013710,67.8
,,"499,274,938","277,810,031","221,464,907",,163,0,Water,111013710,55.6
,,"151,365,933","78,350,632","73,015,301",,163,0,Water,111023710,51.8
,,"33,721,569","15,967,191","17,754,378",,163,0,Agriculture,101029999,47.4
,,"24,061,894","10,028,067","14,033,827",,163,0,Livestock Production,106023710,41.7
,,"434,138,983","138,096,062","296,042,921",,163,0,Agriculture,102013710,31.8
,,"18,435,411","5,631,293","12,804,118",,163,0,Livestock Production,106013710,30.5
,,"7,567,447","2,238,174","5,329,273",,163,0,Agriculture,104013710,29.6
,,"1,464,888","275,085","1,189,803",,163,0,Fisheries,105013710,18.8
,,"39,570,555",-,"39,570,555",,163,0,Agriculture,103023710,0.0
,,"1,629,207,114","899,750,538","729,456,576",,163,0,,Sub total,55.2
,,,,,,163,0,"Basic Education, ICT & Youth Development",,
,,"273,299,411","225,047,647","48,251,764",,163,0,Basic Education,501013710,82.3
,,"28,231,500","15,030,614","13,200,886",,163,0,,505013710,53.2
,,"25,726,261","6,273,968","19,452,293",,163,0,Basic Education,502013710,24.4
,,"93,547,181","22,731,880","70,815,301",,163,0,General Administration And Planning,501013710,24.3
,,"58,683,923","11,956,859","46,727,064",,163,0,Training And Skills Development,506013710,20.4
,,"157,405,981","30,201,175","127,204,806",,163,0,Training And Skills Development,503013710,19.2
,,"636,894,257","311,242,143","325,652,114",,163,0,,Sub total,48.9
,,,,,,163,0,"Lands, Infrastructure, Housing & Urban Development",,
,,"11,338,040","9,661,225","1,676,815",,163,0,Survey And Mapping,108023710,85.2
,,"38,316,659","21,079,310","17,237,349",,163,0,"Roads, Transport And Mechanical Services",203013710,55.0
,,"22,860,135","12,411,120","10,449,015",,163,0,Housing,109013710,54.3
,,"116,725,577","63,076,088","53,649,489",,163,0,General Administration And Planning,101013710,54.0
,,"11,650,000","6,052,667","5,597,333",,163,0,Land Adjudication And Settlement,108023710,52.0
,,"18,984,774","8,219,105","10,765,669",,163,0,Physical Planning,108013710,43.3
,,"25,646,196","10,742,829","14,903,367",,163,0,Housing,107013710,41.9
,,"618,345,270","241,851,964","376,493,306",,163,0,"Roads, Transport And Mechanical Services",110013710,39.1
,,"2,500,000",-,"2,500,000",,163,0,Public Works,109013710,0.0
,,"866,366,651","373,094,308","493,272,343",,163,0,,Sub total,43.1
,,,,,,163,0,Health & Sanitation,,
,,-,"775,413","(775,413)",,163,0,General Administration & Planning,401033710,∞
,,"32,634,788","35,070,974","(2,436,186)",,163,0,Public Health,403013710,107.5
,,"425,835,263","397,787,605","28,047,658",,163,0,General Administration & Planning,401013710,93.4
,,"1,785,773,305","1,602,650,229","183,123,076",,163,0,Medical Services,402013710,89.7
,,"212,494,501","163,030,131","49,464,370",,163,0,Rural Health Services,402013710,76.7
,,"3,625,129","2,560,026","1,065,103",,163,0,Public Health,403033710,70.6
,,"446,896,946","304,067,368","142,829,578",,163,0,Medical Services,403023710,68.0
,,"295,960,939","169,765,274","126,195,665",,163,0,Rural Health Services,402033710,57.4
,,"1,678,948","902,072","776,876",,163,0,Health Promotion & Disease Control,404013710,53.7
,,"2,282,640","1,174,033","1,108,607",,163,0,Public Health,403023710,51.4
,,"146,059,341","74,968,339","71,091,002",,163,0,Rural Health Services,404023710,51.3
,,"54,435,207","25,363,703","29,071,504",,163,0,General Administration & Planning,401023710,46.6
,,"11,204,218","3,092,068","8,112,150",,163,0,Medical Services,402023710,27.6
,,"22,499,906","(4,694,754)","27,194,660",,163,0,Rural Health Services,404043710,-20.9
,,"26,062,500","(8,528,100)","34,590,600",,163,0,Medical Services,404033710,-32.7
,,"3,467,443,631","2,767,984,381","699,459,250",,163,0,,Sub total,79.8
,,,,,,163,0,"Trade, Cooperatives & Investments",,
,,-,"730,600","(730,600)",,163,0,Trade & Markets,303013710,∞
,,"65,373,790","56,285,031","9,088,759",,163,0,Trade & Markets,303023710,86.1
,,"76,269,260","57,319,672","18,949,588",,163,0,Cooperatives,304023710,75.2
,,"230,665,995","109,793,435","120,872,560",,163,0,Cooperatives,304013710,47.6
,,"43,227,140","16,351,508","26,875,632",,164,0,Trade & Markets,301013710,37.8
,,"145,319,193","52,584,220","92,734,973",,164,0,General Administration & Planning,301013710,36.2
,,"560,855,378","293,064,466","267,790,912",,164,0,,Sub total,52.3
,,,,,,164,0,Environment & Natural Resources,,
,,"1,835,509","1,156,390","679,119",,164,0,Mineral Resources,1008013710,63.0
,,"15,248,950","8,239,865","7,009,085",,164,0,Mineral Resources,1007013710,54.0
,,"8,052,449","3,977,667","4,074,782",,164,0,Environment,1003013710,49.4
,,"45,685,842","21,934,884","23,750,958",,164,0,General Administration & Planning,1001013710,48.0
,,"18,329,418","8,636,822","9,692,596",,164,0,Mineral Resources,1003013710,47.1
,,"10,575,554","4,761,337","5,814,217",,164,0,Mineral Resources,1003023710,45.0
,,"3,221,570","1,374,148","1,847,422",,164,0,Energy,1005013710,42.7
,,"5,749,822","1,499,770","4,250,052",,164,0,Environment,1004013710,26.1
,,"19,072,421","4,314,256","14,758,165",,164,0,Environment,1002013710,22.6
,,"7,639,792","1,629,492","6,010,300",,164,0,Mineral Resources,1003043710,21.3
,,"95,881,509","12,499,020","83,382,489",,164,0,Energy,1006013710,13.0
,,"231,292,836","70,023,651","161,269,185",,164,0,,Sub total,30.3
