Programme,"Sub Pro-
gramme",Description,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,725029999,Board Management Service,-,-,-,-,325,0
729000000,,Audit Services,-,-,-,-,325,0
,729029999,"County Governments
Audit",-,-,-,-,326,0
901000000,,Sports,-,-,-,-,326,0
,901019999,"Sports Training and com-
petitions",-,-,-,-,326,0
901004610,,"Social Development and
Children Services","300,789,292","140,540,148","160,249,144",46.7,326,0
,901014610,"Gender and Youth Devel-
opment","29,739,090","21,000,000","8,739,090",70.6,326,0
,901024610,"Social Assistance to Vul-
nerable Groups","21,646,436","10,000,000","11,646,436",46.2,326,0
,901034610,"Development and Promo-
tion of culture","19,710,027","15,138,000","4,572,027",76.8,326,0
,901044610,"Development and Manage-
ment of sports facilities","103,900,562","94,402,148","9,498,414",90.9,326,0
,901054610,Sports Services,-,-,-,-,326,0
,901064610,"Voluntary Training Ser-
vices","125,793,177",-,"125,793,177",-,326,0
907000000,,"Manpower Development,
Employment and Produc-
tivity Management",-,-,-,-,326,0
,907019999,"Human Resource Planning
& Development",-,-,-,-,326,0
1.001E+09,,"General Administration,
Planning and Support
Services",-,-,-,-,326,0
,1.001E+09,"Environmental Policy
Management",-,-,-,-,326,0
1.002E+09,,"Environment Manage-
ment and Protection","360,226,420","280,000,000","80,226,420",77.7,326,0
,1.002E+09,"Forests Conservation and
Management","360,226,420","280,000,000","80,226,420",77.7,326,0
1.003E+09,,"Natural Resources Con-
servation and Manage-
ment",-,-,-,-,326,0
,1.003E+09,"Wildlife Conservation and
Security",-,-,-,-,326,0
Grand Total,,,"12,867,093,076","4,122,078,453","8,745,014,622",32.0,326,0
