Program,Sub Program,"Approved Budget
(Kshs.)","Expenditure
(Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Agriculture
and Livestock
Development","Administration, planning support
services","11,894,318","4,049,300","7,845,018",34.0,380,0
,"Administration, planning support
services","11,894,318","4,049,300","7,845,018",34.0,380,0
,Agricultural Development project,"335,729,460","5,671,538","330,057,922",1.7,380,0
,"Agricultural Mechanization Services
(AMS Garsen station)","4,642,250","3,270,090","1,372,160",70.4,380,0
,Minor/Village irrigation schemes,"40,000,000",-,"40,000,000",0.0,380,0
,Major irrigation,"96,761,829","1,150,309","95,611,520",1.2,380,0
,Acquisition of certified seeds,"3,369,000","1,019,139","2,349,861",30.3,380,0
,Extension services,"177,635,775",-,"177,635,775",0.0,380,0
,"Agriculture Sector Development
Support Project (ASDSP)","12,660,606",-,"12,660,606",0.0,380,0
,Food and Agriculture Organization,"660,000","232,000","428,000",35.2,380,0
,Veterinary Development,"28,716,909","1,234,830","27,482,079",4.3,380,0
,Veterinary extension services,"1,818,750","213,200","1,605,550",11.7,380,0
,"Artificial insemination (Pilot
scheme)","1,131,500","266,500","865,000",23.6,380,0
,"Buy Tsetse fly traps/Targets (Kipini,
Tarasaa)","2,094,436","463,850","1,630,586",22.2,380,0
,County Housing Development,"133,942,390","287,500","133,654,890",0.2,380,0
,Housing Development,"3,741,390","287,500","3,453,890",7.7,380,0
,Urbanization,"130,201,000",-,"130,201,000",0.0,380,0
,Urban Development,"18,620,000","10,016,605","8,603,396",53.8,380,0
,Hola Municipality,"18,620,000","10,016,605","8,603,396",53.8,380,0
"Trade & Tourism
Development","Promotion of Trade, Tourism and
Cooperative Development","32,795,171","5,402,278","27,392,893",16.5,380,0
,Promotion of Trade,"23,147,586","2,493,540","20,654,046",10.8,380,0
,Promotion of Tourism,"5,788,551","1,790,180","3,998,371",30.9,380,0
,"Promotion of Cooperative Develop-
ment","3,859,035","1,118,558","2,740,477",29.0,380,0
,"Administration and Support
Services","896,660,925","267,707,440","628,953,485",29.9,380,0
,"Administration, planning & support
Services","896,660,925","267,707,440","628,953,485",29.9,380,0
Medical Services,Curative and Rehabilitative,"319,624,948","138,879,202","180,745,745",43.5,380,0
,Medical Supplies,"72,074,948","73,434,017","(1,359,070)",101.9,380,0
,Medical Services,"33,950,000","6,065,470","27,884,530",17.9,380,0
,Ambulance Services,"61,600,000","54,407,625","7,192,375",88.3,380,0
,SP4 Curative Services,"152,000,000","4,972,090","147,027,910",3.3,380,0
,Preventive and Promotive,"11,950,000","7,270,466","4,679,534",60.8,380,0
,Preventive and Promotive,"6,900,000","3,079,666","3,820,334",44.6,380,0
,"Licensing and Control of Undertak-
ing","2,550,000","2,530,150","19,850",99.2,380,0
,Mobile Clinics,"2,500,000","1,660,650","839,350",66.4,380,0
"Education & Vo-
cational Training","General Administration, Planning
and Support services","80,292,548","78,113,192","2,179,356",97.3,380,0
,"General operation, Planning and
support services","80,292,548","78,113,192","2,179,356",97.3,380,0
,"Quality and Standard Assurance in
EYE Canter","45,916,657","4,335,988","41,580,669",9.4,381,0
,ECDE Learning/Teaching Materials,"13,181,562","2,160,200","11,021,362",16.4,381,0
,"ECDE Furniture and Equipment
Support","32,735,095","2,175,788","30,559,307",6.7,381,0
,"Vocational Training Canters and
Adult Education","49,354,899","34,479,588","14,875,311",69.9,381,0
,Quality and Standards Assurance,"4,173,188","1,379,209","2,793,979",33.1,381,0
,"Provision of Modern Tools and
Equipment","15,506,817","3,426,332","12,080,485",22.1,381,0
,"Subsidised Youth Polytechnic Tuition
Fund (SYPT)","29,674,894","29,674,047",847,100.0,381,0
,"Administration, planning support
services","248,433,313","81,955,095","166,478,218",33.0,381,0
,"Coordination and Supervisory
Services","248,433,313","81,955,095","166,478,218",33.0,381,0
,ICT Infrastructure,"24,000,000",-,"24,000,000",0.0,381,0
,Develop ICT infrastructure,"24,000,000",-,"24,000,000",0.0,381,0
Finance,"Administration, planning support
services","1,443,978,911","710,133,194","733,845,717",49.2,381,0
,"Administration, planning support
services","1,443,978,911","710,133,194","733,845,717",49.2,381,0
,Financial Management,"125,311,182","60,713,393","64,597,789",48.5,381,0
,Financial management,"3,114,349","2,902,020","212,329",93.2,381,0
,Supply Chain Managements,"14,950,000","7,730,600","7,219,400",51.7,381,0
,Own Source Revenue Collection,"23,060,000","4,767,477","18,292,523",20.7,381,0
,Budget and Economic Planning,"43,365,695","23,068,380","20,297,315",53.2,381,0
,Accounting & Finance,"16,600,000","9,847,206","6,752,794",59.3,381,0
,Internal Audit,"8,809,695","5,217,725","3,591,970",59.2,381,0
"Public Service
Board",Monitoring and Evaluation,"15,411,443","7,179,985","8,231,458",46.6,381,0
,"Board Administration, Planning
and Governance","54,585,403","15,865,230","38,720,173",29.1,381,0
,Board Operations & Governance,"54,585,403","15,865,230","38,720,173",29.1,381,0
,,"5,834,250","3,452,090","2,382,160",59.2,381,0
,Ethics Governance and Compliance,"2,684,250","1,317,190","1,367,060",49.1,381,0
,"Human Resource Management &
Development","1,600,000","930,800","669,200",58.2,381,0
,Skills and Competence Development,"1,550,000","1,204,100","345,900",77.7,381,0
,,"151,583,384","845,320","150,738,064",0.6,381,0
,Performance Management System,"2,600,000","480,720","2,119,280",18.5,381,0
,Human Resource Development,"148,983,384","364,600","148,618,784",0.2,381,0
,,"64,450,000","48,148,900","16,301,100",74.7,381,0
,County Administration,"50,450,000","47,505,100","2,944,900",94.2,381,0
,County Enforcement,"14,000,000","643,800","13,356,200",4.6,381,0
,,"7,500,000","593,600","6,906,400",7.9,381,0
,Citizen Participation,"7,500,000","593,600","6,906,400",7.9,381,0
,,"79,633,600","28,265,517","51,368,083",35.5,381,0
,"County Leadership & Coordination
of CDAs","26,250,000","9,592,656","16,657,344",36.5,381,0
,"County Government Advisory
Service","39,133,600","11,862,261","27,271,339",30.3,381,0
,Coordination of Peace and Cohesion,"14,250,000","6,810,600","7,439,400",47.8,381,0
,"Administration, planning support
services","41,594,120","4,872,809","36,721,311",11.7,381,0
,"Administration, planning support
services","41,594,120","4,872,809","36,721,311",11.7,382,0
Environment,"Natural Disaster mitigation pro-
gramme","138,665,375","134,374,775","4,290,600",96.9,382,0
,"Drought management (Prepared-
ness, Response and Recovery)","2,500,000","2,209,400","290,600",88.4,382,0
,"Emergency Relief (food, medicine,
blankets, cash grant)","136,165,375","132,165,375","4,000,000",97.1,382,0
,,"15,525,000","999,900","14,525,100",6.4,382,0
,"Culture Promotion and Develop-
ment","10,400,000","543,700","9,856,300",5.2,382,0
,"Empowerment/Capacity Building of
Cultural Practitioners","5,125,000","456,200","4,668,800",8.9,382,0
,,"2,725,000","35,000","2,690,000",1.3,382,0
,Baseline Survey for OVC,"1,300,000","35,000","1,265,000",2.7,382,0
,"Community Awareness Creation on
Child Rights and Child Protection","975,000",-,"975,000",0.0,382,0
,Enhanced Child Participation,"450,000",-,"450,000",0.0,382,0
,,"11,560,000",-,"11,560,000",0.0,382,0
,Women Empowerment,"850,000",-,"850,000",0.0,382,0
,Gender and Leadership,"10,710,000",-,"10,710,000",0.0,382,0
,,"27,332,280","101,600","27,230,680",0.4,382,0
,County Sports Leagues,"1,332,280","101,600","1,230,680",7.6,382,0
,Sports Equipment Support,"26,000,000",-,"26,000,000",0.0,382,0
,"General Administration, Support
and Support Services","17,762,228","4,848,600","12,913,628",27.3,382,0
,"General Administration, Support
and Support Services","17,762,228","4,848,600","12,913,628",27.3,382,0
,"Environmental Management Pro-
gramme","23,709,713","13,482,360","10,227,353",56.9,382,0
,"Environmental Management Pro-
gramme","16,705,550","11,792,360","4,913,190",70.6,382,0
,Environmental Protection,"6,396,570","1,620,000","4,776,570",25.3,382,0
,Control of Air Pollution,"607,593","70,000","537,593",11.5,382,0
,,"264,700,483","8,010,800","256,689,683",3.0,382,0
,Water Management Services,"258,915,175","6,780,800","252,134,375",2.6,382,0
,Sanitation,"3,948,040","200,000","3,748,040",5.1,382,0
,Storm Water Management,"1,837,268","1,030,000","807,268",56.1,382,0
,,"1,438,400","468,400","970,000",32.6,382,0
,Irrigation Management Services,"1,438,400","468,400","970,000",32.6,382,0
,Grand Total,"8,117,948,522","1,652,837,121","6,465,111,401",20.4,382,0
