col_0,"Budget Execution by Program FY
2021/22","Approved Budget FY
2021/22","Actual Expendi-
ture Half Year FY
2021/22","Variance
(Kshs.)","Absorption
%",page_number,table_index
4261,"Agriculture, Livestock","880,763,980","209,894,803","670,869,177",23.8,397,1
P1,Crop Development,"604,532,234","49,090,484","555,441,750",8.1,397,1
Sp1.1,Crop Diversification,"531,017,155","49,090,484","481,926,671",9.2,397,1
Sp1.2,"Post-Harvest Management and Value
Addition","73,515,079",-,"73,515,079",-,397,1
P2,Administrative and Support Services,"276,231,746","160,804,319","115,427,427",58.2,397,1
Sp2.1,Administrative and Support Services,"276,231,746","160,804,319","115,427,427",58.2,397,1
4262,"Trade, Commerce and Industry","152,723,901","24,845,099","127,878,802",16.3,397,1
P1,Medium and Small Enterprises,"89,257,025",-,"89,257,025",-,397,1
Sp1.1,Medium and Small Enterprises,"89,257,025",-,"89,257,025",-,397,1
P2,Administrative and Support Services,"63,466,876","24,845,099","38,621,777",39.2,397,1
Sp2.1,Administrative and Support Services,"63,466,876","24,845,099","38,621,777",39.2,397,1
4263,"Water, Environment and Natural Re-
sources","358,563,684","132,204,788","226,358,896",36.9,397,1
P1,"Environment Management and Pro-
tection","260,069,115","97,733,953","162,335,162",37.6,397,1
Sp1.1,Waste Management,"260,069,115","97,733,953","162,335,162",37.6,397,1
P2,Administrative and Support Services,"98,494,569","34,470,835","64,023,735",35.0,397,1
Sp2.1,Administrative and Support Services,"98,494,569","34,470,835","64,023,735",35.0,397,1
4264,"Public Works, Roads and Infrastructure","619,817,302","182,352,235","437,465,067",29.4,397,1
P1,"Road Construction and Road Mainte-
nance","417,879,433","144,695,113","273,184,320",34.6,397,1
Sp1.1,Maintenance of Roads,"417,879,433","144,695,113","273,184,320",34.6,397,1
P2,Administrative and Support Services,"201,937,869","37,657,122","164,280,747",18.7,397,1
Sp2.1,Administrative and Support Services,"201,937,869","37,657,122","164,280,747",18.7,397,1
4266,"Lands, Housing and Urban Planning","198,021,203","17,971,485","180,049,718",9.1,397,1
P1,Administrative and Support Services,"198,021,203","17,971,485","180,049,718",9.1,397,1
Sp1.1,Administrative and Support Services,"198,021,203","17,971,485","180,049,718",9.1,397,1
4267,"Gender, Sports, Culture and Tourism","277,299,082","34,411,656","242,887,426",12.4,397,1
