Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance (Kshs.),Absorption (%),page_number,table_index
OFFICE OF THE GOVERNOR,,,,,,228,1
Sub-programme 1,Office of the Governor,"350,581,992","184,447,837","166,134,155",52.6%,228,1
Sub-programme 2,Transport Services,"28,492,459","12,347,010","16,145,449",43.3%,228,1
Sub-programme 3,"Human Resource and Administra-
tion Section","84,050,981","35,208,115","48,842,866",41.9%,228,1
Sub-programme 4,ICT Section,"13,387,204","2,093,928","11,293,276",15.6%,228,1
Sub-programme 5,Hospitality Services Section,"14,580,000","5,860,959","8,719,041",40.2%,228,1
Sub-programme 6,Cabinet Office,"6,493,175","2,801,180","3,691,995",43.1%,228,1
Sub-programme 7,Office of the Deputy Governor,"36,000,000","7,562,945","28,437,055",21.0%,228,1
Sub-programme 8,"Directorate of Projects Delivery,
Monitoring and Evaluation","13,759,080","2,400,000","11,359,080",17.4%,228,1
Sub-programme 9,Office of the County Secretary,"8,889,914","1,173,114","7,716,800",13.2%,228,1
"Sub-programme
10",Office of the County Advisors,"8,954,060","4,297,806","4,656,254",48.0%,228,1
TOTAL,,"565,188,865","258,192,894","306,995,971",45.7%,228,1
COUNTY PUBLIC SERVICE BOARD,,,,,,228,1
Sub-programme 1,"Human Resource and Administra-
tion","49,763,200","2,169,200","47,594,000",4.4%,228,1
TOTAL,,"49,763,200","2,169,200","47,594,000",4.4%,228,1
"ROADS, TRANSPORT AND PUBLIC WORKS",,,,,,228,1
Sub-programme 1,"Head quarter Administrative ser-
vices","299,163,881","72,734,079","226,429,802",24.3%,228,1
Sub-programme 2,"Road Development and Manage-
ment","535,727,222","47,730,990","487,996,232",8.9%,228,1
Sub-programme 3,County Government Buildings,"160,203,238","39,996,790","120,206,448",25.0%,228,1
Sub-programme 4,County Fleet Management,"93,000,000","30,855,074","62,144,926",33.2%,228,1
TOTAL,,"1,088,094,341","191,316,933","896,777,408",17.6%,228,1
HEALTH AND EMERGENCY SERVICES,,,,,,228,1
Sub-programme 1,"General Administration and sup-
port services","3,606,276,998","2,151,726,013","1,454,550,985",59.7%,228,1
Sub-programme 2,Machakos Level 5,"299,179,767","167,751,033","131,428,734",56.1%,228,1
Sub-programme 3,Kangundo Level 4,"62,737,223","5,750,000","56,987,223",9.2%,228,1
Sub-programme 4,Matuu Level 4,"53,879,413","3,944,965","49,934,448",7.3%,228,1
Sub-programme 5,Kathiani Level 4,"42,986,275","5,429,595","37,556,680",12.6%,229,0
Sub-programme 6,Mwala Level 4,"29,716,422","1,530,000","28,186,422",5.1%,229,0
Sub-programme 7,Kimiti Level 4,"14,446,569",-,"14,446,569",0.0%,229,0
Sub-programme 8,Masinga Level 4,"14,546,569",-,"14,546,569",0.0%,229,0
Sub-programme 9,Athi River Level 4,"14,446,569",-,"14,446,569",0.0%,229,0
"Sub-programme
10",Mutituni Level 4,"14,446,569",-,"14,446,569",0.0%,229,0
"Sub-programme
11",Ndithini Level 4,"14,446,569",-,"14,446,569",0.0%,229,0
"Sub-programme
12",Kalama Level 4,"14,396,569",-,"14,396,569",0.0%,229,0
"Sub-programme
13","Public Health and Community
Outreach","230,761,382","47,341,884","183,419,498",20.5%,229,0
"Sub-programme
14",Emergency Services,"11,495,381",-,"11,495,381",0.0%,229,0
TOTAL,,"4,423,762,274","2,383,473,490","2,040,288,784",53.9%,229,0
"WATER, IRRIGATION,ENVIRONMENT AND NATURAL RESOURCES",,,,,,229,0
Sub-programme 1,Water Supply and Sewerage,"189,616,575","10,020,277","179,596,298",5.3%,229,0
Sub-programme 2,"Irrigation Schemes, Development
and Promotion","66,538,486",-,"66,538,486",0.0%,229,0
Sub-programme 3,"Development and Promotion of Ir-
rigation Schemes","85,585,853","3,103,372","82,482,481",3.6%,229,0
Sub-programme 4,"Environment and Natural Resourc-
es","81,586,368","1,526,235","80,060,133",1.9%,229,0
TOTAL,,"423,327,282","14,649,884","408,677,398",3.5%,229,0
"AGRICULTURE, FOOD SECURITY AND CO-OPERATIVE DEVELOPMENT",,,,,,229,0
Sub-programme 1,"General Administration and sup-
port services","663,991,187","112,925,359","551,065,828",17.0%,229,0
Sub-programme 2,"Crop Development and Manage-
ment","53,150,000","2,502,421","50,647,579",4.7%,229,0
Sub-programme 3,"Livestock Resources Management
and Development","13,810,000","2,798,730","11,011,270",20.3%,229,0
Sub-programme 4,Fisheries Development,"5,050,000",-,"5,050,000",0.0%,229,0
Sub-programme 5,Veterinary Services,"13,469,664","88,400","13,381,264",0.7%,229,0
Sub-programme 6,Agriculture Training Centre,"5,550,000",-,"5,550,000",0.0%,229,0
Sub-programme 7,"Co-operative Development and
Marketing","4,153,251",-,"4,153,251",0.0%,229,0
Sub-programme 8,"Capacity Building to Co-operative
Societies","2,692,000","998,400","1,693,600",37.1%,229,0
Sub-programme 7,"Promotion of Co-operative Mar-
keting and Value Chain","38,561,000","515,000","38,046,000",1.3%,229,0
