Programme,Sub0 Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index,Sub- Programme,Variance
Sub0totals,,"906,409,679","338,511,911","567,897,768",37.3,79,0,,
Grand Total,,"10,230,377,635","2,839,609,212","7,390,768,423",27.8,79,0,,
County Assembly,,,,,,84,0,,
"General administration, planning and support
services",,"354,591,122.00","92,958,457.00",,26,84,0,,"261,632,665.00"
,,"354,591,122.00","92,958,457.00",,26,84,0,"General administration,
planning and support ser-
vices","261,632,665.00"
Legislation and representation,,"129,484,400.00","32,396,916.00",,25,84,0,,"97,087,484.00"
,,"129,484,400.00","32,396,916.00",,25,84,0,"Legislation and represen-
tation","97,087,484.00"
Legislative oversight,,"109,179,450.00","26,401,403.00",,24,84,0,,"82,778,047.00"
,,"109,179,450.00","26,401,403.00",,24,84,0,Legislative oversight,"82,778,047.00"
Sub Total for County Assembly,,"593,254,972.00","151,756,776.00",,26,84,0,,"441,498,196.00"
Office Of The Governor,,,,,,84,0,,
General administration and support services,,"119,625,732","57,728,325.00",,48,84,0,,"61,897,407"
,,"119,625,732","57,728,325.00",,48,84,0,"General administration
and support services","61,897,407"
Governance,,"74,717,982.00","13,056,353.00",,17,84,0,,"61,661,629.00"
,,"74,717,982","13,056,353.00",,17,84,0,Governance,"61,661,629"
Sub Total for Office of the Governor,,"194,343,714.00","70,784,678.00",,36,84,0,,"123,559,036.00"
Finance & Economic Planning,,,,,,84,0,,
General administration and support services,,"94,336,718.00","36,888,711.55",,39,84,0,,"57,448,006.45"
,,"94,336,718","36,888,711.55",,39,84,0,"General administration
and support services","57,448,006"
Financial Management,,"119,246,575.00","48,468,019.25",,41,84,0,,"70,778,555.75"
,,"1,290,000","370,460.00",,29,84,0,"Monitoring, Evaluation
and reporting","919,540"
,,"105,463,340","45,061,955.60",,43,84,0,"Economic Planning &
Budgeting","60,401,384"
,,"5,464,411","2,703,063.65",,49,84,0,Accounting services,"2,761,347"
,,"1,724,412","182,540.00",,11,84,0,"Supply Chain Manage-
ment","1,541,872"
,,"5,304,412","150,000.00",,3,84,0,"Revenue Management
Services","5,154,412"
"Sub Total for Finance and Economic Plan-
ning",,"213,583,293.00","85,356,730.80",,40,84,0,,"128,226,562.20"
Agriculture and Irrigation,,,,,,84,0,,
General administration and support services,,"95,797,320.00","43,456,043.50",,45,84,0,,"52,341,276.50"
,,"95,797,320","43,456,043.50",,45,84,0,"General administration
and support services","52,341,277"
Crop Development,,"646,359,803.00","30,889,925.55",,5,84,0,,"615,469,877.45"
,,"65,512,604","4,258,440.00",,7,84,0,Cash Crops Development,"61,254,164"
,,"580,847,199","26,631,485.55",,5,84,0,"Agricultural Extension
and Training Services","554,215,713"
Soil Conservation,,"9,479,345.00","4,554,821.85",,48,84,0,,"4,924,523.15"
,,"9,479,345","4,554,821.85",,48,84,0,Soil Conservation,"4,924,523"
Irrigation Development,,"139,399,798.00","30,516,338.00",,22,84,0,,"108,883,460.00"
,,"139,399,798","30,516,338.00",,22,84,0,Irrigation Development,"108,883,460"
Sub Total for Agriculture and Irrigation,,"891,036,266.00","109,417,128.90",,12,84,0,,"781,619,137.10"
Education & Technical Training,,,,,,85,0,,
General administration and support services,,"256,268,616.00","95,849,169.15",,37,85,0,,"160,419,446.85"
,,"256,268,616.00","95,849,169.15",,37,85,0,"General administration
and support services","160,419,446.85"
Technical Vocational Education & Training,,"67,519,311.00",0.00,,0,85,0,,"67,519,311.00"
,,"67,519,311.00",0.00,,0,85,0,"Technical Vocational Ed-
ucation & Training","67,519,311.00"
Pre-Primary Education,,"199,043,495.00","26,183,510.45",,13,85,0,,"172,859,984.55"
,,"199,043,495.00","26,183,510.45",,13,85,0,Pre-Primary Education,"172,859,984.55"
"Sub Total for Education and Technical Train-
ing",,"522,831,422.00","122,032,679.60",,23,85,0,,"400,798,742.40"
Health And Sanitation,,,,,,85,0,,
General administration and support services,,"1,553,784,098.00","759,115,253.00",,49,85,0,,"794,668,845.00"
,,"1,553,784,098","759,115,253",,49,85,0,"Default - Non Program-
matic","794,668,845"
Preventive and Promotive Health,,"72,793,446.00",0.00,,0,85,0,,"72,793,446.00"
,,"72,734,046",0.00,,0,85,0,"Community and Environ-
mental Health","72,734,046"
,,"59,400",0.00,,0,85,0,"Communicable &
Non-Communicable Dis-
ease Prevention & Con-
trol","59,400"
Curative and Rehabilitative Health,,"359,475,971.00","97,510,928.00",,27,85,0,,"261,965,043.00"
,,"500,000",0.00,,0,85,0,Commodity management,"500,000"
,,"78,097,163",0.00,,0,85,0,County Hospitals,"78,097,163"
,,"244,498,808","97,510,928",,40,85,0,Primary Care Units,"146,987,880"
,,"36,380,000",0.00,,0,85,0,"Emergency Medical Ser-
vices","36,380,000"
Sub-Total For Health and Sanitation,,"1,986,053,515.00","856,626,181.00",,43,85,0,,"1,129,427,334.00"
"Water, Lands & Physical Planning",,,,,,85,0,,
