Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Agriculture, Cooperative and Livestock",,,,-,,60,0
"Programme 1: General Administration, planning and sup-
port services",,,,-,,60,0
"S.P 1.1 Administrative
and Support Services","S.P 1.1 Administrative and Support
Services","47,998,105","34,085,049","13,913,057",71.0%,60,0
"S.P 1.2 Human Resource
Management and Devel-
opment.","S.P 1.2 Human Resource Manage-
ment and Development.","314,666,000","159,367,224","155,298,776",50.6%,60,0
"S.P 1.3: Policy, Legal and
Regulatory Framework","S.P 1.3: Policy, Legal and Regulatory
Framework","7,600,000",-,"7,600,000",0.0%,60,0
"S.P 1.4: Planning and
financial Management","S.P 1.4: Planning and Financial man-
agement","11,615,043",-,"11,615,043",0.0%,60,0
"S.P 1.5 Sector Coordi-
nation",S.P 1.5 Sector Coordination,"4,000,000",-,"4,000,000",0.0%,60,0
"S.P 1.7: Leadership and
Governance",S.P 1.7: Leadership and Governance,"2,000,000",-,"2,000,000",0.0%,60,0
"Programme 2: Land
and Crop Development
and Management","Programme 2: Land and Crop De-
velopment and Management",,,-,,60,0
"S.P 2.1: Agricultural
extension and training
services","S.P 2.1: Agricultural extension and
training services","4,746,821.00",-,"4,746,821",0.0%,60,0
"S.P 2.2: Crop production
and productivity","S.P 2.2: Crop production and pro-
ductivity","157,023,942.00","29,172,000","127,851,942",18.6%,60,0
"SP 2.7 Irrigation Exten-
sion and training","SP 2.7 Irrigation Extension and
training","2,540,000.00",-,"2,540,000",0.0%,60,0
"SP 2.8 Irrigation infra-
structure development
and agricultural water
storage","SP 2.8 Irrigation infrastructure de-
velopment and agricultural water
storage",-,-,-,,60,0
"Programme 3: Live-
stock development and
management","Programme 3: Livestock develop-
ment and management",,,-,,60,0
"SP 3.1 Livestock produc-
tion extension, Train-
ing and Information
Services","SP 3.1 Livestock production exten-
sion, Training and Information Ser-
vices","13,890,000",-,"13,890,000",0.0%,60,0
"SP 3.2 Value addition
and processing",SP 3.2 Value addition and processing,"96,300,000","17,663,477","78,636,524",18.3%,60,0
"SP 3.3 Livestock pro-
duction value chain
development (Dairy,
Poultry, Honey & Rabbit
value chains)","SP 3.3 Livestock production value
chain development (Dairy, Poultry,
Honey & Rabbit value chains)",-,-,-,,61,0
"SP 3.4 Disease and Vec-
tor Control",SP 3.4 Disease and Vector Control,"7,000,000",-,"7,000,000",0.0%,61,0
"SP 3.5 Food Safety And
Quality Control","SP 3.5 Food Safety And Quality Con-
trol","5,500,000",-,"5,500,000",0.0%,61,0
"SP 3.6 Leather develop-
ment",SP 3.6 Leather development,,-,-,,61,0
"SP 3.7 Veterinary Exten-
sion Services",SP 3.7 Veterinary Extension Services,"3,600,000",-,"3,600,000",0.0%,61,0
"SP 3.8 Breeding and AI
Subsidy programme","SP 3.8 Breeding and AI Subsidy pro-
gramme","3,000,000",-,"3,000,000",0.0%,61,0
"Programme 4: Fisher-
ies development and
management","Programme 4: Fisheries develop-
ment and management",,-,-,,61,0
"SP 4.1 Fisheries exten-
sion service and training","SP 4.1 Fisheries extension service
and training","3,000,000",-,"3,000,000",0.0%,61,0
"SP 4.2 Fisheries product
value-chain development","SP 4.2 Fisheries product value-chain
development","3,500,000",-,"3,500,000",0.0%,61,0
"Programme 5: Cooper-
atives Development and
Management","Programme 5: Cooperatives Devel-
opment and Management",,-,-,,61,0
"SP 5.1 Cooperatives
extension service and
training (Co-operative
Governance (Training))","SP 5.1 Cooperatives extension ser-
vice and training (Co-operative
Governance (Training))","9,800,000",-,"9,800,000",0.0%,61,0
"SP 5.2 Cooperatives
Audit Services",SP 5.2 Cooperatives Audit Services,"1,500,000",-,"1,500,000",0.0%,61,0
"SP 5.3 Production, Agro
processing, value addi-
tion & Marketing (Input
and Infrastructural Sup-
port to Cooperatives)","SP 5.3 Production, Agro-processing,
value addition & Marketing (Input
and Infrastructural Support to Co-
operatives)","5,800,000",-,"5,800,000",0.0%,61,0
"Programme 6: Insti-
tutional Development
and Management","Programme 6: Institutional Devel-
opment and Management",,,,,61,0
"SP 6.1 Mabanga ATC
Administration manage-
ment services","SP 6.1 Mabanga ATC Administra-
tion management services",,-,-,,61,0
"SP 6.2 Agricultural
Enterprise Development
(ATC)","SP 6.2 Agricultural Enterprise De-
velopment (ATC)","5,000,000",-,"5,000,000",0.0%,61,0
"SP 6.3 Infrastructural
development (ATC)","SP 6.3 Infrastructural development
(ATC)","24,500,000",-,"24,500,000",0.0%,61,0
"SP 6.4 Agricultural
mechanization extension","SP 6.4 Agricultural mechanization
extension",-,-,-,,61,0
"SP 6.5 Tractor hire
services",SP 6.5 Tractor hire services,"5,000,000",-,"5,000,000",0.0%,61,0
"SP 6.6 General adminis-
trative services (CFF)","SP 6.6 General administrative ser-
vices (CFF)",,-,-,,61,0
"SP 6.7 Technology trans-
fer (CFF)",SP 6.7 Technology transfer (CFF),-,-,-,,61,0
"SP 6.8 Operational
development (CFF)","SP 6.8 Operational development
(CFF)","3,800,000",-,"3,800,000",0.0%,62,0
"SP 6.9 Infrastructural
development (CFF)","SP 6.9 Infrastructural development
(CFF)","4,050,000",-,"4,050,000",0.0%,62,0
NARIGP,NARIGP,"280,530,114",-,"280,530,114",0.0%,62,0
ASDSP II,ASDSP II,"30,756,000",-,"30,756,000",0.0%,62,0
Ward Based Projects,Ward Based Projects,"59,461,000",-,"59,461,000",0.0%,62,0
Total Expenditure,Total Expenditure,"1,118,177,025","240,287,749","877,889,276",21.5%,62,0
"HEALTH & SANITA-
TION",,,,,,62,0
"Programme1: General
Administration and
Planning, and Support
Services","Programme1: General Adminis-
tration and Planning, and Support
Services",,,-,,62,0
"SP 1: Health Admin-
istration Planning and
support services","SP 1: Health Administration Plan-
ning and support services","332,856,809","81,389,568","251,467,241",24.5%,62,0
Human resources,Human resources,"2,294,141,122","1,097,666,530","1,196,474,592",47.8%,62,0
"SP3.Health Infrastruc-
ture",SP3.Health Infrastructure,"262,710,027","5,410,906","257,299,121",2.1%,62,0
"Programme 2: Pre-
ventive Promotive and
Rehabilitative","Programme 2: Preventive Promo-
tive and Rehabilitative",,-,-,,62,0
