Programme,Sub-Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs.)",Variance (Kshs),"Absorption
Rates (%)",page_number,table_index
"Default Value (Non- Depart-
mental)","Default Value (Non- De-
,Vocational Training,-,-,-,-,39,0
Youth Polytechnics,,-,-,-,-,39,0
,Vocational Training,-,-,-,-,39,0
County Health Services,,"1,080,429,081","170,856,434","909,572,647",15.8,39,0
,General administration,"536,829,113","150,188,624","386,640,489",28.0,39,0
,"Preventive and Promotive
Health Services","390,302,096","19,323,810","370,978,286",5.0,39,0
,"Curative and Rehabilitative
Services","153,297,872","1,344,000","151,953,872",0.9,39,0
,Health/preventive services,-,-,-,-,39,0
"Promotion of primary health
care",,-,-,-,-,40,0
,General administration,-,-,-,-,40,0
Lands,,"149,802,238","6,003,612","143,798,626",4.0,40,0
,General administration,"10,310,420","3,182,912","7,127,508",30.9,40,0
,Land Use Planning,"20,200,000",-,"20,200,000",-,40,0
,,"1,600,000",-,"1,600,000",-,40,0
,Land Administration,"36,073,200","2,820,700","33,252,500",7.8,40,0
,"Urban Development-Kabar-
net",-,-,-,-,40,0
,"Other Urban Infrastructure
development and manage-
ment","80,818,618",-,"80,818,618",-,40,0
,"Livestock Development and
Management","800,000",-,"800,000",-,40,0
Land Survey and Mapping,,"8,806,568","2,422,119","6,384,449",27.5,40,0
,General administration,"8,806,568","2,422,119","6,384,449",27.5,40,0
,"Civic Education Develop-
ment Services",-,-,-,-,40,0
,"Urban Development-Elda-
ma ravine",-,-,-,-,40,0
Housing,,"12,119,157","4,594,007","7,525,150",37.9,40,0
,General administration,"12,119,157","4,594,007","7,525,150",37.9,40,0
,"Other Urban Infrastructure
development and manage-
ment",-,-,-,-,40,0
,"Inter and Intra Governmen-
tal Relations Services",-,-,-,-,40,0
Agricultural Services,,"822,027,087","116,620,775","705,406,312",14.2,40,0
,"Livestock Development and
Management","49,111,392","500,000","48,611,392",1.0,40,0
,"Improved livestock Produc-
tion","345,651,719","31,599,911","314,051,808",9.1,40,0
,"Agricultural mechanization
services","363,459,668","78,679,961","284,779,707",21.6,40,0
,General administration,"51,075,333","5,840,903","45,234,430",11.4,40,0
,"Fisheries Development and
Management",-,-,-,-,40,0
,Agricultural Development,-,-,-,-,40,0
,"Agricultural training ser-
vices","7,028,975",-,"7,028,975",-,40,0
,"Crop Production and Man-
agement","5,700,000",-,"5,700,000",-,40,0
Culture Services,,"179,215,995","28,816,927","150,399,068",16.1,40,0
,,"3,500,000",-,"3,500,000",-,40,0
,Sports Development,"7,175,571",-,"7,175,571",-,40,0
,,"24,867,453","7,445,670","17,421,783",29.9,40,0
,,"143,672,971","21,371,257","122,301,714",14.9,40,0
"Sports Development and Man-
agement Services",,-,"1,134,880","- 1,134,880",-,40,0
,General administration,-,-,-,-,40,0
,Sports Development,-,-,-,-,40,0
,,-,"1,134,880","- 1,134,880",-,40,0
Water Management Services,,"943,555,669","68,602,798","874,952,871",7.3,40,0
,,"878,463,790","43,554,741","834,909,049",5.0,40,0
,,"59,916,879","25,048,057","34,868,822",41.8,40,0
,,"5,175,000",-,"5,175,000",-,40,0
"Environment Administration
and planning",,"23,934,809","3,869,953","20,064,856",16.2,40,0
,,"23,934,809","3,869,953","20,064,856",16.2,40,0
,,-,-,-,-,40,0
