Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
Fisheries,"Fisheries Policy and Capacity Develop-
ment","13,428,132","3,796,053","9,632,079",28.3,166,0
,"Sustainable Fisheries Production and
Management","8,610,184","3,853,149","4,757,035",44.8,166,0
,"Assurance of Fish Safety, Value Addition
and Marketing","106,076,111","953,250","105,122,861",0.9,166,0
,"Marine Fisheries Production & blue
economy","3,000,000",-,-,-,166,0
,Sub Totals,"131,114,426","8,602,452","122,511,974",6.6,166,0
Water & Sanitation,"General Administration, Planning and
Support Services","13,091,348","3,142,855","9,948,493",24.0,166,0
,Water Supply Infrastructure,"359,828,875","34,349,759","325,479,116",9.5,166,0
,Sub Totals,"372,920,223","37,492,614","335,427,609",10.1,166,0
Environment,County Environment Management,"147,578,466","49,559,682","98,018,784",33.6,166,0
,Forest conservation and management,"5,250,000","2,602,551","2,647,449",49.6,166,0
,Sub Totals,"152,828,466","52,162,233","100,666,233",34.1,166,0
Education,"General administration, planning and
support services","59,741,148","18,054,829","41,686,319",30.2,166,0
,Early Childhood development education,"109,049,544","10,101,576","98,947,968",9.3,166,0
,Education support services,"259,500,000","175,000,000","84,500,000",67.4,166,0
,Education and training,"81,547,485",-,-,-,166,0
,Sub Totals,"509,838,177","203,156,405","306,681,772",39.8,166,0
ICT,"Information Communication Technolo-
gy","28,182,695","4,889,946","23,292,749",17.4,166,0
,Sub Totals,"28,182,695","4,889,946","23,292,749",17.4,166,0
Health,"Rehabilitative Services(Mental Health,
Orthopaedic, Physio and Occupational
therapy)","360,000",-,-,-,166,0
,"General & specialised medical & surgical
services","50,583,270",,"50,583,270",0.0,166,0
,Diagnostic services,"500,583,270","273,563,535","227,019,735",54.6,166,0
,County Referral Services Total,"7,510,000",,"7,510,000",0.0,166,0
,Capacity Building & Training,"9,000,000",,"9,000,000",0.0,166,0
,Health Policy & Financing,"3,163,393",,"3,163,393",0.0,166,0
,Administration for Health,"1,416,236,289","228,867,796","1,187,368,493",16.2,166,0
,Immunization,"1,200,000",-,-,-,166,0
,Sub Totals,"1,988,636,222","502,431,331","1,486,204,891",25.3,166,0
Public Health,Communicable Disease Control,"109,629,238","20,862,953","88,766,285",19.0,166,0
,Sub Totals,"109,629,238","20,862,953","88,766,285",19.0,166,0
"Roads & Public
Works","General administration, planning and
support services","270,184,625","151,185,014","118,999,611",56.0,166,0
,Road Transport,"1,251,800,000","11,967,256","1,239,832,744",1.0,166,0
,Sub Totals,"1,521,984,625","163,152,270","1,358,832,355",10.7,166,0
Lands,General Administration,"254,129,238","84,797,016","169,332,222",33.4,166,0
,Development,"213,300,000","15,855,832","197,444,168",7.4,166,0
,Sub Totals,"467,429,238","100,652,848","366,776,390",21.5,166,0
"Physical Planning
& Urban Develop-
ment",General Administration,"19,727,887","7,220,491","12,507,396",36.6,166,0
,Development,"81,108,000","9,808,956","71,299,044",12.1,166,0
,Sub Totals,"100,835,887","17,029,447","83,806,440",16.9,166,0
