Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
"Agricultural and Livestock
Sector Support","Agricultural Infrastructure,
Conservation and Research","801,955,500","120,945,007","681,010,493",15.1,245,0
,"Livestock Agricultural Sector
Support","245,450,158","128,386,185","117,063,973",52.3,245,0
,Sub Total,"1,047,405,658","249,331,192","798,074,466",23.8,245,0
"Cooperatives Develop-
ment Programmes","Cooperatives Agricultural Sup-
port","7,200,000","2,200,000","5,000,000",30.6,245,0
,Sub Total,"7,200,000","2,200,000","5,000,000",30.6,245,0
Trade Development,"Trade development &Promo-
tion","139,247,936","49,797,370","89,450,566",35.8,245,0
,Sub Total,"139,247,936","49,797,370","89,450,566",35.8,245,0
"Physical Infrastructure
Development",Infrastructure & Equipment,"24,410,211","14,994,274","9,415,937",61.4,245,0
,"Infrastructure Construction,
Expansion and Maintenance","687,575,394","228,957,481","458,617,913",33.3,245,0
,"Infrastructure Development
and Expansion","103,193,187","63,769,580","39,423,607",61.8,245,0
,"Infrastructure Development
and Expansion","1,388,257,226","650,159,747","738,097,479",46.8,245,0
,Sub Total,"2,203,436,018","957,881,082","1,245,554,936",43.5,245,0
"Youth Rehabilitation
and Development","Youth Development Pro-
grammes and Policy","105,000,000","13,870,000","91,130,000",13.2,245,0
,Sub Total,"105,000,000","13,870,000","91,130,000",13.2,245,0
"Administration, Plan-
ning and Support Ser-
vices","General Administration &
Support Services","2,391,897,091","1,174,307,379","1,217,589,712",49.1,245,0
,"General Administration &
Support Services","716,098,903","487,931,934","228,166,969",68.1,245,0
,Sub Total,"3,107,995,994","1,662,239,314","1,445,756,680",53.5,245,0
"ECDE and Sports De-
velopment Services",ECDE Infrastructure.,"319,692,015","92,693,699","226,998,316",29.0,245,0
,Sub Total,"319,692,015","92,693,699","226,998,316",29.0,245,0
"Legislation and Over-
sight Services","County Assembly Administra-
tion offices","172,253,556",0,"172,253,556",0.0,245,0
,Sub Total,"172,253,556",0,"172,253,556",0.0,245,0
Financial Services,Procurement Services,"430,300,000","233,314,152","196,985,848",54.2,245,0
,Sub Total,"430,300,000","233,314,152","196,985,848",54.2,245,0
"Administration and
Compensation",Administration Services,"3,467,690,856","1,325,989,545","2,141,701,311",38.2,245,0
,"Administration and Support
Services","216,284,891","25,766,373","190,518,518",11.9,245,0
,Sub Total,"3,683,975,747","1,351,755,918","2,332,219,829",36.7,245,0
"Water Provision Ser-
vices",Water Storage Structures,"1,304,518,191","633,290,491","671,227,700",48.5,245,0
,Water provision services,"616,020,707","93,151,669","522,869,038",15.1,245,0
,Sub Total,"1,920,538,898","726,442,161","1,194,096,737",37.8,245,0
"Solar Energy and Envi-
ronmental Services",Street lighting,"93,701,231","46,845,872","46,855,359",50.0,245,0
,Environmental Protection,"24,223,992","2,200,000","22,023,992",9.1,245,0
,Sub Total,"117,925,223","49,045,872","68,879,351",41.6,245,0
,Grand Total,"13,254,971,045","5,388,570,760","7,866,400,285",40.7,245,0
