Programme,"Sub- Pro-
gramme","Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
Office of the Governor,,,,,,195,1
General Administration And Planning,701013710,"383,078,395","110,328,309","272,750,086",28.8,195,1
General Administration And Planning,702013710,"56,400,000","44,485,221","11,914,779",78.9,195,1
Office of the County secretary,703013710,"132,200,000","28,089,208","104,110,792",21.2,195,1
Office of The Governor,701013710,"1,115,659,572","240,146,430","875,513,142",21.5,195,1
Office of The Governor,702013710,"14,000,000","14,960,000","(960,000)",106.9,195,1
Procurement,704023710,"95,544,000","42,761,804","52,782,196",44.8,195,1
Sub-total Office of The Governor,,"1,796,881,967","480,770,972","1,316,110,995",26.8,195,1
"Public Service Management and Ad-
ministration",,,,,,195,1
"Coordination And Administrative Ser-
vices",705013710,"150,068,009","57,789,599","92,278,410",38.5,195,1
"Coordination And Administrative Ser-
vices",706013710,"218,449,123","71,309,065","147,140,058",32.6,195,1
"Coordination And Programmes Track-
ing",707013710,"14,000,000","4,089,111","9,910,889",29.2,195,1
General Administration And Planning,701013710,"160,388,712","68,686,442","91,702,270",42.8,195,1
"Sub-total Public Service Management
and Administration",,"542,905,844","201,874,217","341,031,627",37.2,195,1
"Agriculture Water and Livestock De-
velopment",,,,,,195,1
Agriculture,102013710,"362,927,849","12,218,852","350,708,997",3.4,195,1
Agriculture,103013710,"41,960,325","10,897,211","31,063,114",26.0,195,1
Agriculture,103023710,"105,809,162","18,058,693","87,750,469",17.1,195,1
Agriculture,104013710,"4,833,763","685,585","4,148,178",14.2,195,1
Agriculture,111013710,"380,313,900","148,180,741","232,133,159",39.0,196,0
Agriculture,111023710,"85,254,730","57,780,682","27,474,048",67.8,196,0
General Administration And Planning,101013710,"306,562,728","152,522,182","154,040,546",49.8,196,0
Water,101013710,"75,865,747","66,497,347","9,368,400",87.7,196,0
Water,111013710,"11,103,796","2,905,206","8,198,590",26.2,196,0
Water,111023710,"10,736,195","1,989,891","8,746,304",18.5,196,0
"Sub-total Agriculture Water and Live-
stock Development",,"1,385,368,195","471,736,390","913,631,805",34.1,196,0
"Basic Education, ICT, and Youth De-
velopment",,,,,,196,0
Basic Education,502013710,"422,467,179","172,174,685","250,292,494",40.8,196,0
Basic Education,503013710,"94,073,660","45,871,461","48,202,199",48.8,196,0
Basic Education,504013710,"4,618,279","778,400","3,839,879",16.9,196,0
General Administration And Planning,501013710,"144,585,934","68,290,644","76,295,290",47.2,196,0
ICT,505013710,"9,400,000","2,164,873","7,235,127",23.0,196,0
Training And Skills Development,503013710,"18,764,000","4,410,450","14,353,550",23.5,196,0
Training And Skills Development,506013710,"62,547,998","29,025,680","33,522,318",46.4,196,0
"Sub-total Basic Education, ICT, and
Youth Development",,"756,457,050","322,716,193","433,740,857",42.7,196,0
"Infrastructure, Housing and Urban
Development",,,,,,196,0
General Administration And Planning,101013710,"124,816,908","57,245,173","67,571,735",45.9,196,0
Housing,107013710,"12,757,160","1,222,618","11,534,542",9.6,196,0
Housing,109013710,"26,744,509","1,304,406","25,440,103",4.9,196,0
"Roads, Transport And Mechanical Ser-
vices",107013710,"21,000,000","9,325,890","11,674,110",44.4,196,0
"Roads, Transport And Mechanical Ser-
vices",109013710,"11,841,535","4,473,981","7,367,554",37.8,196,0
"Roads, Transport And Mechanical Ser-
vices",110013710,"717,775,374","541,048,849","176,726,525",75.4,196,0
"Roads, Transport And Mechanical Ser-
vices",203013710,"38,403,760","2,411,830","35,991,930",6.3,196,0
"Sub-total Infrastructure, Housing and
Urban Development",,"953,339,246","617,032,747","336,306,499",64.7,196,0
Health and Sanitation,,,,,,196,0
General Administration And Planning,401013710,"136,314,135","95,593,392","40,720,743",70.1,196,0
General Administration And Planning,401023710,"74,322,752","37,984,750","36,338,002",51.1,196,0
General Administration And Planning,401033710,"4,844,081","2,362,040","2,482,041",48.8,196,0
Health Promotion and Disease Control,404013710,"3,677,301","697,350","2,979,951",19.0,196,0
Medical Services,402013710,"2,856,757,385","1,352,694,219","1,504,063,166",47.4,196,0
Medical Services,402023710,"28,800,000","9,337,706","19,462,294",32.4,196,0
Medical Services,403023710,"133,042,972","66,148,079","66,894,893",49.7,196,0
Medical Services,404023710,0,"(369,600)","369,600",∞,196,0
Medical Services,404033710,"61,129,233","16,998,510","44,130,723",27.8,196,0
Public Health,403013710,"17,125,686","9,237,648","7,888,038",53.9,196,0
Public Health,403023710,"1,700,000","797,600","902,400",46.9,196,0
Public Health,403033710,"2,150,000","974,316","1,175,684",45.3,196,0
Rural Health Services,402033710,"322,746,480","287,946,124","34,800,356",89.2,196,0
Rural Health Services,404023710,"13,901,500","3,307,001","10,594,499",23.8,196,0
Rural Health Services,404033710,"2,562,793","781,396","1,781,397",30.5,196,0
Sub-total Health and Sanitation,,"3,659,074,318","1,884,490,531","1,774,583,787",51.5%,196,0
"Trade, Cooperatives and Investments",,,,,,196,0
cooperatives,304013710,"11,479,709","4,387,015","7,092,694",38.2,197,0
cooperatives,304023710,"42,870,317","10,974,509","31,895,808",25.6,197,0
General Administration And Planning,301013710,"97,571,378","23,406,606","74,164,772",24.0,197,0
Trade And Markets,301013710,"267,383,927","90,113,796","177,270,131",33.7,197,0
Trade And Markets,303023710,"7,116,675","620,610","6,496,065",8.7,197,0
"Sub-total Trade, Cooperatives and In-
vestments",,"426,422,006","129,502,536","296,919,470",30.4,197,0
"Environment Tourism and Natural Re-
sources",,,,,,197,0
Energy,1005013710,"19,638,302","450,100","19,188,202",2.3,197,0
Energy,1006013710,"90,390,027","8,477,518","81,912,509",9.4,197,0
Environment,1002013710,"12,994,238","2,035,903","10,958,335",15.7,197,0
Environment,1003013710,"21,294,036","10,586,200","10,707,836",49.7,197,0
Environment,1004013710,"1,418,942","285,500","1,133,442",20.1,197,0
General Administration And Planning,1001013710,"47,315,510","11,341,451","35,974,059",24.0,197,0
Mineral Resources,1003013710,"4,795,218","1,936,080","2,859,138",40.4,197,0
Mineral Resources,1003023710,"9,981,288","4,200,674","5,780,614",42.1,197,0
Mineral Resources,1003043710,"10,676,631","2,297,645","8,378,986",21.5,197,0
Mineral Resources,1007013710,"1,750,548","262,600","1,487,948",15.0,197,0
Mineral Resources,1008013710,"9,117,236","310,700","8,806,536",3.4,197,0
Tourism,305013710,"4,209,922","152,000","4,057,922",3.6,197,0
Tourism,305033710,"9,570,571","36,000","9,534,571",0.4,197,0
Tourism,1003023710,"22,957,893","280,000","22,677,893",1.2,197,0
"Sub-total Environment Tourism and
Natural Resources",,"266,110,362","42,652,371","223,457,991",16.0,197,0
Sports Gender and Culture,,,,,,197,0
"Gender, Culture and Social Services
Headquarters",307013710,"37,278,231","3,348,620","33,929,611",9.0,197,0
"Gender, Culture and Social Services
Headquarters",307023710,"19,046,259","1,298,249","17,748,010",6.8,197,0
"Gender, Culture and Social Services
Headquarters",308013710,"9,863,054","296,400","9,566,654",3.0,197,0
"Gender, Culture and Social Services
Headquarters",308023710,"1,580,000","451,500","1,128,500",28.6,197,0
General Administration And Planning,301013710,"37,271,703","5,076,336","32,195,367",13.6,197,0
Sports,306013710,"15,000,000","4,979,470","10,020,530",33.2,197,0
Sports,306023710,"59,086,759","10,898,327","48,188,432",18.4,197,0
Sports,306013710,"7,895,927","454,800","7,441,127",5.8,197,0
Sports,306023710,"12,164,801","1,377,200","10,787,601",11.3,197,0
Sub-total Sports Gender and Culture,,"199,186,734","28,180,902","171,005,832",14.1,197,0
County Treasury,,,,,,197,0
Accounts,704013710,"55,777,755","27,843,923","27,933,832",49.9,197,0
Accounts,712053710,"14,723,824","6,535,893","8,187,931",44.4,197,0
Budgetary Supplies,712013710,"173,370,546","68,989,365","104,381,181",39.8,197,0
Economic Affairs,710013710,"90,036,301","37,880,770","52,155,531",42.1,197,0
Economic Affairs,710023710,"14,241,471","3,464,498","10,776,973",24.3,197,0
Economic Affairs,712023710,"13,387,930","4,697,316","8,690,614",35.1,197,0
General Administration And Planning,701013710,"397,758,378","89,888,197","307,870,181",22.6,197,0
Internal Audit,712033710,"8,274,100","2,565,508","5,708,592",31.0,197,0
Sub-total County Treasury,,"767,570,305","241,865,470","525,704,835",31.5,197,0
County Public Service Board,,,,,,197,0
