Programme,Sub-Programmes,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,Office of the Governor and,"759,846,382","175,587,292","584,259,091",76.9,187,1
,County Administration,,,,,187,1
206005060,Mining Efficiency,"76,950,000","486,500","76,463,500",99.4,187,1
307005060,Industrial Development,"605,384","72,000","533,384",88.1,187,1
205005060,Energy Production,"72,222,514","3,543,271","68,679,243",95.1,187,1
306005060,Enterprise Development,"100,910,000","217,322","100,692,678",99.8,187,1
305005060,Co-Operative Development and,"12,780,000","6,071,875","6,708,125",52.5,187,1
,Management,,,,,187,1
508005060,Alcoholic Drinks,"1,600,000","301,600","1,298,400",81.2,187,1
302005060,Regulation and Verification of,"7,795,000","92,040","7,702,960",98.8,187,1
,Weights,,,,,187,1
301005060,General Administration and Policy,"68,150,000","6,111,309","62,038,691",91,187,1
,making Services,,,,,187,1
504005060,Gender and Social Dev.,"1,620,000","146,000","1,474,000",91,187,1
704005060,County Public Service Board,"112,270,532","68,680,522","43,590,010",38.8,188,0
704005060,County Public Service Board,"210,303,000","59,549,160","150,753,840",71.7,188,0
206005060,Mining Efficiency,"23,500,000","18,458,816","5,041,184",21.5,188,0
702005060,Management of County affairs and,"8,100,000","1,193,041","6,906,959",85.3,188,0
,Special Programmes,,,,,188,0
701005060,General Administration and Planning,"28,360,000","4,080,331","24,279,669",85.6,188,0
,services,,,,,188,0
101005060,General Administration and Planning,"300,000","7,000","293,000",97.7,188,0
,Services,,,,,188,0
706005060,County Planning and Development,"14,770,000","2,758,305","12,011,695",81.3,188,0
,Coordination Services,,,,,188,0
703005060,"Inter-Governmental relations,","19,609,952","3,818,200","15,791,752",80.5,188,0
,Communication and Protocol,,,,,188,0
,Medical Services and Public Health,"4,018,172,321","2,599,713,201","1,418,459,120",35.3,188,0
407005060,Jaramogi Oginga Odinga Teaching,"296,334,964","96,334,964","200,000,000",67.5,188,0
,and Referral Hospital,,,,,188,0
403005060,"General Administration, Operational","2,899,479,396","2,247,203,472","652,275,924",22.5,188,0
,Research and Planning,,,,,188,0
405005060,Health Sector support Program,"160,792,947","47,453,779","113,339,169",70.5,188,0
,(DANIDA),,,,,188,0
408005060,Kisumu County Referral Hospital,"60,000,000","47,895,155","12,104,845",20.2,188,0
402005060,Health Curative Services,"141,315,014","29,720,989","111,594,025",79,188,0
401005060,Preventive & Promotive Health,"156,450,000","44,000,000","112,450,000",71.9,188,0
,Services,,,,,188,0
409005060,Medical and Bio-Medical Services,"303,800,000","87,104,843","216,695,157",71.3,188,0
,"Tourism, Culture and Sport","210,226,963","21,771,715","188,455,248",89.6,188,0
401005060,Preventive & Promotive Health,"100,000,000",-,"100,000,000",100,188,0
,Services,,,,,188,0
507005060,Sports Stadia Development,"4,970,000","1,010,000","3,960,000",79.7,188,0
303005060,Tourism Development and,"15,745,000","3,149,790","12,595,210",80,188,0
,Management,,,,,188,0
907005060,,"4,015,000","343,950","3,671,050",91.4,188,0
101005060,General Administration and Planning,"37,486,963","16,757,975","20,728,988",55.3,188,0
,Services,,,,,188,0
506005060,Sports Management and,"48,010,000","510,000","47,500,000",98.9,188,0
,Development,,,,,188,0
,Transport and Infrastructure,"707,594,265","140,289,242","567,305,023",80.2,188,0
101005060,General Administration and Planning,"91,948,538","85,410,600","6,537,938",7.1,188,0
,Services,,,,,188,0
201005060,County Roads and Public Works,"502,424,662","13,792,425","488,632,237",97.3,188,0
,Management,,,,,188,0
207005060,Roads General Administration and,"47,089,048","10,540,850","36,548,198",77.6,188,0
,Planning,,,,,188,0
304005060,Administration Planning and Support,"66,132,017","30,545,367","35,586,650",53.8,188,0
,Physical Planning & Housing,"419,112,176","17,644,447","401,467,729",95.8,188,0
102005060,County Survey Services,"1,290,000","180,000","1,110,000",86,188,0
103005060,Physical Planning & Housing,"13,350,000","314,500","13,035,500",97.6,188,0
109005060,Urban Planning $ Development,"1,800,000","106,900","1,693,100",94.1,188,0
,Control,,,,,188,0
201005060,County Roads and Public Works,"367,122,176","17,034,847","350,087,329",95.4,188,0
,Management,,,,,188,0
304005060,Administration Planning and Support,"35,550,000","8,200","35,541,800",100,188,0
,"Agriculture, Livestock and Fisheries","807,980,095","179,004,503","628,975,592",77.8,188,0
106005060,Agricultural Productivity,"10,300,000","50,000","10,250,000",99.5,188,0
,Improvement,,,,,188,0
707005060,County Communication & ICT,"650,000","163,100","486,900",74.9,188,0
,Services,,,,,188,0
107005060,Promotion of market access and,"12,700,000","1,149,400","11,550,600",90.9,188,0
,products development,,,,,188,0
104005060,Promotion of sustainable land use,"700,000","217,555","482,445",68.9,189,0
105005060,Agriculture Productivity,"102,461,872","6,144,698","96,317,174",94,189,0
,Improvement,,,,,189,0
701005060,General Administration and Planning,"450,000","150,000","300,000",66.7,189,0
,services,,,,,189,0
101005060,General Administration and Planning,"680,718,223","171,129,750","509,588,473",74.9,189,0
,Services,,,,,189,0
,Education,"852,536,870","271,140,683","581,396,187",68.2,189,0
208005060,ICT Services,"2,465,000","510,205","1,954,795",79.3,189,0
504005060,Gender and Social Dev.,"8,320,000","1,072,700","7,247,300",87.1,189,0
101005060,General Administration and Planning,"366,901,976","183,649,048","183,252,928",49.9,189,0
,Services,,,,,189,0
502005060,Youth Training and Development,"30,000,000","1,768,810","28,231,190",94.1,189,0
505005060,Early Child Education Management,"364,100,000","48,067,700","316,032,300",86.8,189,0
517005060,Youth Training and Legislation,"79,799,894","35,813,720","43,986,174",55.1,189,0
701005060,General Administration and Planning,"950,000","258,500","691,500",72.8,189,0
,services,,,,,189,0
,Environment and Natural Resources,"181,578,186","44,654,701","136,923,485",75.4,189,0
205005060,Energy Production,"2,100,000","20,000","2,080,000",99,189,0
206005060,Mining Efficiency,"2,000,000","90,000","1,910,000",95.5,189,0
301005060,General Administration and Policy,"4,553,963","2,126,977","2,426,986",53.3,189,0
,making Services,,,,,189,0
906005060,,"3,041,920","1,808,870","1,233,050",40.5,189,0
904005060,Environmental Planning And,"6,484,559","1,835,000","4,649,559",71.7,189,0
,Management,,,,,189,0
902005060,Conservation and management of,"128,386,715","21,880,490","106,506,225",83,189,0
,natural ecosystem,,,,,189,0
101005060,General Administration and Planning,"35,011,029","16,893,363","18,117,666",51.7,189,0
,Services,,,,,189,0
,Kisumu City,"511,326,844","179,250,245","332,076,599",64.9,189,0
109005060,Urban Planning $ Development,"29,182,514","14,590,492","14,592,022",50,189,0
,Control,,,,,189,0
501005060,Early Childhood Development.,"38,578,941","19,288,098","19,290,843",50,189,0
704005060,County Public Service Board,"324,686,836","85,932,610","238,754,226",73.5,189,0
401005060,Preventive & Promotive Health,"93,229,322","46,614,546","46,614,776",50,189,0
,Services,,,,,189,0
108005060,Revenue Generation and,"25,649,231","12,824,500","12,824,732",50,189,0
,Management,,,,,189,0
,County Assembly Service,"929,317,456","443,006,523","486,310,933",52.3,189,0
701005060,General Administration and Planning,"419,074,012","160,333,392","258,740,620",61.7,189,0
,services,,,,,189,0
705005060,Public Financial Management,"7,081,800","3,524,639","3,557,161",50.2,189,0
203005060,"Administration, Planning and","35,900,780","10,451,929","25,448,851",70.9,189,0
,Support Services,,,,,189,0
708005060,"Legislation & Oversight, services","193,519,904","94,949,889","98,570,015",50.9,189,0
710005060,County Assembly Service Board,"273,740,960","173,746,674","99,994,286",36.5,189,0
,County Public Service Board,"75,031,463","32,604,623","42,426,840",56.5,189,0
