Programme,Sub-program,"Approved Budget
(Kshs)",Actual Payments (Kshs),Variance (Kshs),Absorption (%),page_number,table_index,col_6
Department of Public Service,,"2,056,933,665","979,369,816","1,077,563,849",47.6,47,1,
Operations and Maintenance,,"205,000,000","75,182,900","129,817,100",36.7,47,1,
,Use of Goods and Services,"205,000,000","75,182,900","129,817,100",36.7,47,1,
Salaries and Wages,,"1,851,933,665","904,186,916","947,746,749",48.8,47,1,
,Personnel Emoluments,"1,851,933,665","904,186,916","947,746,749",48.8,47,1,
Department of Medical Services and Public Health,,"2,031,628,666","812,552,626","1,219,076,040",40.0,47,1,
Curative Services,,"183,391,102","72,644,134","110,746,968",39.6,47,1,
,Curative Services,"183,391,102","72,644,134","110,746,968",39.6,47,1,
Health Care Financing,,"184,408,000","92,175,000","92,233,000",50.0,47,1,
,"Cash Transfers to Health Fa-
cilities.","152,034,644","84,345,000","67,689,644",55.5,47,1,
,"DANIDA Funds disburse-
ments","15,660,000","7,830,000","7,830,000",50.0,47,1,
,"User fees forgone disburse-
ments","16,713,356",-,"16,713,356",-,48,0,
Health Infrastructure,,"240,407,763","14,020,972","226,386,791",5.8,48,0,
,Health Infrastructure,"240,407,763","14,020,972","226,386,791",5.8,48,0,
"Human Resources for Health
Services",,"1,252,531,842","611,324,830","641,207,012",48.8,48,0,
,Administrative Service,-,-,-,,48,0,
,"Administrative Services - Use
of Goods and Services","30,031,842","14,508,004","15,523,838",48.3,48,0,
,Personnel Emoluments,"1,219,500,000","596,802,826","622,697,174",48.9,48,0,
,Policy Development,"3,000,000","14,000","2,986,000",0.5,48,0,
"Preventing and Promotive Ser-
vices",,"88,129,352","3,053,750","85,075,602",3.5,48,0,
,"Communicable disease pre-
vention and Control","5,000,000","2,300,000","2,700,000",46.0,48,0,
,"Community and health facil-
ity-based interventions (sup-
port to UHC Vulnerable HH)","60,329,352",-,"60,329,352",-,48,0,
,"Community maternal and
child health (Inclusive of Cus
operationalisation)","2,300,000",-,"2,300,000",-,48,0,
,Nutrition services,"10,000,000",-,"10,000,000",-,48,0,
,"Sanitation programmes (in-
cluding BIDP)","10,500,000","753,750","9,746,250",7.2,48,0,
Reproductive Health Services,,"82,760,607","19,333,940","63,426,667",23.4,48,0,
,"Transformative Health Care
systems - Family planning
services","3,458,952",-,"3,458,952",-,48,0,
,"Transformative Health Care
systems - Immunization ser-
vices","3,458,952",-,"3,458,952",-,48,0,
,"Transformative Health Care
systems - Maternal, new-born
and child health services","75,842,704","19,333,940","56,508,764",25.5,48,0,
Department of Roads Public Works and Transport,,"743,774,836","421,379,162","322,395,674",56.7,48,0,
"County Transport Infrastruc-
ture",,"16,500,000",-,"16,500,000",-,48,0,
,"Construction of buildings
(Service Bay)","10,000,000",-,"10,000,000",-,48,0,
,"Equipping of County Mechan-
ical Workshop","3,000,000",-,"3,000,000",-,48,0,
,"Operationalisation of a Fleet
management system and con-
struction of a control room","2,000,000",-,"2,000,000",-,48,0,
,Road safety,"1,500,000",-,"1,500,000",-,48,0,
"Development and Maintenance
of other Public works",,"188,000,000","44,225,028","143,774,972",23.5,48,0,
,"Construction and equipping
of Material Testing Lab","6,000,000",-,"6,000,000",-,48,0,
,"Construction and Mainte-
nance of Motorised Bridge","105,000,000","44,225,028","60,774,972",42.1,49,0,
,"Consultancy services for Con-
struction works","3,000,000",-,"3,000,000",-,49,0,
,Culvert Installation,"25,000,000",-,"25,000,000",-,49,0,
,Foot Bridge construction,"45,000,000",-,"45,000,000",-,49,0,
,Purchase of software's,"4,000,000",-,"4,000,000",-,49,0,
Operations and Maintenance,,"83,673,772","40,034,733","43,639,039",47.8,49,0,
,Other Recurrent Expenditure,"52,500,000","20,886,799","31,613,201",39.8,49,0,
,Use of Goods and Services,"31,173,772","19,147,934","12,025,838",61.4,49,0,
"Roads Construction & Mainte-
nance",,"455,601,064","337,119,401","118,481,663",74.0,49,0,
,Construction of Roads,"455,601,064","337,119,401","118,481,663",74.0,49,0,
,Overhaul of Roads (RMLF),-,-,-,,49,0,
"Department of Agriculture, Livestock and Veterinary Services",,"479,388,692","11,276,119","468,112,573",2.4,49,0,
"Crop Development and Man-
agement",,"412,822,372",-,"412,822,372",-,49,0,
,Crop Management,"379,822,372",-,"379,822,372",-,49,0,
,Food & Nutrition Security,"33,000,000",-,"33,000,000",-,49,0,
"Livestock, Fisheries & Veteri-
nary Services",,"49,976,320",-,"49,976,320",-,49,0,
