Program,Sub Program,Description,Final Budget,Actual,Absorption,page_number,table_index
,502043510,"Promotion of Quality Youth em-
powerment","2,000,000.00",0,0.0,122,0
503003510,,Cultural and Arts Empowerment,"3,392,403.00",0,0.0,122,0
,503053510,,"3,392,403.00",0,0.0,122,0
504003510,,"Management and development
of Sports and sports facilities","107,953,995.50","10,193,386.85",9.4,122,0
,504013510,Sports Academy Centre,"107,953,995.50","10,193,386.85",9.4,122,0
505003510,,Culture and Social Services,"10,932,159.50","1,413,503.00",12.9,122,0
,505013510,Culture Development,"10,932,159.50","1,413,503.00",12.9,122,0
701003510,,Management of County Affairs,"156,626,650.00","88,357,364.10",56.4,122,0
,701013510,Personnel Services,"156,626,650.00","88,357,364.10",56.4,122,0
708003510,,"Prudent use of Financial Re-
sources","8,602,441.00","7,205,392.00",83.8,122,0
,708013510,Governors Delivery Unit,"8,602,441.00","7,205,392.00",83.8,122,0
709003510,,"Administration and support ser-
vices","271,080,328.00","132,486,123.90",48.9,122,0
,709013510,Personnel Services,"47,182,434.00","4,566,240.15",9.7,122,0
,709023510,Support Services,"130,221,152.50","15,505,813.00",11.9,122,0
,709083510,"Administrative Infrastructure
support","47,936,741.50","714,760.00",1.5,122,0
,709133510,"Public Financial Management
Services","45,740,000.00","111,699,310.75",244.2,123,0
710003510,,Public financial management,"3,652,500.00","2,538,000.00",69.5,123,0
,710013510,Administrative Services,0,"538,000.00",,123,0
,710043510,Audit Services,"3,652,500.00","2,000,000.00",54.8,123,0
711003510,,"Economic Planning and Coordi-
nation ion","37,345,846.50","11,880,790.00",31.8,123,0
,711013510,Monitoring and Evaluation,"23,277,721.00","3,323,000.00",14.3,123,0
,711023510,"Economic Policy and County De-
velopment Plans","5,023,125.50","3,240,100.00",64.5,123,0
,711043510,"County Development Stakehold-
ers Forums","5,450,000.00","3,376,690.00",62.0,123,0
,711053510,"County Baseline Surveys on
County Development Indicators","3,500,000.00","1,394,000.00",39.8,123,0
,711073510,"Capacity building and Support to
Departments","95,000.00","547,000.00",575.8,123,0
712003510,,Cohesion and Peace Building,"25,892,555.50","10,195,800.00",39.4,123,0
,712013510,"Administrative and Civic Educa-
tion Services","25,892,555.50","10,195,800.00",39.4,123,0
713003510,,"County Governance and Coordi-
nation Affairs","12,500,000.00","1,218,168.00",9.7,123,0
,713013510,County Governance,0,0,,123,0
,713033510,"Intergovernmental Services (Dep-
uty Governor Services)","12,500,000.00","1,218,168.00",9.7,123,0
716003510,,"County Devolved Administra-
tive Affairs","18,781,788.00","5,121,089.00",27.3,123,0
,716013510,Devolved Administrative Affairs,"18,781,788.00","5,121,089.00",27.3,123,0
719003510,,"Town administration, planning
and support services","154,976,966.00","30,076,657.40",19.4,123,0
,719023510,"General Administration Support
Services","154,976,966.00","30,076,657.40",19.4,123,0
723003510,,County Public Service,"30,387,017.50","24,204,132.00",79.7,123,0
,723023510,Administration Support Services,"30,387,017.50","24,204,132.00",79.7,123,0
725003510,,Special programmes,"287,306,860.00","9,074,500.00",3.2,123,0
,725023510,Disaster management,"287,306,860.00","9,074,500.00",3.2,123,0
726003510,,"KDSP(Kenya Devolution Sup-
port Programme) Conditional
Grant","60,187,094.50","-156,000.00",-0.3,123,0
,726013510,Kenya Devolution Support,"60,187,094.50","-156,000.00",-0.3,123,0
902003510,,,"24,700,000.00","1,903,000.00",7.7,123,0
,902023510,"Marginalized Group Empower-
ment support services","15,700,000.00","1,903,000.00",12.1,123,0
,902033510,Empowerment Support Services,"9,000,000.00",0,0.0,123,0
1001003510,,"Provision & Management of do-
mestic & livestock rural water
supply","80,969,004.00","6,451,214.00",8.0,123,0
,1001013510,"Administration and Planning Sup-
port Services","80,969,004.00","6,451,214.00",8.0,123,0
1002003510,,"Water Supply and Storage Ser-
vices","154,225,167.00","23,709,338.70",15.4,123,0
,1002023510,Water Supply and Storage,"154,225,167.00","23,709,338.70",15.4,123,0
,1002043510,"Civil Works-Establishment of
Dams & Pans",0,0,,123,0
1003003510,,"Conservation of Environment &
Natural Resources","52,042,302.50","719,100.00",1.4,123,0
,1003013510,"Administration and Support Ser-
vices","28,139,055.00","719,100.00",2.6,123,0
,1003023510,Environmental Conservation,"23,903,247.50",0,0.0,123,0
