Name of The Programme,"Approved Esti-
mates FY 2021/22
(Kshs.)","Total Expendi-
ture (Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Department of Finance and Economic Planning,,,,,204,1
"Budget Formulation, Coordination and Management
(0703023060)","2,140,000","1,219,098","920,902",57.0,204,1
General Administration (0704043060),"282,171,327","9,180,448","272,990,879",3.3,204,1
Revenue Collection Management (0710013060),"54,334,800","22,447,048","31,887,752",41.3,204,1
Public Finance and Accounting Services (0711013060),"1,084,206","27,115","1,057,091",2.5,204,1
Risk Assurance Services (0711033060),"72,413,210","28,448,443","43,964,767",39.3,204,1
Personal Services (0704013060),"105,031,442","96,001,549","9,029,893",91.4,204,1
Totals,"517,174,985","157,323,701","359,851,284",30.4,204,1
"Agriculture, Livestock and Fisheries",,,-,-,204,1
General Administration and Support Services {0102053060},"220,787,755","25,665,336","195,122,419",11.6,204,1
102063060,"84,506,661","79,341,675","5,164,986",93.9,204,1
Crop Production & Food Security {0107013060},"120,607,835","2,893,000","117,714,835",2.4,204,1
108023060,"16,329,652",-,-,-,204,1
Fish Production Management {0109013060},"14,069,110","7,291,638","6,777,472",51.8,204,1
Livestock Disease Control {0108033060},"13,601,574",-,-,-,204,1
"Farm Land Utilization, Mechanization & Crop Storage
{0107033060}","11,396,930",-,-,-,204,1
109023060,"6,720,000",-,-,-,204,1
"Agricultural Extension, Research & Training. {0107023060}","3,690,000","56,000","3,634,000",1.5,204,1
Total,"491,709,517","115,247,649","376,461,868",23.4,204,1
"Land, Environment, Mining and Natural Resources",,,-,-,204,1
0102053060 (General Administration and Support Services,"122,521,845","38,823,899","83,697,946",31.7,204,1
0102063060 (Personnel Services),"17,270,678","14,961,508","2,309,170",86.6,204,1
'0102073060 (),"19,985,649","729,900","19,255,749",3.7,204,1
0104013060 (Physical Development Plans),"10,822,835","4,682,000","6,140,835",43.3,204,1
0105013060 (Establishment of Squatter Settlement Schemes,"11,950,000","5,337,710","6,612,290",44.7,204,1
0106023060 (County Environmental Awareness Initiative),"42,740,000",-,-,-,204,1
0901023060 (),"13,801,580","7,219,160","6,582,420",52.3,204,1
Total,"239,092,587","71,754,177","167,338,410",30.0,204,1
Kwale Health Services,,,-,-,204,1
General Administration (0403013060),"628,197,576","283,306,538","344,891,038",45.1,204,1
Personnel Services (0403053060),"934,542,276","837,129,715","97,412,561",89.6,204,1
Msambweni Hospital (0405013060),"5,150,000","3,750","5,146,250",0.1,204,1
Kinango Hospital (0406013060),"5,000,000",-,-,-,204,1
Kwale Hospital (0407013060),"15,000,000",-,-,-,205,0
Tiwi Rural Health Facility (0408013060),"5,299,277",-,-,-,205,0
Samburu Hospital (0409013060),"10,000,000",-,-,-,205,0
Lungalunga Hospital (0410013060),"218,005,597","115,720,809","102,284,788",53.1,205,0
Rural Health Facilities (0412013060),"339,210,006","18,100,297","321,109,709",5.3,205,0
Diani Health Centre (0413013060),"86,368,250","74,537,717","11,830,533",86.3,205,0
Total,"2,246,772,982","1,328,798,826","917,974,156",59.1,205,0
County Assembly,,,-,-,205,0
704013060,"308,596,321","52,782,169","255,814,152",17.1,205,0
704043060,"434,912,324","82,274,037","352,638,287",18.9,205,0
705013060,"234,777,968","68,661,495","166,116,473",29.2,205,0
Total,"978,286,613","203,717,701","774,568,912",20.8,205,0
"Industry, Trade and Investments",,,-,-,205,0
Administration Services (0305023060),"104,826,082","34,440,825","70,385,257",32.9,205,0
Construction of New Markets (0306023060),"28,337,738",-,-,-,205,0
301013060,"2,285,000","1,702,200","582,800",74.5,205,0
301043060,"1,500,000",-,-,-,205,0
302023060,"3,791,333","9,450","3,781,883",0.2,205,0
305013060,"20,595,082","17,846,376","2,748,706",86.7,205,0
306013060,"4,103,750","3,304,667","799,083",80.5,205,0
307013060,"34,989,019","8,421,937","26,567,082",24.1,205,0
Total,"200,428,004","65,725,455","134,702,549",32.8,205,0
"Community Development, Youth and Women Empowerment
and Social Services",,,-,-,205,0
903013060,"25,312,490",-,-,-,205,0
903033060,"1,794,232","1,349,500","444,732",75.2,205,0
904013060,"100,000",-,-,-,205,0
905013060,"750,000","449,000","301,000",59.9,205,0
905023060,"32,875,000",-,-,-,205,0
905033060,"27,407,983","14,146,765","13,261,218",51.6,205,0
906013060,"19,408,526","17,404,689","2,003,837",89.7,205,0
906023060,"139,373,552","90,860,041","48,513,511",65.2,205,0
Total,"247,021,783","124,209,995","122,811,788",50.3,205,0
Office of the Governor and The Deputy Governor,,,-,-,205,0
Audit Services704013060,"36,368,134","31,729,504","4,638,630",87.2,205,0
General Administration704043060,"49,543,995","3,299,209","46,244,786",6.7,205,0
Media and Communication Services707033060,"16,440,725","6,686,097","9,754,628",40.7,205,0
Total,"102,352,854","41,714,810","60,638,044",40.8,205,0
Education,,,-,-,205,0
Personnel Services (0502023060),"254,357,964","226,194,810","28,163,154",88.9,205,0
Scholarship and Bursary (0504013060),"200,000,000","200,000,000",-,100.0,205,0
Administration Planning Support Service (0502013060),"348,205,577","109,084,831","239,120,746",31.3,205,0
Infrastructure Development (0503023060),"53,734,228","2,012,288","51,721,940",3.7,205,0
Youth Training Development( 0503013060),"24,527,500","15,442,596","9,084,904",63.0,205,0
501013060,"10,000,000",-,-,-,205,0
Early Childhood Development (0501043060),"184,151,611","9,892,897","174,258,714",5.4,205,0
Total,"1,074,976,880","562,627,422","512,349,458",52.3,205,0
Water and Urban Planning and Decentralized Units,,,-,-,205,0
"Construction & Maintenance of Water Pipeline Supply Systems
(1001023060)","46,180,944","4,921,821","41,259,123",10.7,205,0
Development of Borehole Water Supply System (1001033060),"75,370,612",-,-,-,205,0
