Programme,"Sub- Programme
(","Approved Budget
Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index,Sub- Programme,"Approved Budget
(Kshs)"
OFFICE OF GOVERNOR,,,,,,92,2,,
"P1: General Adminis-
tration Planning and
Support Services","SP1.1: Management of
County Affairs (Office
of Governor)","140,307,538.20","61,263,903.87","79,043,634.33",43.7,92,2,,
"P2: County Leader-
ship and Coordina-
tion",,,"20,421,301.29","26,347,878.11",43.7,93,0,"SP2.1: Sub-County
Administration and
Field Services","46,769,179.40"
,,,"12,252,780.77","15,808,726.87",43.7,93,0,"SP2.2: Management of
County Executive Ser-
vices (Office of County
Secretary)","28,061,507.64"
"P3: County Leader-
ship and Coordina-
tion",,,"8,168,520.52","10,539,151.24",43.7,93,0,"SP3.1: Public Sector
Advisory Services (Le-
gal, Political, and Eco-
nomic Advisors)","18,707,671.76"
Sub Total,,,"102,106,506.45","131,739,390.55",43.7,93,0,,"233,845,897.00"
COUNTY PUBLIC SERVICE BOARD,,,,,,93,0,,
"P1: Administration of
Human Resources in
Public Service",,,"1,232,548.49","1,600,578.31",43.5,93,0,"SP1.1: Performance
Management & Disci-
pline","2,833,126.80"
,,,"1,812,571.23","2,353,791.54",43.5,93,0,"SP1.2: Administration
of board programmes","4,166,362.78"
,,,"2,537,599.80","3,295,308.25",43.5,93,0,"SP1.3: Recruitment
and Selection, Career
Management, HR Pol-
icy & Audit","5,832,908.04"
,,,"1,667,565.59","2,165,488.29",43.5,93,0,"SP1.4 Quality service
delivery in the County
Public Service that is
effective and efficient","3,833,053.88"
"Administration of
Human Resources in
Public Service",,,"2,416,761.70","3,138,388.80",43.5,93,0,"SP2.1 Recruitment
and Selection, Career
Management, HR Pol-
icy & Audit","5,555,150.50"
,,,"2,416,761.70","3,138,388.80",43.5,93,0,"SP2.2 Administration
of Board programmes/
Agenda","5,555,150.50"
,,,"2,416,761.70","3,138,388.80",43.5,93,0,"SP2.3 Performance
Management & Disci-
pline","5,555,150.50"
Sub Total,,,"14,500,570.21","18,830,332.79",43.5,93,0,,"33,330,903.00"
PUBLIC SERVICE AND ADMINISTRATION,,,,,,93,0,,
"P1: General
Administration
Planning and
Support Services",,,"87,894,705.10","95,412,142.14",47.9,93,0,"SP1.1: Service Deliv-
ery and Management
of County Affairs","183,306,847.24"
P2: Public Service,,,"69,936,192.33","75,917,678.04",47.9,93,0,"SP2.1: Human Re-
source Development
and Culture Change
Management","145,853,870.37"
,,,"46,172,841.88","50,121,901.51",47.9,93,0,"SP2.2: Office Infra-
structure Expansion","96,294,743.39"
Sub Total,,,"204,003,739.31","221,451,721.69",47.9,93,0,,"425,455,461.00"
"P1: Policy and Gen-
eral Administrative
Services",,,"2,928,333.82","5,506,050.23",34.7,94,0,"SP1.1: General Ad-
ministrative Unit","8,434,384.05"
"P2: Gender and So-
cial Development",,,"3,904,445.09","7,341,400.31",34.7,94,0,"SP2.1: Communica-
tion Mobilization and
Development","11,245,845.40"
,,,"2,928,333.82","5,506,050.23",34.7,94,0,"SP2.2: Social Welfare
Services","8,434,384.05"
,,,"1,952,222.54","3,670,700.16",34.7,94,0,"SP2.3: Vocational Re-
habilitation and Train-
ing","5,622,922.70"
,,,"2,928,333.82","5,506,050.23",34.7,94,0,"SP2.4: Gender Main-
streaming and Devel-
opment","8,434,384.05"
P3: Children Services,,,"2,928,333.82","5,506,050.23",34.7,94,0,"SP3.1: Child Rehabili-
tation and Custody","8,434,384.05"
"P4: Culture and Cul-
tural Preservation",,,"1,952,222.54","3,670,700.16",34.7,94,0,"SP 4.1 Cultural Preser-
vation","5,622,922.70"
Sub Total,,,"19,522,225.44","36,707,001.56",34.7,94,0,,"56,229,227.00"
FINANCE AND ECONOMIC PLANNING,,,,,,94,0,,
"P1: General Adminis-
tration Planning and
Support Services",,,"8,067,091.47","8,198,310.01",49.6,94,0,"SP1.1: Administration,
Planning and Support
Services","16,265,401.48"
"P2: Economic Policy
and County Planning",,,"11,293,928.12","11,477,634.06",49.6,94,0,"SP 2.1: Economic De-
velopment Planning
and Coordination","22,771,562.18"
"P3: Financial Man-
agement Services",,,"5,240,383.00","5,325,622.57",49.6,94,0,"SP3.1: Control and
Management of Public
Finances","10,566,005.57"
"P4: Monitoring and
Evaluation",,,"10,819,579.52","10,995,569.76",49.6,94,0,"SP 4.1: Monitoring and
Evaluation of projects","21,815,149.27"
"P5: Research and
Statistics",,,"10,012,870.56","10,175,738.95",49.6,94,0,"SP5.1: County data-
base and profile","20,188,609.50"
Sub Total,,,"45,433,852.66","46,172,875.34",49.6,94,0,,"91,606,728.00"
"TRADE, TOURISM, INVESTMENT AND INDUSTRIALIZATION",,,,,,94,0,,
"P1: Administrative
Support Services",,,"1,083,495.02","9,321,842.34",10.4,94,0,"P1.1: Administrative
Support Services","10,405,337.36"
"P2: Trade develop-
ment and Promotion",,,"4,387,687.98","37,749,444.99",10.4,94,0,"P2.1: Trade develop-
ment and Promotion","42,137,132.96"
"P3: Industrial
Development and
Investment",,,"2,006,100.41","17,259,471.82",10.4,94,0,"P3.1: Industrial De-
velopment and Invest-
ment","19,265,572.23"
"P4: Tourism Devel-
opment",,,"1,641,354.83","14,121,385.61",10.4,94,0,"P4.1: Tourism Devel-
opment","15,762,740.44"
Sub Total,,,"9,118,638.24","78,452,144.76",10.4,94,0,,"87,570,783.00"
"AGRICULTURE, LIVESTOCK, FISHERIES AND CO-OPERATIVE DEVELOPMENT",,,,,,94,0,,
"P1: Administrative
Support Services",,,"16,379,208.55","84,248,521.83",16.3,94,0,"P1.1: Administrative
Support Services","100,627,730.38"
"P3: Agribusiness and
Information Manage-
ment",,,"16,314,185.77","83,914,068.96",16.3,95,0,"P3.1: Agribusiness and
Information Manage-
ment","100,228,254.73"
"P4: Livestock Re-
sources Management
and Development",,,"21,730,573.35","111,773,940.56",16.3,95,0,"P4.1: Livestock Re-
sources Management
and Development","133,504,513.91"
"P5: Fisheries Devel-
opment",,,"12,549,373.75","64,549,284.22",16.3,95,0,"P5.1: Fisheries Devel-
opment","77,098,657.97"
Sub Total,,,"125,493,736.71","645,492,838.29",16.3,95,0,,"770,986,575.00"
HEALTH,,,,,,95,0,,
"P1: Curative Health
Services",,,"519,772,733.42","630,115,464.13",45.2,95,0,"SP1.1: Primary Health
Care","1,149,888,197.55"
"P2: Preventive and
Promotive Health
Services",,,"213,934,690.34","259,350,958.66",45.2,95,0,"SP2.1: Health Promo-
tion & Disease Control","473,285,649.00"
"P3: General Adminis-
tration Planning and
Support Services",,,"168,808,875.38","204,645,369.07",45.2,95,0,"SP3.1: General Ad-
ministration services","373,454,244.45"
Sub Total,,,"902,516,299.15","1,094,111,791.85",45.2,95,0,,"1,996,628,091.00"
EMBU LEVEL 5 HOSPITAL,,,,,,95,0,,
"P1: Curative Health
Services",,,"50,520,165.96","116,840,245.01",30.2,95,0,"SP1.1: Primary Health
Care","167,360,410.97"
"P2: Preventive and
Promotive Health
Services",,,"14,155,808.21","32,738,770.11",30.2,95,0,"SP2.1: Health Promo-
tion & Disease Control","46,894,578.32"
"P3: General Adminis-
tration Planning and
Support Services",,,"10,401,913.84","24,056,970.88",30.2,95,0,"SP3.1: General Ad-
ministration services","34,458,884.72"
