Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,110,1
"Policy Planning, General
Administration and Support
Services","Policy and Planning Ser-
vices","4,000,000",-,"4,000,000",-,110,1
,"General Administration
and Support Services","151,127,711","75,747,699","75,380,012",50.1,110,1
,Sub total,"155,127,711","75,747,699","79,380,012",48.8,110,1
"Crop, Land and Agribusi-
ness Development Services",Crop Development Services,"7,272,161","2,986,652","4,285,509",41.1,110,1
,"Agribusiness Development
Services","14,000,000",-,"14,000,000",-,110,1
,"National Agriculture Rural
Inclusive Growth","279,115,289",-,"279,115,289",-,110,1
,"Agriculture Sector Develop-
ment Support Programme","31,096,673",-,"31,096,673",-,110,1
,Sub total,"331,484,123","2,986,652","328,497,471",0.9,110,1
"Food Security Enhancement
Services",Farm Input Access Services,"20,000,000",-,"20,000,000",-,110,1
,"Sub Sector Infrastructure
Development Services","10,815,877",,"10,815,877",-,110,1
,Subtotal,"30,815,877",-,"30,815,877",-,110,1
"Fisheries Resources Develop-
ment Services",Capture Fisheries,"12,000,000",-,"12,000,000",-,110,1
,Farmed Fish Production,"8,000,000",-,"8,000,000",-,110,1
,Sub total,"20,000,000",-,"20,000,000",-,110,1
"Livestock Development
Programme","Livestock Improvement and
Development","2,939,000",-,"2,939,000",-,111,0
,"Livestock Products Value
Addition and Marketing","19,910,000",-,"19,910,000",-,111,0
,"Livestock Health and Dis-
ease Management","9,151,000",-,"9,151,000",-,111,0
,Subtotal,"32,000,000",-,"32,000,000",-,111,0
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,111,0
"Policy, Planning and General
Administration services","General Administration
and Support Services","40,204,628","8,000,000","32,204,628",19.9,111,0
,"Policy and Planning Ser-
vices","19,632,110",-,"19,632,110",-,111,0
,Sub total,"59,836,738","8,000,000","51,836,738",13.4,111,0
"Tourism and Culture Devel-
opment Promotion Services","Tourism Development and
Promotion Services","19,000,000",,"19,000,000",-,111,0
,Subtotal,"19,000,000",-,"19,000,000",-,111,0
"Social Development and
Empowerment Services","Gender and Women Em-
powerment","2,000,000",,"2,000,000",-,111,0
,Youth Empowerment,"9,000,000",,"9,000,000",-,111,0
,Sub total,"11,000,000",-,"11,000,000",-,111,0
"Management and Develop-
ment of Sports and Sports
Facilities","Sports Infrastructure Devel-
opment Services","130,300,000","15,698,147","114,601,853",12.0,111,0
,"Sports Management and
Talent Development","15,000,000",,"15,000,000",-,111,0
,Sub total,"145,300,000","15,698,147","129,601,853",10.8,111,0
"Department of Roads, Transport and Public Works",,,,,,111,0
"General Administration,
Planning and Support
Services","Human Resource and Sup-
port Services","35,581,848","8,000,000","27,581,848",22.5,111,0
,"Roads and Transport Ser-
vices Operations","9,623,712",-,"9,623,712",-,111,0
,Sub total,"45,205,560","8,000,000","37,205,560",17.7,111,0
"Public works and mainte-
nance services","Quality control and En-
forcement","567,470",-,"567,470",-,111,0
,"Plant and Machinery main-
tenance","3,523,540",-,"3,523,540",-,111,0
,Subtotal,"4,091,010",-,"4,091,010",-,111,0
"Road Development and
Maintenance Services","Road Development and
Rehabilitation services","599,499,400","146,109,697","453,389,703",24.4,111,0
,Road maintenance,"230,000,006",,"230,000,006",-,111,0
,"Plant and Machinery Pur-
chase and maintenance","80,000,000",,"80,000,000",-,111,0
,Sub total,"909,499,406","146,109,697","763,389,709",16.1,111,0
Transport Services,Development of Jetties,"11,862,940",-,"11,862,940",-,111,0
,Subtotal,"11,862,940",-,"11,862,940",-,111,0
Department of Energy and Mining,,,,,,111,0
Energy Services,Electrical Power Services,"23,000,000",-,"23,000,000",-,111,0
,Solar Power Services,"48,900,000","10,933,500","37,966,500",22.4,111,0
,"Low-Cost energy Technolo-
gies promotion Services","5,000,000",-,"5,000,000",-,111,0
,Sub total,"76,900,000","10,933,500","65,966,500",14.2,111,0
"Mineral Resource Develop-
ment and Marketing Services","Construction mineral
development and marketing
services","3,800,000",-,"3,800,000",-,112,0
,Sub total,"3,800,000",-,"3,800,000",-,112,0
"General Administration,
Planning and Support
Services","Administrative Support
Services","17,884,228","5,000,000","12,884,228",28.0,112,0
,"Development of Policies,
Plans, Regulations and
Legislations",-,-,-,-,112,0
,Sub total,"17,884,228","5,000,000","12,884,228",28.0,112,0
Department of Education and ICT,,,,,,112,0
"General Administration and
Quality Assurance Service","General administration
Services","33,446,350",-,"33,446,350",-,112,0
,Quality Assurance Services,"511,468,564","289,066,202","222,402,362",56.5,112,0
,Sub total,"544,914,914","289,066,202","255,848,712",53.0,112,0
"ECDE and Vocational Train-
ing Services",EYE Services,"65,000,000","49,453,077","15,546,923",76.1,112,0
,"Vocational Training Ser-
vices","39,100,000",-,"39,100,000",-,112,0
,Sub total,"104,100,000","49,453,077","54,646,923",47.5,112,0
ICT Services,Information Services,-,-,-,-,112,0
,"ICT Infrastructure Devel-
opment","26,000,000",-,"26,000,000",-,112,0
,Subtotal,"26,000,000",-,"26,000,000",-,112,0
Department of Health Services,,,,,,112,0
"Policy planning and adminis-
trative support service","Policy, Planning and Moni-
toring Services","3,771,000",-,"3,771,000",-,112,0
,"Administrative Support
Services","1,923,223,195","1,199,333,343","723,889,852",62.4,112,0
,Sub total,"1,926,994,195","1,199,333,343","727,660,852",62.2,112,0
