Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
Monitoring & Evaluation Health,"1,500,000",-,-,-,409,0
Research & Development,"1,000,000",-,-,-,409,0
Policy & Planning Services,"500,000",-,-,-,409,0
,"19,200,000",-,-,-,409,0
Rehabilitation & Treatment,"4,500,000",-,-,-,409,0
Public Education & Awareness,"5,800,000",-,-,-,409,0
Liquor Licensing,"7,400,000",-,-,-,409,0
Training & Capacity Building,"1,500,000",-,-,-,409,0
"Social protection programmes/ Affirmative
Action","83,302,535","11,861,510","71,441,025",14.2%,409,0
"Construction of PWDs multi-purpose resource
canter","23,982,535","5,933,014","18,049,521",24.7%,409,0
Marginalized and Minority groups support,"4,520,000","296,470","4,223,530",6.6%,409,0
Child Rescue Centres,"27,000,000",-,-,-,409,0
Child Care & Protection,"27,800,000","5,632,026","22,167,974",20.3%,409,0
Sports and arts programme,"48,380,822","599,450","47,781,372",1.2%,409,0
Construction of sport Stadia,"21,382,266","599,450","20,782,816",2.8%,409,0
Stadia,"26,998,556",-,-,-,409,0
General Administration,"531,417,954","439,761,878","91,656,076",82.8%,409,0
General Administration,"157,417,954","65,761,878","91,656,076",41.8%,409,0
"Turkana Education and Skill Development
Fund","374,000,000","374,000,000",-,100.0%,409,0
Vocational Training,"57,476,413","2,932,260","54,544,153",5.1%,409,0
Youth Polytechnic Infrastructure,"24,500,000","1,765,900","22,734,100",7.2%,409,0
Training and Development,"10,110,000","618,560","9,491,440",6.1%,409,0
Co-Curricular Activities,"10,156,519","547,800","9,608,719",5.4%,409,0
Youth Polytechnics- Conditional,"12,709,894",-,-,-,409,0
Public Relations,"3,528,000","617,000","2,911,000",17.5%,409,0
Publicity,"1,620,000","617,000","1,003,000",38.1%,409,0
Research and Sensitization,"1,908,000",-,-,-,409,0
Early Childhood Education,"357,111,277","97,342,884","259,768,393",27.3%,409,0
School Feeding,"131,600,000","96,336,709","35,263,291",73.2%,410,0
Quality Improvement,"8,006,980","1,006,175","7,000,805",12.6%,410,0
Infrastructure Development,"201,552,682",-,-,-,410,0
Support to Pre-Primary Training,"15,951,615",-,-,-,410,0
