Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
"Field visits, data collection and Reporting","2,349,621","2,134,450","215,171",90.8%,412,0
Training and Knowledge management,"2,371,789","2,230,800","140,989",94.1%,412,0
"Devolved Monitoring and Evaluation Com-
mittees","1,862,740","1,455,300","407,440",78.1%,412,0
Public Participation and Access to Information,"29,656,119","7,105,408","22,550,711",24.0%,412,0
Construction of Citizen Resource Centre,"4,986,024","1,383,600","3,602,424",27.7%,412,0
Web site Development,"8,370,674","3,230,798","5,139,876",38.6%,412,0
"Social Budgeting and Generation of SIR
Reports","2,492,453","537,300","1,955,153",21.6%,412,0
Intergovernmental Relation,"11,860,000","1,455,790","10,404,210",12.3%,412,0
"Strategy Development, Review, Support and
Operationalization","1,946,968","497,920","1,449,048",25.6%,412,0
County Statistical Unit,"31,130,995","9,446,990","21,684,005",30.3%,412,0
"Soft wares, databases and tools","19,080,995","5,338,900","13,742,095",28.0%,412,0
Capacity Development,"6,107,460","831,300","5,276,160",13.6%,412,0
Project Mgt Information System,"5,942,540","3,276,790","2,665,750",55.1%,412,0
Service Delivery- ISO Certification,"12,765,582","1,689,460","11,076,122",13.2%,412,0
Service Charter,"4,964,629","1,630,240","3,334,389",32.8%,412,0
Development of County Filing Systems,"5,356,880",-,-,-,412,0
Procedure Manual and Training,"2,444,073","59,220","2,384,853",2.4%,412,0
County Internship Programme,"21,160,099","1,450,300","19,709,799",6.9%,412,0
County Internship Programme,"21,160,099","1,450,300","19,709,799",6.9%,412,0
Operationalization of Decentralized Units,"133,022,394","21,815,980","111,206,414",16.4%,412,0
Operationalization of Decentralized Units,"15,105,000","3,280,340","11,824,660",21.7%,412,0
Decentralized County Policy,"70,417,394","8,182,576","62,234,818",11.6%,412,0
Coordinated development,"15,000,000","3,630,350","11,369,650",24.2%,412,0
Policy sensitization and dissemination,"32,500,000","6,722,714","25,777,286",20.7%,412,0
"Mainstream Public Sector Integrity pro-
gramme & Accountability","6,572,328","1,677,025","4,895,303",25.5%,413,0
"Mainstream Public Sector Integrity pro-
gramme & Accountability","1,358,825","439,500","919,325",32.3%,413,0
"Public Evaluation on County Public Service
Board Performance","2,063,640","403,000","1,660,640",19.5%,413,0
Human Resource Conference & Symposium,"1,724,709","634,525","1,090,184",36.8%,413,0
Exit Meetings Per Department,"1,425,154","200,000","1,225,154",14.0%,413,0
Disaster Risk Reduction,"11,667,654","3,699,460","7,968,194",31.7%,413,0
"Turkana County Drought and Disaster Contin-
gency Fund (CDDCF)","2,417,341","763,060","1,654,281",31.6%,413,0
Turkana Multi hazard/Risk,"1,600,000","563,000","1,037,000",35.2%,413,0
Assessment and stake holder capacity mapping,"5,519,959","1,996,200","3,523,759",36.2%,413,0
"Regular Assessments of Food, Flood and Con-
flict Security","2,130,354","377,200","1,753,154",17.7%,413,0
Human resource,"12,487,654","2,411,175","10,076,479",19.3%,413,0
Scheme of service,"1,697,226","386,800","1,310,426",22.8%,413,0
Performance Appraisal,"2,923,266","406,000","2,517,266",13.9%,413,0
"Enhancing Leadership In County Public
Service","1,285,407","290,200","995,207",22.6%,413,0
Review and Development of HR Policies,"1,263,171","308,000","955,171",24.4%,413,0
"Human Resource Development/Career Pro-
gression","1,351,206","303,675","1,047,531",22.5%,413,0
Performance Management Monitoring,"870,096","189,950","680,146",21.8%,413,0
Development of Database Filing System,"1,046,421","196,375","850,046",18.8%,413,0
"County Public Service Pre-Retirement Sensi-
tization","981,562",-,-,-,413,0
"Evaluation of Different Cadres of Employ-
ees(Promotion, Re-Designation)","1,069,299","330,175","739,124",30.9%,413,0
Quality management system programming,"5,590,876","1,182,700","4,408,176",21.2%,413,0
"Quality Management Systems Development &
Establishment","2,323,475","582,100","1,741,375",25.1%,413,0
QMS Audit /Routine Inspection,"1,562,286","378,000","1,184,286",24.2%,413,0
"Documentation/Record Management For
QMS","1,705,115","222,600","1,482,515",13.1%,413,0
Budgetary Supply,"112,185,942","18,481,160","93,704,782",16.5%,413,0
"Budget Formulation, Co-ordination and
Management","69,679,889","13,347,360","56,332,529",19.2%,413,0
Public Participation in Budgeting,"34,100,000","4,837,700","29,262,300",14.2%,413,0
County Budget and Economic Forum,"8,406,053","296,100","8,109,953",3.5%,413,0
Resource Mobilisation,"6,188,053","1,865,960","4,322,093",30.2%,413,0
Resource Mobilisation,"6,188,053","1,865,960","4,322,093",30.2%,413,0
Governors Press Service,"7,392,958","35,000","7,357,958",0.5%,413,0
Governors Press support,"7,392,958","35,000","7,357,958",0.5%,413,0
Governance and Public participation,"74,961,363","5,523,597","69,437,766",7.4%,414,0
Civic education Programme,"2,000,000",-,-,-,414,0
Public Participation and access to information,"65,461,363","3,811,417","61,649,946",5.8%,414,0
County Dialogue Forum,"2,000,000",-,-,-,414,0
National & County Holidays,"4,000,000","1,712,180","2,287,820",42.8%,414,0
Policies Design,"1,500,000",-,-,-,414,0
Disaster risk management,"308,500,000","3,875,040","304,624,960",1.3%,414,0
Disaster Preparedness Programmes,"2,500,000",-,-,-,414,0
Disaster Mitigation Programmes,"2,500,000","750,080","1,749,920",30.0%,414,0
"Stakeholders coordination and Support Pro-
gramme","2,500,000",-,-,-,414,0
Humanitarian Relief Food Programme,"300,000,000","3,124,960","296,875,040",1.0%,414,0
Disaster Risk Mgt,"1,000,000",-,-,-,414,0
Inspectorate services,"35,046,442","735,650","34,310,792",2.1%,414,0
"Establishment and Mainstreaming of the coun-
ty Inspectorate",,,,,414,0
Inspectorate Training Institute,"19,989,269",-,-,-,414,0
Dispute Resolution,"2,557,173",-,-,-,414,0
Capacity Building,"3,300,000","295,050","3,004,950",8.9%,414,0
Inspectorate Services,"5,000,000","440,600","4,559,400",8.8%,414,0
Inspectorate Services Equip,"4,200,000",-,-,-,414,0
Human resource management,"37,636,000","2,731,716","34,904,284",7.3%,414,0
Payroll and record management,"3,600,000","298,150","3,301,850",8.3%,414,0
Human Resource Development,"8,936,000","410,940","8,525,060",4.6%,414,0
"GHRIS Leave & Performance Module Imple-
mentation","2,800,000","538,400","2,261,600",19.2%,414,0
"Digitization and Automation of Human Re-
source Registry","5,000,000","409,406","4,590,594",8.2%,414,0
"Mainstreaming Public Sector Integrity Pro-
gramme","7,800,000","405,000","7,395,000",5.2%,414,0
County performance management,"2,700,000",-,-,-,414,0
Public Service Week,"1,800,000","234,930","1,565,070",13.1%,414,0
Records Mgt,"2,000,000","434,890","1,565,110",21.7%,414,0
HRM,"3,000,000",-,-,-,414,0
,"22,732,423","2,040,524","20,691,899",9.0%,414,0
Govt Programming,"7,400,000","1,540,524","5,859,476",20.8%,414,0
Community Engagement,"5,200,000",-,-,-,414,0
Govt Stakeholder Engagement,"5,420,000","500,000","4,920,000",9.2%,414,0
Govt Transformation,"4,712,423",-,-,-,414,0
General Administration,"71,516,164","30,843,527","40,672,637",43.1%,414,0
"General Administration, Planning and Support
Services","71,516,164","30,843,527","40,672,637",43.1%,415,0
Tourism destination marketing and promotion,"24,500,000","102,420","24,397,580",0.4%,415,0
"Tourism expos, incentives, conferences and
exhibition program","1,000,000",-,-,-,415,0
Community Based Tourism products,"2,800,000","102,420","2,697,580",3.7%,415,0
"Tourism Market Research (Baseline Survey &
Mapping)","15,500,000",-,-,-,415,0
"Media Campaign and Promotion of Tourism
Products and Programmes","5,200,000",-,-,-,415,0
Tourism development and Promotion,"58,845,172",-,-,-,415,0
Completion and Furnishing of Eco-Lodges,"58,845,172",-,-,-,415,0
"Culture, arts, heritage development, promotion
and preservation","78,780,400","1,727,825","77,052,575",2.2%,415,0
Ushanga Initiative,"17,300,000","235,000","17,065,000",1.4%,415,0
Culture Promotion and Preservation,"27,880,400",-,-,-,415,0
Arts and Creativity Development,"2,200,000",-,-,-,415,0
Heritage Promotion,"3,000,000","426,275","2,573,725",14.2%,415,0
Annual tourism and cultural festival,"28,400,000","1,066,550","27,333,450",3.8%,415,0
"Culture development and preservation infra-
structure","2,500,000",-,-,-,415,0
"Equipment and Infrastructure Development at
Ekalees Centre","2,500,000",-,-,-,415,0
"Forestry and wildlife management develop-
ment and management","24,053,104","1,255,290","22,797,814",5.2%,415,0
Forestry Management and Conservation,"5,400,000","1,173,150","4,226,850",21.7%,415,0
Community Wildlife Conservation,"3,100,000",-,-,-,415,0
Forest Nature-Based Development,"2,153,104",-,-,-,415,0
Forestry Development Infrastructure,"11,400,000",-,-,-,415,0
Forestry Protection,"600,000",-,-,-,415,0
Prosopis Mgt,"1,400,000","82,140","1,317,860",5.9%,415,0
Turkana Water Programme,"332,421,056","7,360,100","325,060,956",2.2%,415,0
"General Administration, Planning and support
services","12,000,000","1,550,000","10,450,000",12.9%,415,0
"Construction and Desilting of Water Pans/
Rock Catchment","82,898,707",-,-,-,415,0
Rehabilitation of Water Infrastructure,"106,845,789","3,742,000","103,103,789",3.5%,415,0
Drilling and Equipping of Boreholes,"122,163,068","1,350,800","120,812,268",1.1%,415,0
Equipment of Quality Analysis Laboratory,"6,000,000",-,-,-,415,0
Project Coordination and Management,"2,513,492","717,300","1,796,192",28.5%,415,0
Joint planning with stakeholders,"45,231,510","550,960","44,680,550",1.2%,415,0
Technical planning and design,"45,231,510","550,960","44,680,550",1.2%,415,0
"IRRIGATION AND SCHEMES DEVELOP-
MENT PROGRAMME","6,299,545","240,000","6,059,545",3.8%,415,0
"Feasibility studies for irrigation systems devel-
opment","6,299,545","240,000","6,059,545",3.8%,415,0
TURKANA AGRICULTURE PROGRAMME,"19,500,000","1,122,520","18,377,480",5.8%,416,0
Farmers training,"4,000,000","445,100","3,554,900",11.1%,416,0
"Establishment of farm demonstrations and
trials","5,200,000","133,000","5,067,000",2.6%,416,0
Organising field days show and exhibitions,"1,500,000","70,000","1,430,000",4.7%,416,0
Climate Change & Adaptation,"8,800,000","474,420","8,325,580",5.4%,416,0
"TURKANA REHABILITATION PRO-
GRAMME","14,071,178","1,552,620","12,518,558",11.0%,416,0
"Construction of trapezoidal bunds, contours &
micro catchment","2,718,000","327,000","2,391,000",12.0%,416,0
"Construction of rock catchments and sand
dams","1,728,000","611,900","1,116,100",35.4%,416,0
Sinking of shallow wells,"5,625,178","238,720","5,386,458",4.2%,416,0
Artisanal Mining Equipment,"2,000,000",-,-,-,416,0
Extractive Bills & Policies,"2,000,000","375,000","1,625,000",18.8%,416,0
General Administration and Support,"189,588,777","68,332,524","121,256,253",36.0%,416,0
General Administration and Support,"189,588,777","68,332,524","121,256,253",36.0%,416,0
,"3,056,732","106,000","2,950,732",3.5%,416,0
Oil & gas,"1,600,000","54,000","1,546,000",3.4%,416,0
Extractive Regulations & Strategies,"1,456,732","52,000","1,404,732",3.6%,416,0
Municipality operations,"144,694,910","4,849,700","139,845,210",3.4%,416,0
General Admin Planning and Support Services,"45,566,997","3,971,340","41,595,657",8.7%,416,0
Municipal Planning,"11,051,110","227,160","10,823,950",2.1%,416,0
Municipal Services,"88,076,803","651,200","87,425,603",0.7%,416,0
County Attorney,"137,094,404","9,862,867","127,231,537",7.2%,416,0
,"16,629,600","7,472,860","9,156,740",44.9%,416,0
"General Administration, Planning and Support
Services- County Attorney","16,629,600","7,472,860","9,156,740",44.9%,416,0
,"89,514,590","2,390,007","87,124,583",2.7%,416,0
Litigation,"75,062,800","1,443,137","73,619,663",1.9%,416,0
Govt Agreements & Contracts,"7,854,800","479,950","7,374,850",6.1%,416,0
Legal Audit & Compliance,"6,596,990","466,920","6,130,070",7.1%,416,0
,"26,466,214",,"26,466,214",0.0%,416,0
Legislation,"18,562,214",,"18,562,214",0.0%,416,0
Policy & Legal Briefs,"7,904,000",,"7,904,000",0.0%,416,0
,"4,484,000","123,560,329","(119,076,329)",2755.6%,416,0
Training of Legal Counsel,"1,630,000",,"1,630,000",0.0%,416,0
Legal Training & Awareness,"2,854,000",,"2,854,000",0.0%,416,0
COUNTY ASSEMBLY OF TURKANA,"976,950,164","524,747,363","452,202,801",53.7%,416,0
"General Administration, Planning and Support
Services- County At","909,552,162","524,747,363","384,804,799",57.7%,416,0
