"Depart-
ment",Programme,Sub-Programme,"Approved Esti-
mates (Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),Absorption Rate (%,page_number,table_index
,,"SP 1.1: Administra-
tion Services","381,694,096","121,882,707","259,811,389",32%,303,0
,,"SP 1.2: Personnel
Services","552,772,189","1,482,604","551,289,585",0%,304,0
,,"SP 1.3: Financial
Services",-,-,-,,304,0
,,"PROGRAMME 2:
PUBLIC FINANCE
MANAGEMENT",,,-,,304,0
,,"SP 2.1: Budget
Formulation
Coordination And
Management","64,407,062","10,364,979","54,042,083",16%,304,0
,,"SP 2.2: Resource
Mobilization","82,630,120","13,852,716","68,777,404",17%,304,0
,,"SP 2.3: Internal
Audit","34,644,521","3,238,590","31,405,931",9%,304,0
,,"SP 2.4: Procure-
ment","18,120,293","1,734,700","16,385,593",10%,304,0
,,"SP 2.5: Public
Finance And Ac-
counting","26,536,381","1,305,070","25,231,311",5%,304,0
,,"SP 2.6: Debt Man-
agement","97,542,906","23,133,891","74,409,015",24%,304,0
,,"SP 2.7: External
Resource Mobili-
zation","11,923,988","1,357,100","10,566,888",11%,304,0
,,"PROGRAMME
3: ECONOMIC
AND FINANCIAL
POLICY FORMU-
LATION AND
MANAGEMENT",,,-,,304,0
,,"SP 3.1: Fiscal Plan-
ning","27,960,301","4,151,469","23,808,832",15%,304,0
,,"SP 3.2: Monitor-
ing & Evaluation
/ Statistical Data
Management","9,626,747","1,698,523","7,928,224",18%,304,0
,,"SP 3.3: KDSP Pro-
gramme","232,715,207",,"232,715,207",0%,304,0
"Office
of the
Gover-
nor and
Deputy
Gover-
nor",,,,,,,304,0
,"ADMINIS-
TRATION,
PLANNING &
SUPPORT","ADMINISTRA-
TION & PLAN-
NING","259,804,704","41,664,697","218,140,007",16%,304,0
,,"PERSONNEL
SERVICES","94,514,968","2,542,745","91,972,223",3%,304,0
,"MANAGE-
MENT OF
COUNTY
AFFAIRS","COUNTY EXECU-
TIVE SERVICES","14,352,112",-,"14,352,112",0%,304,0
,,"POLICY DIREC-
TION & COORDI-
NATION","82,176,056",-,"82,176,056",0%,304,0
,,"COUNTY POLIC-
ING SERVICES","4,305,633",-,"4,305,633",0%,304,0
,,"LEADERSHIP &
GOVERNANCE","2,870,422","2,384,430","485,992",83%,304,0
,"COORDI-
NATION &
SUPERVISORY
SERVICES","ORGANIZATION
OF COUNTY
BUSINESS","21,528,167","926,500","20,601,667",4%,304,0
,,"SPECIAL PRO-
GRAMMES","7,176,056",-,"7,176,056",0%,305,0
"Naivasha
Munici-
pality",,,,,,,305,0
,"PROGRAMME 1: ADMINISTRA-
TION PLANNING AND SUPPORT
SERVICES",,,,,,305,0
,,"SP 1.1 Administra-
tion and planning","25,711,622",,"25,711,622",0%,305,0
,,"SP 1.2 Personnel
Services","8,447,760","1,463,300","6,984,460",17%,305,0
,,"SP 1.3 Financial
Services","600,000",-,"600,000",0%,305,0
,"PROGRAMME
2: NAIVASHA
MUNICIPAL
SERVICES","S.P 2.1: Planning
and Infrastructure","474,615,032","46,360,445","428,254,587",10%,305,0
,,"S.P 2.2: Environ-
mental Manage-
ment and Sanita-
tion","900,000",-,"900,000",0%,305,0
,,"S.P 2.3: Naivasha
Social Services","400,000",-,"400,000",0%,305,0
,,"S.P 2.4: Tourism,
Investment and
Trade","1,000,000",-,"1,000,000",0%,305,0
"Lands
Hous-
ing and
Physical
Planning",,,,,,,305,0
,"Programme 1:
Administration,
Planning, Man-
agement and
Support Services","SP 1.1 Administra-
tion and financial
service","120,086,278","3,100,225","116,986,053",3%,305,0
,"Programme 2:
Land Use Plan-
ning and Survey","SP 2.1 Nakuru
County Land use
plan","95,780,964","34,893,888","60,887,076",36%,305,0
,,"SP 2.2 Land Infor-
mation Manage-
ment System (LIM)","500,000",,"500,000",0%,305,0
,,"SP 2.3 Surveying
and Mapping of
county","33,735,888",,"33,735,888",0%,305,0
,,"SP 2.4 Urban Plan
and Development","1,301,615",,"1,301,615",0%,305,0
,,"SP 2.5 Surveying of
Urban Centres","1,000,000",,"1,000,000",0%,305,0
,,"SP 2.6 Surveying of
County Estate and
facilitation of Lease
processing","1,500,000",,"1,500,000",0%,305,0
,,"SP 2.7 Establish-
ment of a survey
Centre and Map-
ping Centre’s","1,058,385",,"1,058,385",0%,305,0
,"Programme 3:
Housing De-
velopment and
Management","SP 3.1 Maintenance
of County Houses","3,500,000",,"3,500,000",0%,305,0
,,"SP 3.2 Hous-
ing Technology
Establishment of
five Constituency
Building Technolo-
gy Centres","13,097,454","300,000","12,797,454",2%,306,0
,,"SP 3.3 Develop-
ment of Housing
Infrastructure","39,478,226",,"39,478,226",0%,306,0
"Nakuru
Munici-
pality",,,,,,,306,0
,"SP 1.1 Admin-
istration and
Planning","SP 1.1 Administra-
tion and Planning","23,381,482","5,361,614","18,019,868",23%,306,0
,,"SP 1.2 Personnel
Services","16,668,432","200,000","16,468,432",1%,306,0
,,"SP 1.3 Financial
Services","600,000","80,000","520,000",13%,306,0
,"Programme 2:
Nakuru Munic-
ipality Urban
Planning and
Development","Programme 2:
Nakuru Municipal-
ity Urban Planning
and Development",,,,,306,0
,,"SP 2.1 Infrastruc-
ture Development
and Urban Plan-
ning","841,805,592",-,,0%,306,0
,,"SP 2.2 Nakuru
Municipality
Environmental
Management","1,500,000",-,,0%,306,0
,,"SP 2.3 Trade Mar-
kets and Invest-
ments","2,000,000",-,,0%,306,0
,,"SP 2.4 Nakuru
Municipality Social
Services","3,688,664",-,,0%,306,0
"Public
Service
Train-
ing and
Devolu-
tion",,,,,,,306,0
,"Programme 1:
Administration,
Planning and
Support Service","SP 1.1 Administra-
tion Services","202,357,877","40,602,749","161,755,129",20%,306,0
,,"SP 1.2. Personnel
Services","543,295,896","245,937,281","297,358,615",45%,306,0
,,"SP 1.3. Financial
Services","500,000",-,"500,000",0%,306,0
,,"SP 1.4. Co-Ordina-
tion Of Public And
Special Community
Programmes","3,550,000",-,"3,550,000",0%,306,0
