Programme,Sub- Programme,"Approved Budge
(Kshs.)","t Actual Payments
(Kshs.)",Variance (Kshs.),Absorption (%),page_number,table_index,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)"
"Agriculture, Livestock Development and Fisheries Development",,,,,,265,1,,
"Agriculture Mechanisa-
tion Services","Agriculture Mechanisation Ser-
vices","1,700,00",0 -,"1,700,000",-,265,1,,
Crop Development,Crop Development,"3,820,40",0 -,"3,820,400",-,265,1,,
,Crop Development,"49,420,00",0 -,"49,420,000",-,265,1,,
Fisheries Development,Fisheries Development,,,"1,860,000",-,266,0,"1,860,000",-
,"Fisheries Development and Man-
agement",,,"6,212,000",-,266,0,"6,212,000",-
,"Aquaculture Development and
Extension Services",,,"22,714,000",-,266,0,"22,714,000",-
"General administration,
planning & support ser-
vice",General administration,,,"98,266,497",35,266,0,"151,011,774","52,745,277"
,capacity building and training,,,"2,419,790",-,266,0,"2,419,790",-
,"Field Extension Services and
Support Programme",,,"1,121,716",89,266,0,"9,947,800","8,826,084"
,"Field Extension Services and
Support Programme",,,"8,494,460",12,266,0,"9,691,300","1,196,840"
,"Field Extension Services and
Support Programme",,,"7,877,150",15,266,0,"9,243,150","1,366,000"
,"Field Extension Services and
Support Programme",,,"8,871,553",5,266,0,"9,296,044","424,491"
,"Field Extension Services and
Support Programme",,,"320,000",-,266,0,"320,000",-
,"Field Extension Services and
Support Programme",,,"500,000",-,266,0,"500,000",-
,Donor Fund,,,"326,183,754",5,266,0,"342,397,464","16,213,710"
,Donor Fund,,,"2,596,660",-,266,0,"2,596,660",-
"Livestock Resources
Management and Devel-
opment",Disease control,,,"1,750,000",-,266,0,"1,750,000",-
,Feed & livestock products,,,"4,390,000",-,266,0,"4,390,000",-
,"Livestock Breeds Improvement &
Upgrading",,,"29,514,414",-,266,0,"29,514,414",-
Veterinary services,"Veterinary Public Health man-
agement",,,"1,186,000",-,266,0,"1,186,000",-
,"Livestock Breeding and Livestock
Products",,,"5,378,500",-,266,0,"5,378,500",-
,"Livestock Disease Control and
Management",,,"8,600,000",-,266,0,"8,600,000",-
,"Veterinary Public Health man-
agement",,,"4,000,000",-,266,0,"4,000,000",-
Total,Total,,,"597,196,894",12,266,0,"677,969,296","80,772,402"
County Assembly,,,,,,266,0,,
"General administration
and support services","General Administration & sup-
portive services",,,"470,182,566",33,266,0,"701,155,331","230,972,765"
"Oversight management
services","Committee management ser-
vices",,,"45,755,913",10,266,0,"50,738,280","4,982,367"
Legislative services,"legislation development & ap-
proval services",,,"94,384,571",51,266,0,"193,254,219","98,869,648"
,Total,,,"610,323,050",35,266,0,"945,147,830","334,824,780"
County Attorney,,,,,,266,0,,
"Management and admin-
istration",General administration,,,"126,559,462",26,266,0,"172,151,962","45,592,500"
,Total,,,"126,559,462",26,266,0,"172,151,962","45,592,500"
County Executive,,,,,,266,0,,
"Enhanced Management,
Coordination & Supervi-
sion.",Peace Building Initiatives,,,"3,715,000",-,266,0,"3,715,000",-
General Administration,"General Administration(Deputy
Governors)",,,"12,466,100",39,266,0,"20,485,000","8,018,900"
"Governance and Execu-
tive Management",Citizen Delivery Services,,,"103,403,573",5,266,0,"108,400,000","4,996,427"
,Citizen Delivery Services,,,"14,266,789",43,266,0,"25,000,000","10,733,211"
,"Governance and Executive man-
agement",,,"17,582,952",67,266,0,"53,993,880","36,410,928"
"Strategy and service de-
livery",Strategy and advisory,,,"76,735,004",12,267,0,"86,832,464","10,097,460"
Total,Total,,,"228,169,418",24,267,0,"298,426,344","70,256,926"
"Education, Gender, Sports, Youth Development and Culture",,,,,,267,0,,
"Culture Development
Promotion and Arts","Culture and Heritage Conserva-
tion",,,"602,600",40,267,0,"1,000,000","397,400"
ECDE Services,Child Care Services,,,"97,225,416",-,267,0,"97,225,416",-
"Education Support Ser-
vices",Bursaries,,,"1,017,733",97,267,0,"40,000,000","38,982,267"
External Funding,Conditional Grants,,,"17,984,692",-,267,0,"17,984,692",-
"Gender and Equality Ser-
vices",Women Empowerment,,,"1,000,000",-,267,0,"1,000,000",-
,General administration,,,"39,195,915",58,267,0,"94,227,969","55,032,054"
,General administration,,,"192,525,639",27,267,0,"262,144,649","69,619,010"
"National Arts and cultural
services","Construction of Cultural Central
and Cultural Activities",,,"500,000",-,267,0,"500,000",-
"Sports and Talent Devel-
opment",Sports and Talent Development,,,"1,763,770",50,267,0,"3,500,000","1,736,230"
,Vocational Training Services,,,"28,053",99,267,0,"5,000,000","4,971,947"
,Sports Development,,,"371,045,454",1,267,0,"374,045,454","3,000,000"
,Sports Development,,,"3,001,050",14,267,0,"3,500,000","498,950"
"Youth development and
empowerment services",Vocational Training Services,,,"21,000,000",-,267,0,"21,000,000",-
,Total,,,"746,890,322",19,267,0,"921,128,180","174,237,858"
"Environment, Natural Resource and Disaster Management",,,,,,267,0,,
