Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
County Executive,,,,,,439,1
"Coordination and Super-
visory Services",Governor,"492,168,510","250,152,277","242,016,233",50.8,439,1
"Coordination and Super-
visory Services",Deputy Governor,"20,000,000","3,000,000","17,000,000",15.0,439,1
"Coordination and Super-
visory Services",County Secretary,"10,320,000","2,360,000","7,960,000",22.9,439,1
,Total,"522,488,510","255,512,277","266,976,233",48.9,439,1
County Assembly,,,,,,439,1
"General Administration
and support services","General Administration
and Support Services","893,341,593","464,212,448","429,129,145",52.0,439,1
,Total,"893,341,593","464,212,448","429,129,145",52.0,439,1
"Finance and Economic
Planning",,,,,,439,1
Accounting Services,Treasury,"643,190,612","334,865,193","308,325,419",52.1,439,1
County Statistics,Economic planning,"32,452,200","6,213,848","26,238,352",19.1,439,1
Revenue Services,Revenue,"29,813,792","5,527,424","24,286,368",18.5,439,1
"Budget management
services",Budget,"14,796,700","7,239,600","7,557,100",48.9,439,1
Internal Audit,Internal Audit,"9,520,725","2,400,000","7,120,725",25.2,439,1
"Supply Chain Manage-
ment",Procurement,"20,276,000","10,163,396","10,112,604",50.1,439,1
,Total,"750,050,029","366,409,461","383,640,568",48.9,439,1
Road and Transport,,,,,,439,1
"General Administration
and support services","General Administration
and Support Services","205,696,574","53,860,446","151,836,128",26.2,439,1
"County Transport
Services",Transport,"421,429,086","28,321,281","393,107,805",6.7,439,1
,Total,"627,125,660","82,181,727","544,943,933",13.1,439,1
Water and Irrigation,,,,,,439,1
"Water Supplies Over-
haul and maintenance
Services",Water Supplies Overhaul,"390,000,000","114,518,824","275,481,176",29.4,439,1
"Infrastructure develop-
ment Services","New Infrastructure devel-
opment Services","317,000,000",-,"317,000,000",0.0,439,1
"General Administration
and support services","General Administration
and Support Services","292,561,124","160,838,741","131,722,383",55.0,440,0
,Total,"999,561,124","275,357,565","724,203,559",27.5,440,0
"Energy, Environment
and Natural Resources",,,,,,440,0
Energy Service,Energy,"35,485,724","29,812,136","5,673,588",84.0,440,0
"Environment Conserva-
tive Services",Environment,"242,383,304","5,200,009","237,183,295",2.1,440,0
Wildlife and Tourism,Natural Resources,"7,954,800",,,,440,0
,Total,"285,823,828","35,012,145","250,811,683",12.2,440,0
"Public Health, Medical
Service and Sanitation",,,,,,440,0
"Curative, Rehabilitative
and Referral Services",Curative,"831,812,000","115,393,169","716,418,831",13.9,440,0
"Preventive and Promo-
tive Services",Preventive,"151,787,000","124,764,247","27,022,753",82.2,440,0
Special Program Service,Special Programme,"17,600,000",-,"17,600,000",0.0,440,0
Health Research,Research,"13,256,000","3,971,517","9,284,483",30.0,440,0
"General Administration
and support services","General Administration
and Support Services","2,008,254,734","889,877,621","1,118,377,113",44.3,440,0
Family Health,Family Health,"108,119,183",,"108,119,183",,440,0
,Total,"3,130,828,917","1,134,006,554","1,996,822,363",36.2,440,0
"Education , Youth, Gen-
der and Social Services",,,,,,440,0
ECD Support Service,ECD,"674,919,328","276,577,613","398,341,715",41.0,440,0
"Infrastructure develop-
ment","Vocational training and
Youth Affairs","17,653,000","2,375,871","15,277,129",13.5,440,0
Social Services,Social Services,"40,044,400",,"40,044,400",0.0,440,0
Gender/Social Services,Gender,"44,484,100","19,968,621","24,515,479",44.9,440,0
"Promotion of Culture
and Heritage Services","Heritage and Library
Services","14,667,800","448,800","14,219,000",3.1,440,0
,Total,"791,768,628","299,370,905","492,397,723",37.8,440,0
"Agriculture, Livestock
and Fisheries",,,,,,440,0
Agriculture Services,Agriculture,"218,473,480","117,790,731","100,682,749",53.9,440,0
"Livestock Resources
Management and Devel-
opment",Livestock/Veterinary,"707,873,981","150,000","707,723,981",-,440,0
"Fisheries Development
and Management",Fisheries,"15,436,400","100,000","15,336,400",0.6,440,0
"Irrigation Management
Services",Irrigation,"50,734,400",-,"50,734,400",0.0,440,0
,Total,"992,518,261","118,040,731","874,477,530",11.9,440,0
"ICT and E-Govern-
ment, Trade, Industrial-
ization and Cooperative
Development",,,,,,440,0
Trade Services,Trade,"204,458,180","75,964,210","128,493,970",37.2,440,0
Industry Service,Industrialization,"6,322,260",-,"6,322,260",-,440,0
Cooperative Service,Cooperative,"22,892,740",-,"22,892,740",-,440,0
ICT Infrastructure,ICT Services,"23,450,000","4,526,995","18,923,005",19.3,440,0
,Total,"257,123,180","80,491,205","176,631,975",31.3,440,0
"Public Works, Housing
and Physical Planning",,,-,,,440,0
Land Policy,Lands,"69,374,621","23,009,712","46,364,909",33.2,440,0
Physical Planning,Physical Planning,"162,398,600",-,"162,398,600",-,440,0
Public Works,Public Works,"96,155,900",-,"96,155,900",-,440,0
,Total,"327,929,121","23,009,712","304,919,409",7.0,440,0
