Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"County Coordination
Services","County Coordination Ser-
vices","119,141,040","56,686,127","62,454,913",47.58%,149,1
"Public Sector Advisory
Services","Economic And Social Advi-
sory Service",-,-,-,0.00%,149,1
Total,,"119,141,040","56,686,127","62,454,913",47.58%,149,1
Department: Finance And Economic Planning,,,,,,149,1
"Administration, Planning
And Support Services.",Administration Services.,"456,119,990","151,740,473","304,379,518",33.27%,149,1
"Administration, Planning
And Support Services.","Monitoring Budget Imple-
mentation And Reporting","36,325,639","20,582,031","15,743,609",56.66%,149,1
"Public Finance Manage-
ment","Budget Formulation Co-odi-
nation And Management","590,919,010","57,344,021","533,574,989",9.70%,149,1
Audit Services,County Audit,"9,950,000","4,081,797","5,868,204",41.02%,149,1
Total,,"1,093,314,639","233,748,321","859,566,318",21.38%,149,1
"Department: Agriculture, Livestock And Fisheries",,,,,,149,1
"Policy, Strategy And Man-
agement Of Agriculture","Development Of Agricultur-
al Policy, Legal & Regulatory
Framework.","31,611,814","13,415,877","18,195,937",42.44%,149,1
"Crop Development And
Management","Agriculture Extension Ser-
vices","526,206,615","125,121,898","401,084,717",23.78%,149,1
"Livestock Resource Man-
agement And Develop-
ment","Livestock Disease Manage-
ment And Control.","15,322,657","6,400,137","8,922,520",41.77%,149,1
"Livestock Resource Man-
agement And Develop-
ment","Livestock Production And
Extension Services","57,012,363","32,576,467","24,435,896",57.14%,150,0
Fisheries Development,"Management And Develop-
ment Of Capture Fisheries","7,486,760","2,036,320","5,450,440",27.20%,150,0
Total,,"637,640,209","179,550,698","458,089,511",28.16%,150,0
"Department: Water, Energy, Natural Resources And Environment",,,,,,150,0
"Environment Policy De-
velopment And Coordi-
nation","Planning Coordination Pol-
icy And Administrative Ser-
vices","116,175,687","51,926,855","64,248,832",44.70%,150,0
Water Supply Services,Rural Water Supply,"430,331,606","194,711,436","235,620,170",45.25%,150,0
Total,,"546,507,293","246,638,291","299,869,002",45.13%,150,0
"Department: Education, Youth Affairs, Culture And Social Services",,,,,,150,0
"General Administration
& Planning Services.","Policy Development And Ad-
ministration","327,616,091","65,633,203","261,982,888",20.03%,150,0
Basic Education,"Early Childhood Develop-
ment Education","280,822,145","80,641,480","200,180,665",28.72%,150,0
"Gender And Social Devel-
opment","Social Welfare Services/So-
cial Infrastructure Develop-
ment","22,234,999","1,665,420","20,569,579",7.49%,150,0
"Youth Development And
Empowerment Services","Youth Development (Yp)
Training","55,909,040","14,396,451","41,512,589",25.75%,150,0
Total,,"686,582,275","162,336,554","524,245,721",23.64%,150,0
Department: Health Services,,,,,,150,0
Curative Health,"Administration And Plan-
ning","1,357,416,458","465,382,522","892,033,936",34.28%,150,0
Curative Health,Hospital (Curative)Services,,,,,150,0
"Preventive And Promo-
tive Health","Preventive Medicine And
Promotive Health","1,314,727,818","561,830,457","752,897,361",42.73%,150,0
Total,,"2,672,144,276","1,027,212,979","1,644,931,297",38.44%,150,0
"Department: Lands, Housing And Physical Planning",,,,,,150,0
"Administration And Sup-
port Services","General Administration And
Planning","47,218,786","18,009,314","29,209,472",38.14%,150,0
"Housing Development
And Human Resource",Housing Development,"72,308,710","11,265,500","61,043,210",15.58%,150,0
