Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Security & Policing Ser-
vices","Disaster Reduction Manage-
ment","8,000,000","5,275,546","2,724,454",65.9,213,0
,"Enforcement And Disaster
Management","5,000,000","2,367,500","2,632,500",47.4,213,0
,Alcohol Control Committee,"6,500,000","1,460,700","5,039,300",22.5,213,0
,"Intergovernmental & Donor
Relations","24,000,000","8,221,346","15,778,654",34.3,213,0
,Fire Services,"7,000,000","2,480,400","4,519,600",35.4,213,0
"Public Participation &
Civic Education",Public participation,"18,000,000","9,909,600","8,090,400",55.1,213,0
Sub-total,,"3,620,276,685","1,404,727,023","2,215,549,662",38.8,214,0
,,,,,,214,0
"Water, Environment & Natural Resources",,,,,,214,0
Water Development,"Rural water supply and
sanitation","276,629,876","34,292,205","242,337,671",12.4,214,0
"General Administration &
Support Services","Administrative and Planning
Services","12,019,587","5,477,496","6,542,091",45.6,214,0
,"Motor vehicle maintenance
and fuel provision","11,000,000","3,687,932","7,312,068",33.5,214,0
,"Development of water man-
agement policies","2,000,000",0,"2,000,000",-,214,0
"Environment & Natural
Resources",Solid Waste Management,"7,000,000","170,909","6,829,091",2.4,214,0
,"Human-Wildlife Conflict
Prevention","3,000,000","928,200","2,071,800",30.9,214,0
,"Natural Resources Manage-
ment","3,000,000","1,575,000","1,425,000",52.5,214,0
,"Climate Change Adaptation
& Mitigation","1,000,000",0,"1,000,000",-,214,0
,Integrated land rehabilitation,"2,631,320","1,300,000","1,331,320",49.4,214,0
Sub-total,,"318,280,783","47,431,742","270,849,041",14.9,214,0
,,,,,,214,0
"Agriculture, Livestock & Veterinary",,,,,,214,0
Headquarter Services,"Headquarter Administration
Services","61,218,816","5,672,124","55,546,692",9.27,214,0
,"Agriculture Sector Extension
Management","34,065,350",-,"34,065,350",-,214,0
Livestock Production,"Livestock Resource Develop-
ment and Management","4,200,000","587,000.00","3,613,000",13.98,214,0
,"Livestock Marketing and
Value Addition","200,000",-,"200,000",-,214,0
"Crop production & Horti-
culture","Land and Crop Productivity
Enhancement and Manage-
ment","3,000,000","632,100","2,367,900",21.07,214,0
,"Strategic Food Security
Service","97,421,200","3,628,056","93,793,144",3.72,214,0
,"Agribusiness and Informa-
tion Management","55,000",0,"55,000",-,214,0
,"Standards and Quality As-
surance","600,000","300,000","300,000",50.00,214,0
,"Climate Change Adaptation
& Mitigation","571,396,178","74,875,634.90","496,520,543",13.10,214,0
Veterinary Services,"Animal Health and Disease
Management","4,200,000","537,200.00","3,662,800",12.79,214,0
Fisheries Services,"Fisheries Development and
Management","4,532,504","359,737.80","4,172,766",7.94,214,0
Sub-total,,"780,889,048","86,591,853","694,297,195",11.09,214,0
,,,,,,214,0
Finance & Economic Planning,,,,,,214,0
"General Administration &
Planning Services","Headquarter administration
services","59,075,442","19,583,464","39,491,978",33.1,214,0
"Administration, Planning &
Support Services",Personnel Services,"1,000,000","1,009,531","-9,531",101.0,214,0
,"General Administration
Support","112,419,000","31,304,483","81,114,517",27.8,214,0
,Infrastructural Services,"94,328,375","18,562,140","75,766,235",19.7,214,0
