Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)",Variance,Absorption (%),page_number,table_index
"0701000 P1 Gener-
al Administration
Planning and
Support Services","0701010 SP.1.1 General
Administration Planning and
Support Services","130,276,670.00","20,764,754.70","109,511,915.30",15.9,291,1
,"Total 5311000000 COUNTY
PUBLIC SERVICE BOARD","130,276,670.00","20,764,754.70","109,511,915.30",15.9,291,1
"0718005310 Gen-
eral Administrative
Services","0718015310 Sp1 General
Administration & Support
Services","677,648,844.10","223,930,403.50","453,718,440.60",33.0,291,1
,"0718025310 Sp2 Sub County
Administration","1,795,986,053.30","759,319,420.75","1,036,666,632.55",42.3,291,1
,"0718075310 Sp7 County
Executive","216,659,348.28","33,050,119.00","183,609,229.28",15.3,291,1
,0718095310 Sp9 Audit,"119,979,555.70","26,844,202.10","93,135,353.60",22.4,291,1
"0724005310 P 24
Security and Safety
Management",0724055310 Inspectorate,"1,279,810,755.52","472,273,123.55","807,537,631.97",36.9,291,1
,"0724015310 sp 24.1 investiga-
tive Services","89,112,540.73","10,802,140.25","78,310,400.48",12.1,291,1
"P; 0726005310: Di-
saster Management
Coordination","072601510: Fire & Disaster
Management","573,846,845.45","195,086,105.80","378,760,739.65",34.0,291,1
"0725005310 P 25
management of
legal affairs","0725015310 sp 25.1 legal
services","638,564,439.48","183,247,169.75","455,317,269.73",28.7,291,1
,"Total 5312000000 OFFICE
OF GOVERNOR & DEPUTY
GOVERNOR","5,391,608,382.55","1,904,552,684.70","3,487,055,697.85",35.3,291,1
"0207000 P1: Gen-
eral Administra-
tion Planning and
Support Services","0207010 SP 1: General Ad-
ministration, Planning and
Support Services","162,049,683.41","41,166,294.25","120,883,389.16",25.4,291,1
"0208000 P2:
Information And
Communication
Services","0208010 SP 2.1: News And
Information Services","86,423,012.00","1,102,500.00","85,320,512.00",1.3,292,0
,"0208030 SP 2.3: ICT and
Media Regulatory Services","14,231,192.00","134,000.00","14,097,192.00",0.9,292,0
,"0208040 SP 2.4 E-Govern-
ment Services","344,129,700.00","859,200.00","343,270,500.00",0.2,292,0
"0210005310 ICT
Infrastructure
Development","0210010 SP1: ICT Infrastruc-
ture Connectivity","96,447,600.00",-,"96,447,600.00",0.0,292,0
,"0210035310 sp 3: Information
Security","23,505,500.00",-,"23,505,500.00",0.0,292,0
,"Total 5313000000 ICT,
E-GOVT & PUBLIC COM-
MUNICATIONS","726,786,687.41","43,261,994.25","683,524,693.16",6.0,292,0
"0701005310 Public
Financial Manage-
ment","0701015310 Assets Manage-
ment Services","285,650,000.00","8,890,524.00","276,759,476.00",3.1,292,0
,"0701065310 sp1.6 Accounting
Services","406,819,081.00","104,135,880.00","302,683,201.00",25.6,292,0
,"0701075310 sp1.7 Budget
Formulation Coordination
and mgt","174,533,760.00","66,837,498.00","107,696,262.00",38.3,292,0
,"0701085310 sp1.8 Resource
Mobilisation","597,800,000.00","471,082,930.00","126,717,070.00",78.8,292,0
,"070115310 Debt Management
Services","111,850,000.00","117,788,856.00","(5,938,856.00)",105.3,292,0
,"0718085310 Sp8 Supply
Chain Management","126,279,326.00","49,690,975.65","76,588,350.35",39.4,292,0
"0718015310 Sp1
General Adminis-
tration & Support
Services","0718015310 Sp1 General
Administration & Support
Services","387,923,892.35","113,507,415.80","274,416,476.55",29.3,292,0
"0719000 P3:
Economic and
Financial Policy
Formulation and
Management","0719010 SP 3.1 Fiscal Policy
Formulation, Development
and Management","117,390,993.00","28,255,158.00","89,135,835.00",24.1,292,0
,"Total 5314000000 FINANCE
& ECONOMIC PLANNING","2,208,247,052.35","960,189,237.45","1,248,057,814.90",43.5,292,0
"0404005310 Gen-
eral administra-
tion, planning and
support services","0404015310 Sp4.1 Adminis-
tration/Human Resource for
Health","69,518,949.66","29,614,171.00","39,904,778.66",42.6,292,0
,Total 5315000000 HEALTH,"69,518,949.66","29,614,171.00","39,904,778.66",42.6,292,0
"0106000 P 6 Gen-
eral Administra-
tion Planning and
Support Services","0106010 SP.6.1 Administra-
tion, Planning & Support
Services","51,680,314.16","3,206,915.25","48,473,398.91",6.2,292,0
,"Total 5316000000 URBAN
PLANNING AND LANDS","51,680,314.16","3,206,915.25","48,473,398.91",6.2,292,0
"0207000 P1: Gen-
eral Administra-
tion Planning and
Support Services","0207010 SP 1: General Ad-
ministration, Planning And
Support Services","51,398,928.98","628,674.50","50,770,254.48",1.2,292,0
,"Total 5317000000 PUBLIC
WORKS, TRANSPORT &
INFRASTRUCTURE","51,398,928.98","628,674.50","50,770,254.48",1.2,292,0
"0508005310 Gen-
eral administra-
tion, planning and
support services","0508025310 sp 8.2 General
Administration & Support
Services","1,460,926,346.09","386,404,319.40","1,074,522,026.69",26.4,292,0
"0509005310 P9
Education services","0509015310 sp 9.1 Quality
Assurance and Co-curricu-
lum","1,597,000.00",-,"1,597,000.00",0.0,293,0
,"0509025310 sp 9.2 Early
Childhood Development
Centres","309,270,000.00","26,680,745.00","282,589,255.00",8.6,293,0
,"0509035310 sp 9.3 Technical
and Vocational Training","70,103,300.00","59,000.00","70,044,300.00",0.1,293,0
"0902005310 2.1
Social Services","0902015310 General Admin-
istration & Support Services","178,856,577.13","71,873,194.30","106,983,382.83",40.2,293,0
,"0902025310 Sp.2.2 Gender
and Community Empower-
ment","91,535,700.00","2,969,400.00","88,566,300.00",3.2,293,0
,"0902045310 Sp2.4 Devel-
opment and promotion of
sports","85,226,600.00","707,000.00","84,519,600.00",0.8,293,0
,"0902055310 Sp2.5 Youth Em-
powerment and Promotion","169,072,000.00","12,077,038.00","156,994,962.00",7.1,293,0
,"0902065310 Sp 2.6 Social wel-
fare and care for the Aged","9,604,100.00",-,"9,604,100.00",0.0,293,0
,"0902075310 Sp 2.7 Promotion
of Library and Information
Services","2,088,100.00",-,"2,088,100.00",0.0,293,0
,"0902085310 Sp.2 8 Rescue
and Rehabilitation of Chil-
dren Services","10,035,200.00",-,"10,035,200.00",0.0,293,0
,"Total 5318000000 Education,
Youth Affairs, Sports, Culture
& Social Services","2,388,314,923.22","500,770,696.70","1,887,544,226.52",21.0,293,0
"0301000 P.1 Gener-
al Administration
Planning and
Support Services","0301010 SP1 General Ad-
ministration Planning and
Support Services","304,527,154.91","110,722,775.95","193,804,378.96",36.4,293,0
"0310005310 P.10
Co-operative
Development and
Audit Services","0310015310 sp 10.1 Coopera-
tive Development Services","28,457,320.00","456,500.00","28,000,820.00",1.6,293,0
,"0310025310 sp 10.2 Coopera-
tive Audit Services","6,950,400.00","153,000.00","6,797,400.00",2.2,293,0
"0311005310 P.11
Tourism Promo-
tion and Marketing","0311015310 sp 11.1 Tourism
Development","88,728,688.00","16,282,200.00","72,446,488.00",18.4,293,0
"0312005310 P.12
Trade develop-
ment and Market
Services","0312015310 sp 12.1 Trade
Development","332,500,819.00","109,126,900.00","223,373,919.00",32.8,293,0
,"0312025310 sp 12.2 Market
Services","172,256,999.00",-,"172,256,999.00",0.0,293,0
,"0313025310 sp 13.2 Weights
& Measures Services","61,179,543.95","19,806,000.00","41,373,543.95",32.4,293,0
,"0313035310 sp 13.3 Trade
Licensing Services","40,648,077.00",-,"40,648,077.00",0.0,293,0
,"0313045310 sp 13.4 Betting &
Gaming Services","26,742,595.00","1,000,000.00","25,742,595.00",3.7,293,0
,"Total 5319000000 TRADE,
COMMERCE, TOURISM &
COOPERATIVES","1,061,991,596.86","257,547,375.95","804,444,220.91",24.3,293,0
"0701000 P1 Gener-
al Administration
Planning and
Support Services","0701010 SP.1.1 General
Administration Planning and
Support Services","785,763,596.18","99,629,405.55","686,134,190.63",12.7,293,0
"0710000 P 5: Public
Service Transfor-
mation","0710010 S.P.5.1 Human
Resource Management","794,732,948.00","697,358,345.00","97,374,603.00",87.7,293,0
,"0710020 S.P.5.2 Human
Resource Development","316,446,607.00","2,236,084.10","314,210,522.90",0.7,294,0
"0723005310 P
23 Performance
Management and
Public Service
Delivery","0723015310 sp 23.1 Perfor-
mance Contracting manage-
ment","14,069,964.00","1,137,200.00","12,932,764.00",8.1,294,0
,"0723025310 sp 23.2 Gov-
ernance Monitoring and
Evaluation","12,325,361.00","447,500.00","11,877,861.00",3.6,294,0
,"0723035310 sp 23.3 Quality
Management Systems and
ISO certification","4,823,028.00",-,"4,823,028.00",0.0,294,0
,"Total 5320000000 PUBLIC
SERVICE MANAGEMENT","1,928,161,504.18","800,808,534.65","1,127,352,969.53",41.5,294,0
"0106000 P 6 Gen-
eral Administra-
tion Planning and
Support Services","0106010 SP.6.1 Administra-
tion, Planning & Support
Services","232,436,526.95","83,170,878.55","149,265,648.40",35.8,294,0
"P;0119005310:
Urban Agriculture
Promotion & Reg-
ulation","019015310: Crop Develop-
ment and Management","34,980,000.00","117,400.00","34,862,600.00",0.3,294,0
,"0119025310: Fisheries Devel-
opment and management","22,880,968.00","142,600.00","22,738,368.00",0.6,294,0
,"0119035310: Livestock
Resources management and
development","39,311,180.00","324,400.00","38,986,780.00",0.8,294,0
"0116005310 P.10:
Animal Health,
Safety and Quality
Assurance","0116015310 sp 10.1 Animal
Research, Diseases, Pest Con-
trol & Quality Assurance","38,310,000.00","237,800.00","38,072,200.00",0.6,294,0
