Programme,"Sub- Programme
g","Approved Bud-
et (Ksh)","Actual Payments
(Ksh)",Variance (Kshs.),Absorption (%),page_number,table_index,Sub- Programme,"Approved Bud-
get (Ksh)"
101013260,"Administration Planning and Support
Services","84,968,590","24,268,357","60,700,234",28.6%,372,1,,
,"Administration Planning and Support
Services","84,968,590","24,268,357","60,700,234",28.6%,372,1,,
102013260,Development programme,"374,943,825","91,080,735","283,863,090",24.3%,372,1,,
,Development programme,"374,943,825","91,080,735","283,863,090",24.3%,372,1,,
104013260,Agricultural Development Programme,"515,608,014","8,000,000","507,608,014",1.6%,372,1,,
,Agricultural Development Programme,"515,608,014","8,000,000","507,608,014",1.6%,372,1,,
105013260,,,-,"26,114,201",0.0%,373,0,Livestock and Fisheries Development,"26,114,201"
,,,-,"26,114,201",0.0%,373,0,Livestock and Fisheries Development,"26,114,201"
301013260,,,"3,468,540","21,630,259",13.8%,373,0,"General Administration and support
services programme","25,098,799"
,,,"3,468,540","21,630,259",13.8%,373,0,"General Administration and support
services programme","25,098,799"
302013260,,,-,"38,790,468",0.0%,373,0,Trade Development programme.,"38,790,468"
,,,-,"38,790,468",0.0%,373,0,Trade Development programme.,"38,790,468"
401013260,,,"84,542,103","234,882,524",26.5%,373,0,Administration and Support Services,"319,424,626"
,,,"84,542,103","234,882,524",26.5%,373,0,Administration and Support Services,"319,424,626"
402013260,,,"59,463,899","235,904,290",20.1%,373,0,Health Development Programme,"295,368,189"
,,,"59,463,899","235,904,290",20.1%,373,0,Health Development Programme,"295,368,189"
501013260,,,"27,538,690","182,759,810",13.1%,373,0,"General Administration, Planning and
Support services","210,298,500"
,,,"27,538,690","182,759,810",13.1%,373,0,"General Administration, Planning and
Support services","210,298,500"
502013260,,,"1,407,202","124,892,798",1.1%,373,0,"Early childhood Education and Youth
Training Development Programme","126,300,000"
,,,"1,407,202","124,892,798",1.1%,373,0,"Early childhood Education & Youth
Training Development Programme","126,300,000"
701013260,,,"1,426,070,140","1,157,289,019",55.2%,373,0,General Administration support services,"2,583,359,159"
,,,"1,426,070,140","1,157,289,019",55.2%,373,0,General Administration support services,"2,583,359,159"
702013260,,,"300,443,285","387,328,893",43.7%,373,0,"County Assembly Infrastructure im-
provement","687,772,178"
,,,"300,443,285","387,328,893",43.7%,373,0,"County Assembly Infrastructure im-
provement","687,772,178"
703013260,,,-,"6,569,047",0.0%,373,0,"Decentralised infrastructure development
programme","6,569,047"
,,,-,"6,569,047",0.0%,373,0,"Decentralised infrastructure development
programme","6,569,047"
704013260,,,"65,566,527","86,297,260",43.2%,373,0,"General Administration and Manage-
ment of County Affairs","151,863,787"
,,,"65,566,527","86,297,260",43.2%,373,0,"General Administration and Manage-
ment of County Affairs","151,863,787"
705013260,,,-,"11,414,281",0.0%,373,0,Leadership Development Programme,"11,414,281"
,,,-,"11,414,281",0.0%,373,0,Leadership Development Programme,"11,414,281"
706013260,,,"91,829,361","346,528,553",20.9%,373,0,"General Administration, Planning, Inter-
nal Audit & Support Services","438,357,914"
,,,"91,829,361","346,528,553",20.9%,373,0,"General Administration, Planning, Inter-
nal Audit & Support Services","438,357,914"
707013260,,,"75,530,661","1,027,196,195",6.8%,373,0,Treasury Development Programme,"1,102,726,856"
,,,"75,530,661","1,027,196,195",6.8%,373,0,Treasury Development Programme,"1,102,726,856"
