Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
COUNTY ASSEMBLY,,,,,,258,1
"Legislation and Represen-
tation",Legislation,"456,774,801.06","152,336,458.50","304,438,342.56",33.35%,258,1
legislative Oversight,Oversight,"247,715,982.34","50,778,819.50","196,937,162.84",20.50%,258,1
"General Admin, Planning
and Support",General Administration,"304,169,585.60","169,884,722.00","134,284,863.60",55.85%,258,1
Development,,"68,000,000.00",-,-,0.00%,258,1
Total,,"1,076,660,369.00","373,000,000.00","703,660,369.00",34.64%,258,1
DEPARTMENT: OFFICE OF THE GOVERNOR,,,,,,258,1
General Administration,General Administration,"234,665,560.00","110,737,708.40","123,927,851.60",47.19%,259,0
"Governor Press/Commu-
nication and Events","Governor Press/Commu-
nication and Events","28,620,000.00","3,643,200.00","24,976,800.00",12.73%,259,0
Efficiency Monitoring,Efficiency Monitoring,"13,077,280.00","6,742,188.00","6,335,092.00",51.56%,259,0
Research and Strategy,Research and Strategy,"13,350,000.00","4,537,650.00","8,812,350.00",33.99%,259,0
"Disaster Management,
Rescue & Emergency
Services","Disaster Management,
Rescue & Emergency Ser-
vices","18,866,780.50","4,448,200.00","14,418,580.50",23.58%,259,0
"External Linkages &
Partnership","External Linkages & Part-
nership","18,700,000.00","3,867,780.00","14,832,220.00",20.68%,259,0
'County Secretary,County Secretary,"13,118,766.46","7,223,790.00","5,894,976.46",55.06%,259,0
Total,,"340,398,386.96","141,200,516.40","199,197,870.56",41.48%,259,0
DEPARTMENT: FINANCE ECONOMIC PLANNING & ICT,,,,,,259,0
General Administration,Administration,"165,784,741.00","111,353,237.64","54,431,503.36",67.17%,259,0
Deputy Governor’s Office,Office Affairs,"18,540,000.00","7,817,859.00","10,722,141.00",42.17%,259,0
Procurement,Procurement,"11,070,000.00","6,760,387.00","4,309,613.00",61.07%,259,0
Internal Audit,Internal Audit,"10,215,000.00","4,377,918.00","5,837,082.00",42.86%,259,0
Budget and Policy,Budget and Policy,"25,951,707.90","9,892,120.00","16,059,587.90",38.12%,259,0
Accounts,Accounts,"88,778,396.11","26,112,550.80","62,665,845.31",29.41%,259,0
"Semi-Autonomous
Agencies: Investment
Corporation","Meru Investment Corpo-
ration","84,803,972.00","42,101,239.25","42,702,732.75",49.65%,259,0
"Microfinance Corpora-
tion","Meru Micro Finance Cor-
poration","81,230,864.00","46,000,000.00","35,230,864.00",56.63%,259,0
Revenue Board,Meru Revenue Board,"332,144,000.00","184,334,254.58","147,809,745.42",55.50%,259,0
ICT Development,ICT Development,"36,170,000.00","5,850,269.10","30,319,730.90",16.17%,259,0
"Economic Planning and
Coordination Services","Economic Planning and
Coordination Services","10,494,200.00","5,843,800.00","4,650,400.00",55.69%,259,0
Fleet Management,Fleet Management,"166,743,760.00","51,486,585.00","115,257,175.00",30.88%,259,0
Total,,"1,033,926,641.01","501,930,220.37","531,996,420.64",48.55%,259,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK DEVELOPMENT AND FISHERIES",,,,,,259,0
General Administration,General Administration,"805,165,554.98","164,103,981.10","641,061,573.88",20.38%,259,0
Livestock,Livestock,"21,050,566.70","1,213,050.00","19,837,516.70",5.76%,259,0
Fisheries,Fisheries,"6,792,500.00","747,750.00","6,044,750.00",11.01%,259,0
Agricultural Services,Agricultural Services,"28,436,425.60","2,069,090.00","26,367,335.60",7.28%,259,0
"Animal Disease Manage-
ment","Animal Disease Manage-
ment","3,040,000.00","327,000.00","2,713,000.00",10.76%,259,0
"Agricultural Training
Centre (ATC)","Agricultural Training
Centre (ATC)","43,948,485.80",,"43,948,485.80",0.00%,259,0
"Agricultural Mechaniza-
tion Services (AMS)","Agricultural Mechaniza-
tion Services (AMS)",,,-,0%,259,0
Total,,"908,433,533.08","168,460,871.10","739,972,661.98",18.54%,259,0
"DEPARTMENT: WATER, & IRRIGATION",,,,,,259,0
General Administration,Administration Services,"636,434,807.46","57,972,473.59","578,462,333.87",9.11%,259,0
Total,,"636,434,807.46","57,972,473.59","578,462,333.87",9.11%,259,0
"DEPARTMENT: EDUCATION, TECHNOLOGY, GENDER & SOCIAL DEVELOPMENT",,,,,,259,0
General Administration,General Administration,"724,887,948.00","393,544,701.28","331,343,246.72",54.29%,259,0
"Early Childhood De-
velopment Education
(ECDE)","Early Childhood De-
velopment Education
(ECDE)","202,171,921.00","4,946,691.20","197,225,229.80",2.45%,259,0
"'Technical and Vocation
Education","'Technical and Vocation
Education","61,887,374.00","723,000.00","61,164,374.00",1.17%,259,0
"'Gender Mainstreaming
and Social Services","'Gender Mainstreaming
and Social Services","57,131,600.00","6,053,700.00","51,077,900.00",10.60%,259,0
PWD Empowerment,PWD Empowerment,"5,000,000.00",,"5,000,000.00",0.00%,259,0
Total,,"1,051,078,843.00","405,268,092.48","645,810,750.52",38.56%,259,0
"DEPARTMENT:
HEALTH SERVICES",,,,,,259,0
General Administration,General Administration,"2,587,582,239.00","1,627,492,356.86","960,089,882.14",62.90%,260,0
Curative Health,Curative Health,"742,705,226.70","90,892,429.30","651,812,797.40",12.24%,260,0
"Preventive and Promotive
Health","Preventive and Promotive
Health","205,175,614.36","9,817,004.00","195,358,610.36",4.78%,260,0
Total,,"3,535,463,080.06","1,728,201,790.16","1,807,261,289.90",48.88%,260,0
"DEPARTMENT: LANDS, PHYSICAL PLANNING, URBAN DEVELOPMENT & PUBLIC WORKS",,,,,,260,0
General Administration,General Administration,"66,218,847.00","39,845,700.83","26,373,146.17",60.17%,260,0
Lands & Public Works,Lands & Public Works,"189,969,732.00","58,542,965.50","131,426,766.50",30.82%,260,0
"Physical Planning, House
& Urban Development","Physical Planning, House
& Urban Development","418,448,362.05","12,516,500.00","405,931,862.05",2.99%,260,0
Meru Municipality,Meru Municipality,"60,809,000.00","5,099,350.00","55,709,650.00",8.39%,260,0
Total,,"735,445,941.05","116,004,516.33","619,441,424.72",15.77%,260,0
DEPARTMENT: PUBLIC SERVICE ADMINISTRATION & LEGAL AFFAIRS,,,,,,260,0
