Programme,Sub0 Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Agriculture,,,,,,74,2
"CP 1: General Administra-
tion and support services","Administrative suppor
service","t
238,051,956","34,050,628","204,001,328",14.3,74,2
"CP 2: Crop Production and
management","CSP 2.1 Input support ser-
vices","2,000,000",-,"2,000,000",-,75,0
,"CSP 2.2: Crop develop-
ment","3,000,000",-,"3,000,000",-,75,0
,CSP 2.3: Crop protection,"2,000,000",-,"2,000,000",-,75,0
"CP 3:Land Use and Man-
agement","CSP 3.1: Agricultural
mechanization","2,000,000",-,"2,000,000",-,75,0
"CP 4: Agricultural Train-
ing and Extension services","CSP 4.1: Agriculture ex-
tension services","2,000,000",-,"2,000,000",-,75,0
,"CSP 4.2: Agricultural
Training services","80,236,573","9,476,729","70,759,844",11.8,75,0
"CP 5:Agribusiness and ag-
ricultural value chain De-
velopment",CSP 5.1: Value addition,"12,000,000",-,"12,000,000",-,75,0
"CP 6: Agricultural finan-
cial support services","CSP 6.1: Agricultural
credit support services","3,000,000",-,"3,000,000",-,75,0
"CP 7: Kenya Climate Smart
Agriculture Programme","CSP 7.1: Kenya Climate
SMART","403,428,590",-,"403,428,590",-,75,0
"CP 8: Fisheries and Aqua-
culture Resources Devel-
opment","CSP 8.1: Aquaculture de-
velopment","16,000,000",-,"16,000,000",-,75,0
,"CSP 8.2: Fisheries training
infrastructure develop-
ment","5,000,000",-,"5,000,000",-,75,0
,"CSP 8.3: Fish value addi-
tion and marketing","4,000,000",-,"4,000,000",-,75,0
,"CSP 8.4: Lake-based aqua-
culture parks","5,000,000",-,"5,000,000",-,75,0
"CP 9: Veterinary Health
Services","CSP 9.1: Veterinary Dis-
ease control","11,138,104",-,"11,138,104",-,75,0
,CSP 9.2:AI services,"3,500,000",-,"3,500,000",-,75,0
,"CSP 9.3 Meat inspection
services","3,000,000",-,"3,000,000",-,75,0
,"CSP 9.4 Veterinary Exten-
sion","6,000,000",-,"6,000,000",-,75,0
"CP 10: Livestock produc-
tion& Development","CSP 10.1: Livestock pro-
duction improvement","14,650,000",-,"14,650,000",-,75,0
,"CSP 10.2: Livestock Ex-
tension","3,428,986",-,"3,428,986",-,75,0
"CP 11: Other Development
Projects","CSP 11.1: Other Develop-
ment projects","413,783,059","34,200,668","379,582,391",8.3,75,0
Total for Vote,,"1,233,217,268","77,728,026","1,155,489,242",6.3,75,0
Trade,,,,,-,75,0
"CP 12: General Adminis-
tration and Support ser-
vices","CSP 12.1: Administrative
support service","71,728,843","12,448,403","59,280,441",17.4,75,0
"CP 13: Trade Develop-
ments and Investment","CSP 13.1: Busia county
trade development fund","6,000,000",-,"6,000,000",-,75,0
,"CSP 13.2: Market mod-
ernization and develop-
ment","105,070,250",-,"105,070,250",-,75,0
CP 14: Fair Trade Practices,"CSP 14.1: Weights and
measures.","3,000,000",-,"3,000,000",-,75,0
"CP 15: Cooperative devel-
opment","CSP 15.1 Busia county co-
operative enterprise devel-
opment fund",-,-,-,-,76,0
,"CSP 15.2: Revitalization of
cotton ginneries","11,750,000",-,"11,750,000",-,76,0
,CSP 15.3: Value addition,-,-,-,-,76,0
"CP 16: Other Development
Projects","CSP 16.1. Other Develop-
ment projects","121,394,516","5,100,000","116,294,516",4.2,76,0
Total for Vote,,"318,943,609","17,548,403","301,395,207",5.5,76,0
Finance,,,,,-,76,0
"CP 22:General Administration
and Support services","CSP 22.1: Administrative
support service","918,537,365","699,345,138","219,192,227",76.1,76,0
"CP 23: Financial manage-
ment, Control and Devel-
opment services","CSP 23.1: Revenue gener-
ation services","2,000,000",-,"2,000,000",-,76,0
"CP 24: Information and
Communication Services","CSP 24.1: ICT support
services","2,500,000",-,"2,500,000",-,76,0
"CP 25: Other Development
Projects","CSP 25.1: Other Develop-
ment projects","22,400,000",-,"22,400,000",-,76,0
Total for Vote,,"945,437,365","699,345,138","246,092,227",74.0,76,0
Education,,,,,-,76,0
"CP 17: General Adminis-
tration and Support ser-
vices","CSP 17.1: Administrative
support service","425,919,138","5,488,480","420,430,658",1.3,76,0
"CP 18: Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement
of the infrastructure in
E.C.D.E Centers","51,502,000",-,"51,502,000",-,76,0
,"CSP 18.2 E.C.D.E Capita-
tion",-,-,-,-,76,0
,CSP 18.3: Child nutrition,-,-,-,-,76,0
"CP 19: Tertiary/Vocational
Training Development","CSP 19.1: Infrastructure
development","23,582,126",-,"23,582,126",-,76,0
CP 20: Education support,"CSP 20.1: Education sup-
port scheme","52,097,410",-,"52,097,410",-,76,0
"CP 21: Other Development
Projects","CSP 21.1 Other Develop-
ment Projects","150,023,826","687,685","149,336,141",0.5,76,0
Total for Vote,,"703,124,500","6,176,165","696,948,335",0.9,76,0
Culture,,,,,-,76,0
"CP 26: General Adminis-
tration and Support ser-
vices","CSP 26.1: Administrative
support service","95,440,030","3,161,394","92,278,636",3.3,76,0
CP 27: Social services,"CSP 27.1: Infrastructural
development","3,500,000",-,"3,500,000",-,76,0
,"CSP 27.2: Community
Support","15,400,000",-,"15,400,000",-,76,0
"CP 28: Youth and Empow-
erment Development","CSP 28.1 Equipping and
Operationalization of
youth empowerment","3,950,000",-,"3,950,000",-,76,0
"CP 29: Promotion and de-
velopment of sports","CSP 29.1: Infrastructural
development","6,000,000",-,"6,000,000",-,76,0
,"CSP 29.2: Sports promo-
tion",-,-,-,-,76,0
"CP 30: Child care and pro-
tection","CSP 30.1: Rehabilitation
and custody","5,000,000",-,"5,000,000",-,76,0
"CP 31: Culture Promotion
and Development","CSP 31.1: Cultural infra-
structural development",-,-,-,-,76,0
"CP 32: Promotion and de-
velopment of local tourism
in the county","CSP 32.1: Tourism devel-
opment",-,-,-,-,77,0
"CP 33: Alcoholic Drinks
and Drugs control","CSP 33.1: Infrastructure
development",-,-,-,-,77,0
"CP 34: Other Development
Projects","CSP 34.1:Other Develop-
ment projects","87,939,982","5,593,174","82,346,808",6.4,77,0
Total for Vote,,"217,230,012","8,754,568","208,475,444",4.0,77,0
PUBLIC WORKS,,,,,-,77,0
"CP 35: General Administration
and support services","CSP 35.1: Administrative
support service","128,583,786","50,770,165","77,813,620",39.5,77,0
"CP 36:Developmen and
Maintenance of Roads","CSP 36.1: Routine mainte-
nance of roads","385,000,000","22,049,637","362,950,363",5.7,77,0
,"CSP 36.2: Development of
Roads","112,489,285","29,215,276","83,274,009",26.0,77,0
"CP 37:Building Infrastruc-
ture Development","CSP 37.1: Infrastructure
Development","2,923,010",-,"2,923,010",-,77,0
