Programme,Sub Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
Rate
(%)",page_number,table_index
"Default - Non-Pro-
grammatic","Default - Non Program-
matic",,,,,365,0
,,,,,,365,0
"Land Policy and
Planning","Development Planning
and Land Reforms","111,788,336.00","19,244,138.60","92,544,197.40",17.2,365,0
101030000,Land Survey,"46,542,108.00","9,847,334.80","36,694,773.20",21.2,365,0
101040000,Land Use,"461,337,924.00","20,221,330.00","441,116,594.00",4.4,365,0
101050000,Land Settlement,"65,005,277.00","10,121,526.40","54,883,750.60",15.6,365,0
,,"684,673,645.00","59,434,329.80","625,239,315.20",8.7,365,0
"Housing Development
and Human Settle-
ment",Housing Development,"75,559,336.00","5,403,453.10","70,155,882.90",7.2,365,0
102030000,,"43,765,655.00","7,965,577.00","35,800,078.00",18.2,365,0
102050000,,"2,025,452.00","839,512.00","1,185,940.00",41.4,365,0
102060000,,"142,286,106.00","7,104,295.00","135,181,811.00",5.0,365,0
,,"263,636,549.00","21,312,837.10","242,323,711.90",8.1,365,0
"General Administra-
tion, Planning and
Support Services","General Administration,
Planning and Support
Services","7,159,795.00","73,365.00","7,086,430.00",1.0,365,0
201020000,"Human Resources and
Support Services","1,739,976,795.00","257,519,443.55","1,482,457,351.45",14.8,365,0
201030000,"Financial Management
Services","54,377,241.00","2,141,634.90","52,235,606.10",3.9,365,0
,,"1,801,513,831.00","259,734,443.45","1,541,779,387.55",14.4,365,0
"General Adminis-
tration Planning and
Support Services",,"97,015,187.00","30,553,920.00","66,461,267.00",31.5,365,0
301020000,,"1,670,000.00","359,700.00","1,310,300.00",21.5,365,0
301030000,,"2,089,533.00","759,206.00","1,330,327.00",36.3,365,0
301050000,,"31,690,000.00","858,354.20","30,831,645.80",2.7,365,0
301060000,,"260,834,907.00","31,176,435.20","229,658,471.80",12.0,365,0
,,"393,299,627.00","63,707,615.40","329,592,011.60",16.2,365,0
"Industrial Develop-
ment and Investments","Promotion of Industrial
Development and Invest-
ments","18,030,000.00","1,147,977.00","16,882,023.00",6.4,365,0
302020000,"Promotion of Industrial
Property Rights and arbi-
tration","18,000,000.00","2,099,136.00","15,900,864.00",11.7,365,0
302030000,"Promotion of Industrial
Training","50,895,494.00","4,712,621.95","46,182,872.05",9.3,365,0
302040000,,"5,975,000.00","1,544,100.00","4,430,900.00",25.8,365,0
,,"92,900,494.00","9,503,834.95","83,396,659.05",10.2,365,0
"Preventive & Promo-
tive Health Services","Communicable Disease
Control","1,562,411,745.00","715,190,645.75","847,221,099.25",45.8,365,0
401020000,Health Promotion,"297,008,538.00","59,420,251.95","237,588,286.05",20.0,366,0
401030000,"Non-communicable Dis-
ease Prevention & Control","295,562,669.00","75,941,813.65","219,620,855.35",25.7,366,0
401050000,Radiation Protection,"126,607,445.00","23,622,906.00","102,984,539.00",18.7,366,0
401060000,,"12,832,875.00","3,637,125.00","9,195,750.00",28.3,366,0
401070000,,"18,194,808.00",0,"18,194,808.00",-,366,0
401080000,,"105,795,258.00","18,766,251.00","87,029,007.00",17.7,366,0
401090000,,"60,578,536.00","10,041,497.00","50,537,039.00",16.6,366,0
401100000,,"50,158,116.00","6,732,265.00","43,425,851.00",13.4,366,0
,,"2,529,149,990.00","913,352,755.35","1,615,797,234.65",36.1,366,0
Primary Education,Free Primary Education,"320,775,900.00","92,086,717.60","228,689,182.40",28.7,366,0
501020000,Special Needs Education,"309,004,193.00","40,383,629.70","268,620,563.30",13.1,366,0
501030000,"Alternative provision of
Basic Education","98,197,825.00","24,038,106.00","74,159,719.00",24.5,366,0
501050000,"Primary Teachers Training
and In-servicing","180,444,630.00","79,861,621.65","100,583,008.35",44.3,366,0
501060000,"Alternative Basic Adult &
Continuing Education","1,981,968.00",0,"1,981,968.00",-,366,0
501070000,"School Health, Nutrition
and Meals","51,052,868.00","4,004,500.00","47,048,368.00",7.8,366,0
,,"961,457,384.00","240,374,574.95","721,082,809.05",25.0,366,0
"General Adminis-
tration Planning and
Support Services",,"356,010,564.00","123,525,722.15","232,484,841.85",34.7,366,0
701030000,,"60,343,140.00","33,119,300.00","27,223,840.00",54.9,366,0
701040000,,"1,130,920,303.00","145,533,345.70","985,386,957.30",12.9,366,0
,,"1,547,274,007.00","302,178,367.85","1,245,095,639.15",19.5,366,0
Cabinet Affairs,,"348,414,683.00","53,481,649.75","294,933,033.25",15.3,366,0
702020000,,"73,782,936.00","13,554,497.80","60,228,438.20",18.4,366,0
702040000,,"62,911,711.00","7,148,095.10","55,763,615.90",11.4,366,0
702050000,,"21,266,212.00","5,502,501.50","15,763,710.50",25.9,366,0
702060000,,"47,194,849.00","3,700,263.00","43,494,586.00",7.8,366,0
702070000,,"99,970,701.00","18,560,789.40","81,409,911.60",18.6,366,0
,,"653,541,092.00","101,947,796.55","551,593,295.45",15.6,366,0
"Government Advisory
Services","State Corporations Adviso-
ry Services","20,922,552.00","6,821,468.50","14,101,083.50",32.6,366,0
703020000,"Kenya-South Sudan Advi-
sory Services","567,558,518.00","72,703,435.35","494,855,082.65",12.8,366,0
703030000,"Power of Mercy Advisory
Services","13,169,503.00","4,471,524.00","8,697,979.00",34.0,366,0
703040000,"Liaison, Parliament and
Commission Advisory
Services","41,170,859.00","17,737,310.00","23,433,549.00",43.1,366,0
703050000,,"10,511,292.00","3,209,183.00","7,302,109.00",30.5,366,0
703060000,,"32,923,696.00","13,826,186.00","19,097,510.00",42.0,366,0
703070000,,"23,042,563.00","14,745,220.00","8,297,343.00",64.0,366,0
,,"709,298,983.00","133,514,326.85","575,784,656.15",18.8,366,0
Sports,"Sports Training and com-
petitions","40,322,903.00","3,593,269.60","36,729,633.40",8.9,366,0
