Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payment
(Kshs.)","s Variance
( Kshs.)",Absorption (%),page_number,table_index,"Actual Payments
(Kshs.)","Variance
( Kshs.)"
A. County Assembly,,,,,,250,1,,
"1: General Administra-
tion Support Services","SP 1.1 salaries and allowances for
employees and M.C.As","224,678,668","104,717,36","3 119,961,305",46.6,250,1,,
,"SP 1.2 Hospitality, Catering
services, donations and gifts,
boards, committees, conference
and seminars","51,400,000","12,585,25","3 38,814,747",24.5,250,1,,
"Total Expenditure For
Programme 1",,"276,078,668","117,302,615","158,776,053",42.5,250,1,,
"Programme 2: Legisla-
ture And Oversight","SP 2.1 Domestic and foreign ac-
commodation, air travels and
daily subsistence allowance","103,257,475","34,068,70","0 69,188,775",33.0,250,1,,
,"SP 2.2 ICT, Hansard and Com-
munication equipment","10,500,000","3,232,00","0 7,268,000",30.8,250,1,,
,"SP 2.3 Mortgage & Car Loans and
tax","46,987,786",,,-,251,0,,"46,987,786"
,"SP 2.4 Staff Trainings and Devel-
opment and Tuitions","34,950,000",,,36.9,251,0,"12,903,400","22,046,600"
,SP 2.5 Public Participation,,,,,251,0,,
"Total Expenditure For
Programme 2",,"195,695,261",,,25.7,251,0,"50,204,100","145,491,161"
"Programme 3: County
Assembly Infrastruc-
ture Improvement",SP 3.11 Equipping of library,,,,,251,0,,
,"SP 3.12 Maintenance of motor
vehicle","9,000,000",,,20.8,251,0,"1,871,000","7,129,000"
,"SP 3.13 Purchase of furniture and
general equipment","7,366,678",,,-,251,0,,"7,366,678"
,"SP 3.14 Construction of Coun-
ty Assembly Headquarters and
modern chambers, purchase of
land for speakers residence, con-
struction and equipping of ward
offices","110,250,000",,,-,251,0,-,"110,250,000"
,"SP 3.15 Improvement of ICT ser-
vices",,,,,251,0,,
,"SP 3.16 Maintenance of plants,
machinery & other assets","10,016,760",,,1.0,251,0,"97,000","9,919,760"
,"SP 3.17 Electricity, water and
sewerage and other utility
charges","13,428,878",,,47.4,251,0,"6,369,500","7,059,378"
,"SP 3.18 Printing, advertisement
and information supplies and
services","43,321,371",,,37.5,251,0,"16,266,100","27,055,271"
,"SP 3.19 Rental of approved assets
and hire of motor vehicles","13,200,000",,,1.1,251,0,"150,000","13,050,000"
,"SP 3.20 Insurance cost for group
personal, building, motor vehicle
and medical cover","28,937,645",,,0.3,251,0,"81,381","28,856,264"
,"SP 3.21 Purchase of computers,
printers and general office sup-
plies and accessories and sanitary
cleaning materials","37,500,000",,,41.7,251,0,"15,640,450","21,859,550"
,"SP 3.22 Fuel, oil, lubricants and
tyres","9,000,000",,,-,251,0,-,"9,000,000"
,"SP 3.23 Bank service commission
and charges, legal fees, manage-
ment fees and contracted profes-
sional charges and other operat-
ing expenses","21,500,000",,,19.8,251,0,"4,260,000","17,240,000"
,SP 3.24 Ward office,"28,400,000",,,33.3,251,0,"9,446,664","18,953,336"
,"SP 3.25 Uniform, Specialized ma-
terials and supplies","11,000,000",,,50.0,251,0,"5,500,000","5,500,000"
,"-SP 3.26 Membership fees and
dues and subscription for inter-
national organisations","5,500,000",,,13.6,251,0,"750,000","4,750,000"
,"SP 3.28 Refurbishment of build-
ings","4,000,000",,,-,251,0,-,"4,000,000"
,SP 3.29 Gratuity/pension,"33,217,735",,,22.4,251,0,"7,431,102","25,786,633"
,"SP 3.30 Purchase of motor vehi-
cle","12,000,000",,,-,252,0,-,"12,000,000"
,"SP 3.31Research, Feasibility
Studies, Project and Preparation
and Design, Projects",,,,,252,0,,
,"Total expenditure for Pro-
gramme 3","397,639,067",,,17.1,252,0,"67,863,197","329,775,870"
,,"869,412,996",,,27.1,252,0,"235,369,912","634,043,084"
"County Executive
Services",,,,,,252,0,,
"Physical Planning And
Development",Urban Development Services,"72,900,000",,,36.3,252,0,"26,439,305","46,460,695"
,"Lands and Physical Planning Ser-
vices","76,900,000",,,40.1,252,0,"30,862,100","46,037,900"
,"General administration planning
and Support Services","123,637,768",,,40.6,252,0,"50,171,479","73,466,289"
,Sub total,"273,437,768",,,39.3,252,0,"107,472,884","165,964,884"
Education,"General Administration, Plan-
ning and Support Services","329,673,491",,,43.9,252,0,"144,615,400","185,058,091"
,Pre – Primary Education,"121,400,000",,,4.6,252,0,"5,610,500","115,789,500"
,Youth Development,"109,950,000",,,24.9,252,0,"27,395,600","82,554,400"
,"Vocational Education and Train-
ing","7,000,000",,,12.7,252,0,"891,800","6,108,200"
,Sports,"61,200,000",,,4.8,252,0,"2,941,100","58,258,900"
,Sub total,"629,223,491",,,28.8,252,0,"181,454,400","447,769,091"
Executive Services,"General Administration, Plan-
ning and Support Services","1,085,000,000",,,39.2,252,0,"425,096,970","659,903,030"
,Management of County Affairs,,,,,252,0,,
,Public Sector Advisory Services,,,,,252,0,,
,Inter/Intra Governmental,,,,,252,0,,
,County Legal Services,,,,,252,0,,
,Sub total,"1,085,000,000",,,39.2,252,0,"425,096,970","659,903,030"
"Administration And
ICT","General administration planning
and Support Services","306,400,000",,,17.3,252,0,"52,858,766","253,541,234"
,ICT infrastructure,"3,500,000",,,-,252,0,-,"3,500,000"
,"Coordination of functions of de-
volved Units",-,,,-,252,0,-,-
,"Public Participation and Civic
Education",-,,,-,252,0,-,-
,Sub total,"309,900,000",,,17.1,252,0,"52,858,766","257,041,234"
"Agriculture And Live-
stock Development","General Administration, Plan-
ning and Support Services","189,029,716",,,19.9,252,0,"37,605,795","151,423,921"
,"Livestock Resources Manage-
ment and Development","34,108,838",,,100.0,252,0,"34,108,838",-
,"Fisheries Development and Man-
agement","56,750,000",,,10.2,252,0,"5,792,166","50,957,834"
,"Crop Development and Manage-
ment","46,713,970",,,-,252,0,-,"46,713,970"
,Sub total,"292,493,686",,,26.5,252,0,"77,506,799","214,986,887"
Health Services,Curative Health Services,"180,815,000",,,31.6,252,0,"57,097,131","123,717,869"
,"General Administration, Plan-
ning and Support Services","1,655,019,330",,,44.6,252,0,"737,996,440","917,022,890"
,Maternal and child health,"10,000,000",,,49.9,252,0,"4,991,012","5,008,988"
,Sub total,"1,845,834,330",,,43.3,252,0,"800,084,583","1,045,749,747"
"County Public Service
Board","General administration planning
and Support Services","95,868,570",,,25.2,252,0,"24,199,658","71,668,912"
,"Human Resource Management
and Development","7,000,000",,,-,253,0,-,"7,000,000"
,Sub total,"102,868,570",,,23.5,253,0,"24,199,658","78,668,912"
"Culture And Social
Services",Youth Development,"9,000,000",,,44.9,253,0,"4,043,700","4,956,300"
,Culture Services,"23,300,000",,,34.0,253,0,"7,933,200","15,366,800"
,Social Services,"41,400,000",,,4.8,253,0,"2,000,000","39,400,000"
,"General administration, plan-
ning and support services","82,770,872",,,28.6,253,0,"23,688,477","59,082,395"
,Subtotal,"156,470,872",,,24.1,253,0,"37,665,377","118,805,495"
"Finance And Economic
Planning","General administration planning
and Support Services","2,028,019,640",,,53.4,253,0,"1,082,070,169","945,949,471"
,Public Finance Management,"19,300,000",,,49.2,253,0,"9,496,000","9,804,000"
,"Economic and financial policy
Formulation","14,000,000",,,49.5,253,0,"6,927,000","7,073,000"
,Sub total,"2,061,319,640",,,53.3,253,0,"1,098,493,169","962,826,471"
"Roads, Housing And
Public Works","Road Transport Infrastructure
Development","465,300,000",,,15.5,253,0,"72,039,508","393,260,492"
,Housing Development,"42,900,758",,,36.5,253,0,"15,665,217","27,235,541"
,"General administration planning
and Support Services","46,489,380",,,36.5,253,0,"16,978,762","29,510,618"
,Sub total,"554,690,138",,,18.9,253,0,"104,683,487","450,006,651"
"Trade, Industry & Enter-
prise Development","General administration planning
and Support Services","102,850,000",,,33.1,253,0,"34,057,113","68,792,887"
,"Trade and Industrial Develop-
ment",,,,,253,0,,
,Enterprise Development,"2,000,000",,,-,253,0,-,"2,000,000"
,Sub total,"104,850,000",,,32.5,253,0,"34,057,113","70,792,887"
Water,Water Resources Management,"505,500,000",,,14.4,253,0,"72,836,143","54,624,099"
,"General administration planning
and Support Services","93,147,470",,,40.9,253,0,"38,139,120","209,600"
,"Natural Resources Conservation
and Management","61,169,560",,,49.3,253,0,"30,177,853","475,900"
,Sub total,"659,817,030",,,21.4,253,0,"141,153,116","55,309,599"
Grand Total,,"8,945,318,521",,,37.1,253,0,"3,320,096,234","4,527,824,888"
