Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Implementation
Status (%)",page_number,table_index
"3011 The Execu-
tive","Governor's Affairs &
Advisory Services","161,624,673","18,455,460","143,169,213",11.4,275,1
,"Deputy Governor's
Affairs & External Re-
lations","61,274,828","6,188,653","55,086,175",10.1,275,1
,"Cabinet Affairs, Poli-
cy Research and Legal
Services","107,875,327","49,112,880","58,762,447",45.5,275,1
,"MV 2035 & E-Gov-
ernment","37,000,000","982,759","36,017,241",2.7,275,1
,Strategic Delivery Unit,"17,716,961","3,934,706","13,782,255",22.2,275,1
"3013 County Pub-
lic Service Board",Administration Unit,"150,000,000","30,710,059","119,289,941",20.5,275,1
"3014 Finance and
Economic Plan-
ning",Administration Unit,"849,967,947","491,747,041","358,220,906",57.9,275,1
,Accounting Unit,"52,650,000","19,070,455","33,579,545",36.2,275,1
,"Planning and Moni-
toring Unit","58,010,653","21,409,038","36,601,615",36.9,275,1
,"Administration, Plan-
ning and Support Ser-
vices","566,234,748","312,929,896","253,304,852",55.3,275,1
,,,"5,505,500",,,275,1
,"Environmental Com-
pliance and Monitor-
ing","126,960,000","10,106,947","116,853,053",8.0,276,0
,Climate Change,"55,239,000",-,"55,239,000",-,276,0
,Energy,"75,239,000","1,147,000","74,092,000",1.5,276,0
"3016 Education,
Information Tech-
nology & MV
2035","General Adminis-
tration, Planning and
Support Services","483,739,474","104,034,287","379,705,187",21.5,276,0
,"Education headquar-
ters","189,211,170",-,"189,211,170",-,276,0
,Childcare,"8,500,000",-,"8,500,000",-,276,0
,Elimu Fund,"161,890,000",-,"161,890,000",-,276,0
,"Information Technol-
ogy Headquarters","183,659,356",-,"183,659,356",-,276,0
"3017 Health Ser-
vices",Administration Unit,"2,833,061,316","1,317,177,866","1,515,883,450",46.5,276,0
,"Curative/Clinical
Health Services","158,249,239","2,500,000","155,749,239",1.6,276,0
,"Preventive and Pro-
motive Services Unit","582,354,159",-,"582,354,159",-,276,0
,Special Programmes,"68,123,140",-,"68,123,140",-,276,0
"3018 Water, San-
itation & Natural
Resources",Administration unit,"917,570,000","13,932,317","903,637,683",1.5,276,0
,"Sanitation/Sewerage
Services Headquarters","57,750,000",-,"57,750,000",-,276,0
,"Water Supply Head-
quarters","170,450,000",-,"170,450,000",-,276,0
,Natural Resources,"84,230,000",-,"84,230,000",-,276,0
"3019 Youth, Gen-
der , Sports and
Cultural Affairs",Administration Unit,"228,620,000","121,216,153","107,403,847",53.0,276,0
,Youth Empowerment,"95,480,000","2,447,099","93,032,901",2.6,276,0
,"Gender Affairs and
Disability Mainstream-
ing","35,000,000","2,285,900","32,714,100",6.5,276,0
,Sports development,-,-,-,-,276,0
,Cultural Affairs,"510,000,000","13,499,756","496,500,244",2.6,276,0
,"Public Recreation and
Entertainment","30,900,000","2,997,807","27,902,193",9.7,276,0
"3020 Trade, Tour-
ism & Investment",Administration Unit,"327,085,886","120,590,528","206,495,358",36.9,276,0
,Trade Development,"163,787,810","7,159,050","156,628,760",4.4,276,0
,"Development of Tour-
ism","92,101,997","1,588,500","90,513,497",1.7,276,0
,"Investment Promotion
and Products Head-
quarters","189,080,000","12,249,000","176,831,000",6.5,276,0
,"Development of
County Industrial
Parks",-,-,-,-,276,0
,"Ease of Doing Busi-
ness-Headquarters","73,105,082","5,300,000","67,805,082",7.2,276,0
"3021 Lands,
Housing and
Physical Planning",Administration Unit,"219,083,825","54,417,231","164,666,594",24.8,277,0
,Physical planning,"170,000,000","36,913,871","133,086,129",21.7,277,0
,"Land Management
Unit","23,566,175","2,252,974","21,313,201",9.6,277,0
,"Housing Development
Unit","308,000,000","1,092,241","306,907,758",0.4,277,0
,Urban Renewal,"32,350,000","831,414","31,518,586",2.6,277,0
"3022 Transport,
Infrastructure &
Public Works",Administration Unit,"347,494,701","150,007,434","197,487,267",43.2,277,0
,"Road and Transport
Unit","576,400,000","234,831,283","341,568,717",40.7,277,0
,Works Unit,"40,780,299",-,"40,780,299",-,277,0
,"Transport Planning,
Management and Safe-
ty","19,750,000",-,"19,750,000",-,277,0
,Mechanical Services,"69,375,000","810,579","68,564,421",1.2,277,0
,"Safety, Risk Manage-
ment and Rescue Ser-
vices","136,200,000",-,"136,200,000",-,277,0
"3023 Agriculture,
Fisheries, Live-
stock and Co-op-
eratives","Administration
Unit-Headquarters","169,219,199","50,177,437","119,041,762",29.7,277,0
,"Crop Management
Unit","110,398,491",-,"110,398,491",-,277,0
,Livestock Unit,"72,656,206",-,"72,656,206",-,277,0
,"Fisheries Unit-Head-
quarters","71,699,045",-,"71,699,045",-,277,0
,Veterinary Services,"53,414,916",-,"53,414,916",-,277,0
,Cooperatives,"26,112,093",-,"26,112,093",-,277,0
"3026 Devolution
& Public Service
Administration",Administration,"744,058,253","294,483,573","449,574,680",39.6,277,0
,"Devolution and public
service administration","73,909,194","4,307,039","69,602,155",5.8,277,0
,"Public Service Re-
forms and Delivery","21,636,398","474,138","21,162,260",2.2,277,0
,"Compliance and En-
forcement","68,600,000","831,107","67,768,893",1.2,277,0
,"County Administra-
tion and decentralized
services","107,972,796","2,709,483","105,263,313",2.5,277,0
"3012 County As-
sembly","Human Resources
Management","850,584,072","229,084,573","546,962,841",26.9,277,0
,Legal Services,"129,670,321","74,536,658","129,670,321",57.5,277,0
Grand Total,,"14,500,000,000","3,836,039,690","10,663,960,310",26.5,277,0
