Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Pay-
ments (Ksh)",Variance,"Absorption
(%)",page_number,table_index
Legislation and Oversight,Legislation and Oversight,"1,006,961,558","508,503,778","498,457,78",0 50.5,172,1
Sub Total,,"1,006,961,558","508,503,778","498,457,780",50.5,173,0
"Office of the Governor and
Deputy Governor",070601 County Executive Services,"303,048,284","125,168,100.58","177,880,183",41.3,173,0
"County Executive Admin-
istration",070701County Executive Services,"143,630,336",0,"143,630,336",0.0,173,0
"Management of County
Affairs","070801 Coordination of County Func-
tions","121,452,000","28,136,292.00","93,315,708",23.2,173,0
"County Executive Com-
mittee Affairs","070901 Organization of County Busi-
ness","6,200,000","1,989,900.00","4,210,100",32.1,173,0
"County Public Service
Board",071001 Human Resource Management,"12,906,040","2,846,986.00","10,059,054",22.1,173,0
"Administrative Support
Services",020202 ICT Governance,"3,480,000","1,433,000.00","2,047,000",41.2,173,0
,020701 Government Buildings Services,"2,567,000","774,945.00","1,792,055",30.2,173,0
,070411 Audit Committee,"1,919,000","1,436,800.00","482,200",74.9,173,0
,070412 County Enforcement Activities,"4,185,000","1,375,100.00","2,809,900",32.9,173,0
,"070413 ICT Infrastructure Development
Management","2,458,800","2,081,200.00","377,600",84.6,173,0
,"070414 ICT Systems Development Man-
agement","1,522,000","283,800.00","1,238,200",18.6,173,0
Sub Total,,"603,368,460","165,526,124","437,842,336",27.4,173,0
"Public Finance Manage-
ment",070401 Finance Services,"560,294,675","231,198,022.06","329,096,653",41.3,173,0
,070402 Revenue Services,"16,800,000","11,612,476.00","5,187,524",69.1,173,0
,"070404 Procurement and Supply Ser-
vices","6,446,500","3,747,600.00","2,698,900",58.1,173,0
,070405 Internal Audit Services,"1,318,200","716,300.00","601,900",54.3,173,0
,"070408 Budget Formulation, Coordina-
tion and Management","7,914,520","4,666,790.00","3,247,730",59.0,173,0
,070409 Accounting Services,"5,477,500","4,553,360.00","924,140",83.1,173,0
"County Planning and Eco-
nomic Policy Management",070501 Economic Planning Services,"3,599,000","2,670,500.00","928,500",74.2,173,0
Sub Total,,"601,850,395.00","259,165,048.06","342,685,347",43.1,173,0
"Curative and Rehabilitative
Services","040301 Curative and Rehabilitative Ser-
vices","2,921,022,278","1,273,586,953.35","1,647,435,325",43.6,173,0
Sub Total,,"2,921,022,278","1,273,586,953","1,647,435,325",43.6,173,0
Basic Education,050101 General Administration,"264,796,229","88,240,726.95","176,555,502",33.3,173,0
,050102 Free Pre- Primary Education,"19,840,000","587,745.00","19,252,255",3.0,173,0
"State Education Function
Support",050203 Tertiary Education,0,,0,0.0,173,0
"Technical and Vocational
Training",050301 Village Polytechnique,"37,186,304","27,039,594.00","10,146,710",72.7,173,0
Sub Total,,"321,822,533","115,868,066","205,954,467",36.0,173,0
"Livestock Resource Man-
agement and Development","010102 Livestock Extension and Capaci-
ty Building Services","305,000","42,200.00","262,800",13.8,173,0
,"010105 Livestock Production Manage-
ment","2,480,000","746,000.00","1,734,000",30.1,173,0
,"010106 Livestock Disease Management
& Control","1,200,000","179,000.00","1,021,000",14.9,173,0
"Crop Development and
Management",010202 Agricultural Extension Services,"1,500,000","682,828.00","817,172",45.5,173,0
,"010203 Agribusiness and Market Devel-
opment","320,000","32,455.00","287,545",10.1,173,0
,010206 Land and Crop Development,"1,331,000","394,356.00","936,644",29.6,173,0
,010207 Food Security Initiatives,"400,000","226,300.00","173,700",56.6,173,0
Fisheries Development,010402 Aquaculture Development,"200,000",-,"200,000",0.0,174,0
"Policy Strategy and Man-
agement of Agriculture","010801 Development of Agricultural
Policy","2,543,000",,"2,543,000",0.0,174,0
,"011001 General Administration and
Planning","1,037,317,762","87,179,532.46","950,138,230",8.4,174,0
Sub Total,,"1,047,596,762","89,482,671","958,114,091",8.5,174,0
Culture,090702 Social Welfare Services,"10,687,000","228,100.00","10,458,900",2.1,174,0
,091201 Gender Administration Services,"30,821,210","15,369,730.55","15,451,479",49.9,174,0
,091301 Gender and Social Development,"8,990,000","355,305.00","8,634,695",4.0,174,0
Youth,"090901 Youth Development and Em-
powerment Services","670,000","245,195.00","424,805",36.6,174,0
Sub Total,,"51,168,210","16,198,331","34,969,879",31.7,174,0
Sports,090701 General Administration,"12,221,217","6,301,845.95","5,919,371",51.6,174,0
,"090801 Development of Sports and
Sports Facilities","19,937,353",,"19,937,353",0.0,174,0
