Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Fisheries Services,"Fisheries Development and
Management","2,500,000",-,"2,500,000",-,236,0
Sub-total,,"423,893,617",0,"423,893,617",-,236,0
Finance & Economic Planning,,,,,,236,0
"General Administration &
Planning Services","Headquarter administra-
tion services","30,102,772","2,293,000","27,809,772",7.6,236,0
"Administration, Planning &
Support Services",Personnel Services,"2,300,000","2,161,875","138,125",94.0,236,0
,"General Administration
Services","12,836,124","300,000","12,536,124",2.3,236,0
,Infrastructural Services,"186,650,778","500,000","186,150,778",0.3,236,0
"Public Finance Management
Services",Internal Audit Services,"8,008,222","2,680,500","5,327,722",33.5,236,0
,Enterprise & Innovation,"33,000,000","4,600,000","28,400,000",13.9,236,0
,Revenue collection services,"4,600,000","2,000,000","2,600,000",43.5,236,0
,County Emergency Fund,"20,000,000",-,"20,000,000",0.0,236,0
,"Supply chain management
services","2,813,518","405,000","2,408,518",14.4,236,0
Development Planning Services,"Monitoring and Evaluation
Services","1,903,908","250,000","1,653,908",13.1,236,0
,"Strategic Partnership &
Collaboration","28,000,000",-,"28,000,000",0.0,236,0
,"Research, Statistics & Doc-
umentation","434,875",-,"434,875",0.0,236,0
,Participatory Budgeting,"7,954,245","2,403,125","5,551,120",30.2,236,0
Sub-total,,"338,604,442","17,593,500","321,010,942",5.2,236,0
Rumuruti Municipality,,,,,,236,0
"General Administration and
Planning Services",Administration Services,"1,000,000",-,"1,000,000",0,236,0
"Roads Network Improvement
Housing and Urban
Development","Road Network improve-
ment","6,000,000",-,"6,000,000",0,236,0
Sub-Total,,"7,000,000",-,"7,000,000",0.0,236,0
GRAND TOTAL,,"6,924,677,375","822,218,224","6,102,459,151",11.9,236,0
