Sub-Program,Approved Budget FY2022/23,col_2,"Actual Expenditure as of 30th Sep-
tember 2022",col_4,"Absorption Rate
(%)",col_6,page_number,table_index
,Rec,Dev,Rec,Dev,Rec,Dev,253,0
OFFICE OF THE GOVERNOR,,,,,,,253,0
Co-ordination and Supervisory Services,"288,293,561","14,334,385","41,017,142",-,14,-,253,0
Transport Services,"22,651,209",-,"1,500,000",-,7,-,253,0
"Human Resource and Administration
Section","67,903,820",-,"1,060,500",-,2,-,253,0
ICT Section,"16,995,994",-,"80,000",-,-,-,253,0
Hospitality Services Section,"15,973,355",-,"4,530,000",-,28,-,253,0
Cabinet Office,"6,493,175",-,,-,-,-,253,0
Office of the Deputy Governor,"68,988,765",-,"163,000",-,-,-,253,0
"Directorate of Projects Delivery, Moni-
toring and Evaluation","21,078,510",-,-,-,-,-,253,0
Office of the County Secretary,"31,786,195",-,-,-,-,-,253,0
Office of the County Advisors,"11,980,064",-,"150,000",-,1,-,253,0
Sub- Total,"552,144,648","14,334,385","48,500,642",-,9,-,253,0
COUNTY PUBLIC SERVICE BOARD,,,,,,,253,0
Human Resource and Administration,"50,736,706","41,112,751",-,-,-,-,253,0
Sub- Total,"50,736,706","41,112,751",-,-,-,-,253,0
"ROADS, TRANSPORT AND PUBLIC WORKS",,,,,,,253,0
Headquarter Administrative services,"182,855,703","117,380,423",-,-,-,-,253,0
Road Development and Management,"833,214","612,211,735",-,-,-,-,253,0
County Government Buildings,"213,399","155,000,000",-,-,-,-,253,0
County Fleet Management,"14,011,766","57,750,000",-,-,-,-,253,0
Sub- Total,"197,914,082","942,342,158",-,-,-,-,253,0
HEALTH AND EMERGENCY SERVICES,,,,,,,253,0
"General Administration and Support
Services","3,343,875,598","161,533,179","720,849,164","2,434,688",22,2,253,0
Machakos Level 5,"163,834,368","101,500,000","48,701,400",-,30,-,253,0
Kangundo Level 4,"53,712,125","15,200,000","5,000,000",-,9,-,253,0
Matuu Level 4,"37,923,785","25,000,000","5,950,000",-,16,-,253,0
