Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23
(Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",col_6,page_number,table_index
,"Capacity Develop-
ment","3,026,422","59,800","2,966,622",2.0,,463,0
,"Project Manage-
ment Information
System","1,000,000",-,"1,000,000",-,,463,0
Budgetary Supply,"Budget Formula-
tion, Co-ordina-
tion and Manage-
ment","24,015,534","2,927,900","21,087,634",12.2,,463,0
,"Public Participa-
tion in Budgeting","11,070,000",-,"11,070,000",-,,463,0
,"County Budget
and Economic Fo-
rum","9,806,053","266,000","9,540,053",2.7,,463,0
,"Accountability in
Resource Alloca-
tion","9,600,000",-,"9,600,000",-,,463,0
"Resource
Mobilisation","Resource Mobili-
sation","5,017,378",-,"5,017,378",-,,463,0
,Sub total,"417,460,479","6,346,662","411,113,817",1.5,,463,0
"Water Services,
Environment and
Mineral Resourc-
es",,,,,,,463,0
,,A,B,C=A-B,D=B/A*100,,464,0
"Turkana Water
Programme
Joint planning
with stakeholders
Irrigation and
Schemes Develop-
ment Programme
General Admin-
istration and
Support
Health & Sanita-
tion Services
General Adminis-
tration, Planning
and support
services
Support to Health
Programs
Laboratory Ser-
vices","General Adminis-
tration, Planning
and support ser-
vices","20,000,000",-,"20,000,000",-,,464,0
,"Construction and
Desilting of Water
Pans/Rock Catch-
ment","55,000,000",-,"55,000,000",-,,464,0
,"Rehabilitation of
Water Infrastruc-
ture","132,408,716","823,200","131,585,516",0.6,,464,0
,"Drilling and
Equipping of
Boreholes","204,999,963",-,"204,999,963",-,,464,0
,"Equipment of
Quality Analysis
Laboratory","4,500,000",-,"4,500,000",-,,464,0
,"Project Coordina-
tion and Manage-
ment","3,000,000",-,"3,000,000",-,,464,0
,"Technical plan-
ning and design","100,177,290",-,"100,177,290",-,,464,0
,"Feasibility studies
for irrigation sys-
tems development","3,300,000",-,"3,300,000",-,,464,0
,"General Admin-
istration and Sup-
port","84,220,000","3,577,294","80,642,706",4.2,,464,0
,Sub total,"607,605,969","4,400,494","603,205,475",0.7,,464,0
,,,,,,,464,0
,"General Adminis-
tration, Planning
and support ser-
vices","138,262,941","7,363,664","130,899,277",5.3,,464,0
,,A,B,C=A-B,D=B/A*100,,465,0
,Health Facilities,"818,394,317",-,"818,394,317",-,,465,0
,"HIV & AIDS in-
cluding commu-
nity-based HIV
interventions","800,000",-,"800,000",-,,465,0
,TB & Leprosy,"400,000",-,"400,000",-,,465,0
,Malaria,"700,000",-,"700,000",-,,465,0
,"NTDs (neglected
tropical diseases)","500,000",-,"500,000",-,,465,0
,Nutrition,"642,500",-,"642,500",-,,465,0
,"Reproductive
health","630,000",-,"630,000",-,,465,0
,"Disease surveil-
lance","850,000",-,"850,000",-,,465,0
,EPI/outreaches,"500,000",-,"500,000",-,,465,0
,Health promotion,"400,000",-,"400,000",-,,465,0
,"Environmental
health services","600,000",-,"600,000",-,,465,0
,"Emergency pre-
paredness & disas-
ter response","600,000",-,"600,000",-,,465,0
,mainstreaming,"400,000",-,"400,000",-,,465,0
,"C ommunity
Health Services","80,568,000",-,"80,568,000",-,,465,0
,"Laboratory Ser-
vices","850,000",-,"850,000",-,,465,0
,"Blood Transfusion
Services","1,550,000",-,"1,550,000",-,,465,0
,"Rehabilitative Ser-
vices","650,000",-,"650,000",-,,465,0
,"Referrals & Emer-
gency Services","1,100,000",-,"1,100,000",-,,465,0
,,"Radiology Ser-
vices","600,000",-,"600,000",-,465,0
,,Dental Services,"500,000",-,"500,000",-,465,0
,,Clinical Services,"622,500",-,"622,500",-,465,0
,,Nursing Services,"650,000",-,"650,000",-,465,0
,,"Rural Health
Facility Support","62,425,000","35,200","62,389,800",0.1,465,0
,,"Subcounty Health
Facilities Support","235,021,000",-,"235,021,000",-,465,0
,,UHC Turkana,"900,000",-,"900,000",-,465,0
"Health
Information and
Management",,"Health Informa-
tion & Manage-
ment","628,000",-,"628,000",-,465,0
,,Quality Assurance,"900,000",-,"900,000",-,465,0
,,"Electronic Medi-
cal Records","9,400,000",-,"9,400,000",-,465,0
,,A,B,C=A-B,D=B/A*100,,466,0
,,"Monitoring &
Evaluation Health","950,000",-,"950,000",-,466,0
,,"Research & Devel-
opment","550,000",-,"550,000",-,466,0
,,"Policy & Planning
Services","300,000",-,"300,000",-,466,0
,,"Rehabilitation &
Treatment","2,300,000",-,"2,300,000",-,466,0
,,"Public Education
& Awareness","2,200,000",-,"2,200,000",-,466,0
,,Liquor Licensing,"15,915,000",-,"15,915,000",-,466,0
,,"Training & Capac-
ity Building","1,050,850",-,"1,050,850",-,466,0
,,Sub total,"1,383,310,108","7,398,864","1,375,911,244",0.5,466,0
"Trade, Gender
and Youth Affairs",,,,,,,466,0
"Youth Affairs
Development",,"Youth Coordina-
tion and Repre-
sentation","4,900,000",-,"4,900,000",-,466,0
,,"Youth Employ-
ment Scheme","5,790,000",-,"5,790,000",-,466,0
,,Youth Rare skills,"3,710,000",-,"3,710,000",-,466,0
,,"Youth and Wom-
en Fund","249,400,000","120,000,000","129,400,000",48.1,466,0
"Modern
Physical Markets
Infrastructure",,"Construction &
Development of
Modern Physical
Market","10,345,140",-,"10,345,140",-,466,0
,,"Co-operative
Marketing, Value
Addition, Surveys
& Research","6,600,000","253,200","6,346,800",3.8,466,0
,,"Co-operative
Education, Train-
ing, Exchange
and Ushirika Day
Celeb","9,600,000",-,"9,600,000",-,466,0
,,"Strengthening
of Key Dormant
Co-operative
Societies","3,600,000",-,"3,600,000",-,466,0
,,"Formulation
of Cooperative
Policy and Legal
Frame Work","3,600,000",-,"3,600,000",-,466,0
,,"Cooperative De-
velopment Fund","45,321,825","45,321,825",-,10-,466,0
,,A,B,C=A-B,D=B/A*100,,467,0
"Cooperative
Societies
Development
& Performance
Improvement",,"Business De-
velopment and
Training Services","3,100,000","319,200","2,780,800",10.3,467,0
,,"Consumer rights
education","2,900,000","318,000","2,582,000",11.0,467,0
,,"Industrial Devel-
opment and In-
vestments","7,400,000","284,040","7,115,960",3.8,467,0
,,Biashara Fund,"150,000,000","150,000,000",-,10-,467,0
"General
Administration",,"General Adminis-
tration","12,187,103","532,900","11,654,203",4.4,467,0
,,Sub total,"518,454,068","317,029,165","201,424,903",61.1,467,0
"Education,
Sports and Social
Protection",,,,,,,467,0
"Social protection
programs/ Affir-
mative Action",,"Construction of
PWDs multi-pur-
pose resource
centre","22,982,535","6,688,000","16,294,535",29.1,467,0
