Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",192,0
"County
Assembly",Office of the speaker,"5,936,560",0,0,0,0,0,192,0
,"Representation, leg-
islative and oversight
services","160,811,024",0,0,0,0,0,192,0
,"county assembly
service board","1,177,901,462","339,350,465","89,313,306",0,7.6,0,192,0
,Sub Total,"1,344,649,046","339,350,465","89,313,306",0,6.6,0,192,0
"Executive
(Office of the
Governor,
Deputy Gov-
ernor, Coun-
ty Secretary
and Public
Service
Board","administration,
planning and sup-
port services","369,265,082","33,000,000","58,619,790",0,15.87,0,192,0
,"office of the county
secretary","11,820,000",0,"422,192",0,3.57,0,192,0
,legal services,"12,120,000",0,0,0,0,0,192,0
,"communication
services","8,570,000",0,0,0,0,0,192,0
,"Public-Private Part-
nership","11,500,000",0,0,0,0,0,192,0
,"County Public Ser-
vice Board","35,950,000",0,"1,022,900",0,2.85,0,192,0
,Sub-Total,"449,225,082","33,000,000","60,064,882",0,13.37,0,192,0
"Admin-
istration,
Corporate
Services and
Stakeholder
Management","Administration,
planning and sup-
port services","395,589,227",0,"101,760,393",0,25.72,0,192,0
,"Devolved units
services","6,100,000","42,233,140",0,0,0,0,192,0
,"Human Resource
Development","6,550,000",0,0,0,0,0,192,0
,"Enforcement ser-
vices","5,000,000",0,0,0,0,0,192,0
,"Stakeholder manage-
ment","39,224,764",0,"8,351,509",0,21.29,0,192,0
,"Public participation
and civic Education","4,000,000",0,0,0,0,0,192,0
,"Disaster manage-
ment","8,200,000","37,050,000",0,0,0,0,192,0
,Fleet Management,"3,000,000",0,0,0,0,0,192,0
,Sub-Total,"467,663,991","79,283,140","110,111,902",0,23.55,0,192,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent Ex-
penditure","Development
Expenditure","Recurrent
Expenditure","Devel-
opment
Expendi-
ture",193,0
"Finance and
Economic
Planning","Administration,
coordination and
support services","889,612,387",0,"143,596,186",0,16.14,0,193,0
,"Public financial
management ser-
vices","55,675,000",0,"1,020,000",0,1.83,0,193,0
,"county planning
services","87,212,049","47,482,391","10,060,400","2,322,320",11.54,4.89,193,0
,Sub-Total,"1,032,499,436","47,482,391","154,676,586","2,322,320",14.98,4.89,193,0
"Agriculture,
Livestock,
Fisheries and
Cooperative
Development","administrative and
support services","48,775,908","338,295,427",0,0,0,0,193,0
,"crop development
and value addition","267,326,493","64,476,110","54,528,374",0,20.40,0,193,0
,"livestock develop-
ment","17,200,000","37,000,000",0,0,0,0,193,0
,veterinary services,"71,000,000","232,058,835","15,880,000","35,560,000",22.37,15.32,193,0
,"Co-operative
development and
management","1,700,000",0,0,0,0,0,193,0
,"fisheries develop-
ment","1,750,000","53,500,000",0,0,0,0,193,0
,"Kisii agricultural
training centre","6,500,000","2,169,000",0,0,0,0,193,0
,Sub-Total,"414,252,401","727,499,372","70,408,374","35,560,000",17,4.89,193,0
"Energy,
Water,
Environment
and Natural
Resources","administration and
planning services","50,070,000",0,"11,600,000",0,23.17,0,193,0
,"water and sanitation
services","83,566,800","117,119,666","2,528,056","13,764,200",3.03,11.75,193,0
,"environment man-
agement",0,"164,302,000",0,0,0,0,193,0
,energy services,"500,000","4,903,759",0,0,0,0,193,0
,Sub-Total,"134,136,800","286,325,425","14,128,056","13,764,200",10.53,4.81,193,0
"Education,
Labour and
Manpower
Development","general administra-
tion and planning
services","554,846,157",0,"111,452,571",0,20.09,0,193,0
,"early childhood de-
velopment education",0,"83,798,014",0,0,0,0,193,0
,vocational training,0,"59,206,119",0,0,0,0,193,0
,Sub-Total,"554,846,157","143,004,133","111,452,571",0,20.09,0,193,0
"County
Health Ser-
vices",medical services,"3,170,643,517","702,039,060","631,178,010","8,027,737",19.91,1.14,193,0
,public health,"29,500,000",0,0,0,0,0,193,0
,Sub-Total,"3,200,143,517","702,039,060","631,178,010","8,027,737",19.72,1.14,193,0
"Lands, Phys-
ical Planning
and Urban
Development","Administration,
planning and sup-
port services","145,620,000",0,"21,225,565",0,14.58,0,193,0
,Land use services,0,"3,545,569",0,0,0,0,193,0
,Urban development,0,"93,004,480",0,0,0,0,193,0
,Sub-Total,"145,620,000","96,550,049","21,225,565",0,14.58,0,193,0
