Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q1 FY 2022/23
(Kshs.)","Absorption
Rate (% )",page_number,table_index
,A,B,D=B/A*100,224,1
Finance and Economic Planning,,,,224,1
"Budget formulation, coordination and management (0703023060)","99,078,505.00","7,459,038.25",7.53,224,1
General Administration (0704043060),"706,545,521.00","16,989,285.75",2.40,224,1
Revenue Collection Management (0710013060),"32,356,800.00","994,000.00",3.07,224,1
Public Finance and Accounting Services (0711013060),"20,407,012.00","979,911.00",4.80,224,1
Procurement Services (0711023060),"11,566,000.00","536,100.00",4.64,224,1
Risk Assurance Services (0711033060),"18,421,325.00","604,800.00",3.28,224,1
Personal Services (0704013060),"124,155,265.00","31,037,615.30",25.00,224,1
TOTALS,"1,012,530,428.00","58,600,750.30",5.79,224,1
"Agriculture, Livestock and Fisheries",,,,224,1
General administration and support services {0102053060},"158,258,131.00","40,387,984.00",25.52,224,1
Crop production & food security {0107013060},"46,732,018.00","633,600.00",1.36,224,1
Dairy and meat production {0108013060},"38,204,483.00","621,000.00",1.63,224,1
Fish production management {0109013060},"44,246,146.00","485,000.00",1.10,224,1
Livestock disease control {0108033060},"84,016,050.00","371,000.00",0.44,224,1
"Farm land utilization, mechanization & crop storage {0107033060}","54,758,860.00","5,366,800.00",9.80,224,1
"Agricultural extension, research & training. {0107023060}","4,525,000.00","218,800.00",4.84,224,1
Total,"430,740,688.00","48,084,184.00",11.16,224,1
"Land, Environment, Mining and natural resources",,,,224,1
0102053060 (General administration and Support services,"38,026,033.00","1,386,280.00",3.65,224,1
0102063060 (Personnel Services),"26,941,639.00","11,224,027.00",41.66,224,1
'0102073060 (),-,-,-,224,1
0104013060 (Physical development plans),"48,900,000.00",-,-,224,1
0105013060 (Establishment of squatter settlement schemes,"30,600,000.00","51,625.00",0.17,224,1
0106023060 (County Environmental Awareness Initiative),"3,100,000.00",-,-,224,1
0901023060 (),"100,000.00",-,-,224,1
TOTAL,"147,667,672.00","12,661,932.00",8.57,224,1
Medical and Public Health Services,,,,224,1
,A,B,D=B/A*100,225,0
Finance and Economic Planning,,,,225,0
General Administration(0403013060),"96,994,205.00","9,524,168.00",9.82,225,0
Medical Drugs(0402043060)),"460,765,641.00","97,361,442.00",21.13,225,0
Personnel Services(0403053060),"1,539,070,289.00","436,841,568.00",28.38,225,0
Msambweni Hospital (0405013060),"68,524,755.00","10,202,495.00",14.89,225,0
Kinango Hospital(0406013060),"28,147,000.00","4,302,003.00",15.28,225,0
Kwale Hospital(0407013060),"36,049,406.00","2,930,557.00",8.13,225,0
Tiwi Rural Health Facility(0408013060),"7,340,000.00","932,500.00",12.70,225,0
Samburu Hospital(0409013060),"15,565,000.00","1,936,711.00",12.44,225,0
Lungalunga Hospital(0410013060),"25,449,510.00","4,269,398.00",16.78,225,0
Public Health(0401053060),"5,839,657.00","294,250.00",5.04,225,0
Rural Health Facilities(0412013060),"321,747,351.00","6,361,179.00",1.98,225,0
Diani Health Centre(0413013060),"2,615,000.00",-,-,225,0
Maternal New Born And Child Health(0401023060),-,-,-,225,0
Total,"2,608,107,814.00","574,956,271.00",22.04,225,0
County Assembly,,,,225,0
Audit Services (0704013060),"301,291,321.00","47,694,378.85",15.83,225,0
General Administration and Support Services (0704043060),"239,250,926.00","2,726,600.00",1.14,225,0
Oversight and legislation of county affairs,"233,388,626.00","957,685.00",0.41,225,0
Total,"773,930,873.00","51,378,663.85",6.64,225,0
"Trade,Investment and Co-operative Development",,,,225,0
Administration services(0305023060),"9,331,778.00","1,011,848.00",10.84,225,0
Construction of new markets(0306023060),"39,041,768.00","377,544.00",0.97,225,0
Weights & Measures,"3,384,950.00","437,900.00",12.94,225,0
Trade Development and Investment,"7,463,746.00","296,675.00",3.97,225,0
Other Current Transfers(0306023060),-,-,-,225,0
Personnel Services (305013060),"32,127,590.00","11,113,617.00",34.59,225,0
Cooperative Development,"9,219,050.00","181,712.00",1.97,225,0
Industry & Enterprise Development,"22,989,934.00","24,269.00",0.11,225,0
TOTAL,"123,558,816.00","13,443,565.00",10.88,225,0
Community Development,,,,225,0
Administration (0906023060},"51,736,605.00","10,280,897.25",19.87,225,0
Community Development (0903013060),"70,264,786.00","990,540.00",1.41,225,0
Culture And Heritage (0904013060),"16,416,925.00","6,500.00",0.04,225,0
Sports And Talent Management (0905023060),"88,541,477.00","336,600.00",0.38,225,0
Total,"226,959,793.00","11,614,537.25",5.12,225,0
Executive Services,,,,225,0
704003068(Office of Governor&Deputy Governor),"112,602,749.00","9,063,381.00",8.05,225,0
707003068(Directorate of Communication),"9,692,521.00","3,556,480.00",36.69,225,0
TOTAL,"122,295,270.00","12,619,861.00",10.32,225,0
Education,,,,225,0
Personnel Services (0502023060),"432,083,678.00","178,808,737.00",41.38,225,0
Scholarship and Bursary (0504013060),"400,000,000.00","85,000,000.00",21.25,225,0
Adminstration Planning support service (0502013060),"13,318,914.00","2,434,586.00",18.28,225,0
Infrastructure development (0503023060) & (0501043060),-,-,-,225,0
Youth Training Development( 0503013060),"99,459,000.00",-,-,225,0
Early ChildHood Development (0501043060),"464,709,017.00",-,-,225,0
Total,"1,409,570,609.00","266,243,323.00",18.89,225,0
Water Services,,,,225,0
,A,B,D=B/A*100,226,0
Finance and Economic Planning,,,,226,0
"Construction & Maintenance of water pipeline supply systems
(1001023060)","159,900,000.00",-,-,226,0
Development of Borehole water supply system (1001033060),"150,170,652.00",-,-,226,0
Development/Costruction of surface water supply systems ( 1001043060),"148,320,904.00",-,-,226,0
Community Water Project ( 1001063060),"31,816,560.00",-,-,226,0
Personnel Services (1002013060),"35,426,928.00","9,798,711.00",27.66,226,0
Administration Services (1002023060),"49,560,004.00","6,384,250.00",12.88,226,0
TOTAL,"575,195,048.00","16,182,961.00",2.81,226,0
Roads and public Works,,,,226,0
Administration Services (0305023060),"75,951,095.00","10,913,333.80",14.37,226,0
"Rehabilitations of Roads,Drainage and bridges (0202013060)","382,507,779.00",-,-,226,0
Personnel Services (0305013060),"67,225,905.00","17,499,300.00",26.03,226,0
Installation of Street Lighting Facilities (0203013060),"91,287,050.00",-,-,226,0
TOTAL,"616,971,829.00","28,412,633.80",4.61,226,0
Tourism and ICT,,,,226,0
Personnel services {0305013060},"20,921,809.00","5,748,180.00",27.47,226,0
Admnistration services {0305023060},"11,209,711.00","583,612.00",5.21,226,0
Local area network installation and ict support {0308013060},"28,494,279.00","43,500.00",0.15,226,0
Tourism Promotion {0304013060},"29,041,655.00","228,640.00",0.79,226,0
TOTAL,"89,667,454.00","6,603,932.00",7.36,226,0
Public Service Board,,,,226,0
Human Resource Planning (706013060),"14,714,312.00","1,962,977.50",13.34,226,0
Transformation Of Service Delivery In Public Service (706023060),"5,000,000.00","414,700.00",8.29,226,0
Compensation To Employees (706043060),"29,298,166.00","5,862,128.50",20.01,226,0
Human Resource Planning (706053060),"4,000,000.00",-,-,226,0
Staff Rationalization (706063060),"2,281,505.00",-,-,226,0
TOTAL,"55,293,983.00","8,239,806.00",14.90,226,0
Public Service &Administration,,,,226,0
General Administration (704003074),"216,886,795.00","59,689,097.40",27.52,226,0
County compliance and enforcement (708003074),"6,685,200.00",,-,226,0
Coordination Of County Policy Formulation (712003074),"39,070,736.00",,-,226,0
County garbage and Cleaning Services (713003074),"10,474,445.00",,-,226,0
Human Resource Mgt (714003074),"10,600,000.00",,-,226,0
TOTAL,"283,717,176.00","59,689,097.40",21.04,226,0
Kwale Municipality,,,,226,0
0102063060 (Personnel),"1,749,685.00",-,-,226,0
0111013060 (kwale municipality),"46,304,140.00","410,850.00",0.89,226,0
TOTAL,"48,053,825.00","410,850.00",0.85,226,0
Diani Municipality,,,,226,0
0102063060 (Personnel),"2,099,622.00",-,-,226,0
0112013060 (Diani municipality),"54,224,616.00","133,050.00",0.25,226,0
TOTAL,"56,324,238.00","133,050.00",0.24,226,0
Grand Total,"8,580,585,516.00","1,169,275,417.60",13.63,226,0
