Programme,"Sub-Pro-
gramme
code",Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
705004810,,"Information and communi-
cation services","108,699,517","12,904,197","95,795,320",11.87,142,0
,705014810,"Information and communica-
tion services","108,699,517","12,904,197","95,795,320",11.87,142,0
706004810,,"Economic and policy for-
mulation and management
planning","56,748,214","26,978,343","29,769,871",47.54,142,0
,706014810,Economic policy formulation,"56,748,214","26,978,343","29,769,871",47.54,142,0
707004810,,Public finance management,"370,102,720","27,277,226","342,825,494",7.37,142,0
,707014810,"Accounting and Financial ser-
vices","61,836,558","15,459,140","46,377,419",25.00,142,0
,707024810,"Financial Accounting and Re-
porting","237,468,276","3,606,856","233,861,420",1.52,142,0
,707034810,"Budget Formulation and man-
agement","66,748,097","7,682,623","59,065,474",11.51,142,0
,707044810,Procurement services,"4,049,789","528,607","3,521,182",13.05,142,0
709004810,,"Support, Co-ordination and
Advisory services","52,676,101","6,283,210","46,392,891",11.93,142,0
,709014810,Support and Advisory services,"37,014,898","3,738,330","33,276,568",10.10,142,0
,709024810,County Internal Audit services,"15,661,203","2,544,880","13,116,323",16.25,142,0
710004810,,County Assembly Services,"1,338,480,296","97,114,115","1,241,366,181",7.26,142,0
,710014810,Oversight services,"1,338,480,296","97,114,115","1,226,366,181",7.26,142,0
712004810,,"County Public service and
Administrative services","6,070,220,633","1,128,332,444","4,941,888,189",18.59,142,0
,712014810,County Administration,"474,173,118","109,404,842","364,768,276",23.07,142,0
,712024810,"Human Resource Manage-
ment","5,596,047,515","1,018,927,602","4,577,119,914",18.21,142,0
713004810,,"General Administration and
Support services","167,171,622","59,298,550","107,873,072",35.47,142,0
,713014810,Administrative Services,"167,171,622","59,298,550","107,873,072",35.47,142,0
716004810,,"Alcoholics and Drinks Con-
trol","22,985,063","125,220","22,859,843",0.54,142,0
,,,A,B,,D=B/A*100,143,0
,716014810,"Alcohol and Drug Rehabilita-
tion Program","22,985,063","125,220","22,859,843",0.54,143,0
718004810,,Investment promotion,"38,230,222","4,830,000","33,400,222",12.63,143,0
,718014810,Investment promotion,"38,230,222","4,830,000","33,400,222",12.63,143,0
901004810,,"Administration, Planning
and Support services","29,726,370","5,935,687","23,790,683",19.97,143,0
,901014810,Administrative Services,"29,726,370","5,935,687","23,790,683",19.97,143,0
902004810,,"Culture and Arts Develop-
ment","23,653,400","2,386,745","21,266,655",10.09,143,0
,902014810,"Culture and Heritage Conser-
vation","23,653,400","2,386,745","21,266,655",10.09,143,0
903004810,,"Management and Develop-
ment Of Sports And Sports
Facilities","476,872,050","90,038,712","386,833,338",18.88,143,0
,903014810,"Development of Sports facil-
ities","450,000,000","86,951,219","363,048,781",19.32,143,0
,903024810,"Promotion and Development
of Sports and Talent","26,872,050","3,087,493","23,784,557",11.49,143,0
904004810,,"Youth & Gender Develop-
ment and Promotion Ser-
vices","25,677,218","104,662","25,572,556",0.41,143,0
,904014810,"Youth, Disability and Gender
Empowerment and main-
streaming","25,677,218","104,662","25,572,556",0.41,143,0
906004810,,"Social Development and Pro-
motions","104,266,710","901,193","103,365,517",0.86,143,0
,906014810,"Social Development and So-
cial Protection","100,740,310","552,740","100,187,570",0.55,143,0
,906024810,Child welfare Services,"3,526,400","348,453","3,177,947",9.88,143,0
908004810,,"Development of Library ser-
vices","1,459,224","89,200","1,370,024",6.11,143,0
,908014810,Library services,"1,459,224","89,200","1,370,024",6.11,143,0
1.005E+09,,"Natural Resource Manage-
ment","38,128,179","8,260,258","29,867,921",21.66,143,0
,1005014810,"Afforestation and Re-affor-
estation","18,236,413","3,919,558","14,316,855",21.49,143,0
,1005024810,"Protection of natural resources
and environmental processes","19,891,766","4,340,700","15,551,066",21.82,143,0
1.006E+09,,"Water and Sanitation Ser-
vices","364,757,008","112,423,566","252,333,442",30.82,143,0
,1006014810,"Water Resource Supply and
management","364,757,008","112,423,566","252,333,442",30.82,143,0
1.007E+09,,Environmental conservation,"107,632,921","27,306,278","80,326,643",25.37,143,0
,1007014810,Environmental Protection,"107,632,921","27,306,278","80,326,643",25.37,143,0
,,Grand Total,"15,405,193,339","2,121,434,775","13,283,758,564",13.77,143,0
