Programme,Sub-Programme,"Approved Budget
(Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),"Absorp-
tion
(Kshs.)",page_number,table_index
P2: Roads Transport,"SP2.1: Rural Roads Improve-
ment and Maintenance","1,037,265,953","4,312,269","1,032,953,684",0.4,92,0
P3: Street lighting,SP3.1: Street lighting,"15,586,142","64,797","15,521,345",0.4,92,0
Sub Total,,"1,123,531,427","4,670,904","1,118,860,523",0.4,92,0
"EDUCATION, SCIENCE AND TECHNOLOGY",,,,,,92,0
"P1: General Administration,
Planning and Support Services","SP1.1:General Administration
and Support Services","104,923,660","16,472,814","88,450,846",15.7,92,0
"P2:Quality Assurance and Stan-
dards","SP2.1: Quality Assurance
Quality Assurance & Stan-
dards","83,938,928","13,178,251","70,760,677",15.7,92,0
"P3: ECDE and Tertiary Education
(Polytechnics)","SP3.1: ECDE and Tertiary Ed-
ucation (Polytechnics)","230,832,053","36,240,192","194,591,861",15.7,92,0
Sub Total,,"419,694,641","65,891,257","353,803,384",15.7,92,0
"LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,92,0
"P1: Water Supply and Sewerage
Services",SP1.1: Domestic water supply,"90,203,900","10,257,424","79,946,476",11.4,92,0
"P2: Environment Conservation
and Management","SP2.1: Environmental conser-
vation and management","26,775,038","3,044,690","23,730,348",11.4,93,0
"P3: Land management, Policy
and Planning","SP3.1: Physical planning and
urban Planning","37,641,811","4,280,392","33,361,419",11.4,93,0
,SP3.2: Survey and mapping,"23,883,931","2,715,932","21,168,000",11.4,93,0
"P4: General Administration,
Planning and Support Services","SP 4.1 General Administration
and Support Services","20,528,079","2,334,325","18,193,754",11.4,93,0
Sub Total,,"199,032,759","22,632,763","176,399,996",11.4,93,0
YOUTH EMPOWERMENT AND SPORTS,,,,,,93,0
"P1: Youth Development and Em-
powerment Services","SP5.1:Youth Development and
Empowerment Services","30,330,680","1,275,132","29,055,548",4.2,93,0
"P2: Management and Develop-
ment of Sports and Sports Facil-
ities","SP5.1: Community Sports pro-
gramme","24,264,544","1,020,106","23,244,438",4.2,93,0
"P3: General Administration Plan-
ning and Support Services","SP3.1: General Administra-
tion services","6,066,136","255,026","5,811,110",4.2,93,0
Sub Total,,"60,661,359","2,550,264","58,111,095",4.2,93,0
