Program,Sub Program,Description,Budget (Kshs.),Expenditure (Kshs.),"Absorption
(%)",page_number,table_index
,306014660,"Local Tourism promotion and Wild-
life Management","2,086,037","419,800",20.1,129,0
401004660,,"General Administration, Planning
and Support Services","1,965,599,769","448,294,439",22.8,129,0
,401024660,"General Administration and Support
Services","1,965,599,769","448,294,439",22.8,129,0
402004660,,"Preventive & Promotive Health Ser-
vices","41,045,048","791,000",1.9,129,0
,402044660,"Reproductive Maternal Neo-natal
Child &Adolescent Health-RMNC","4,615,200",-,0.0,129,0
,402054660,"Communicable and Non-Communi-
cable diseases","4,516,348","280,000",6.2,129,0
,402064660,Primary Health Care Services,"17,170,000",-,0.0,129,0
,402074660,Disease Surveillance and Response,"3,989,500",-,0.0,130,0
,402084660,"Environmental Health and Sanitation
Services","10,754,000","511,000",4.8,130,0
404004660,,Curative and Rehabilitative,"337,634,933","1,775,335",0.5,130,0
,404034660,Hospital Services,"18,858,000","713,900",3.8,130,0
,404044660,Health Products and Technologies,"307,914,133","332,500",0.1,130,0
,404054660,Emergency Response services,"10,862,800","728,935",6.7,130,0
501004660,,"General Administration, Planning
and Support Services","470,835,372","110,569,372",23.5,130,0
,501014660,Headquarters Administrative Services,"470,835,372","110,569,372",23.5,130,0
506004660,,,"39,338,071","700,700",1.8,130,0
,506014660,"Early Childhood Development and
Education","39,338,071","700,700",1.8,130,0
507004660,,,"6,440,000","406,000",6.3,130,0
,507014660,Technical Vocational Training,"6,440,000","406,000",6.3,130,0
701004660,,"General Administration and Policy
Coordination","627,781,472","136,036,310",21.7,130,0
,701014660,Headquarters Administrative Services,"627,781,472","136,036,310",21.7,130,0
702004660,,Executive Committee Affairs,"23,541,121","483,000",2.1,130,0
,702024660,Information Communication Services,"23,541,121","483,000",2.1,130,0
705004660,,Public Financial Management,"125,482,454","6,076,000",4.8,130,0
,705014660,Resource Mobilisation,"24,612,454","1,689,300",6.9,130,0
,705044660,Accounting services,"14,562,000","1,147,300",7.9,130,0
,705054660,Supply Chain Management Services,"59,231,000","2,227,200",3.8,130,0
,705074660,Budget,"15,280,000","669,200",4.4,130,0
,705104660,Internal Audit,"11,797,000","343,000",2.9,130,0
712004660,,,"24,934,861",-,0.0,130,0
,712014660,County Administration,"19,150,000",-,0.0,130,0
,712024660,County Inspectorate,"5,784,861",-,0.0,130,0
713004660,,,"136,790,000","987,000",0.7,130,0
,713014660,"Human Resource Management and
Development","136,790,000","987,000",0.7,130,0
714004660,,,"14,747,360",-,0.0,130,0
,714014660,Citizen Participation,"14,747,360",-,0.0,130,0
715004660,,,"151,570,287","33,097,429",21.8,130,0
,715014660,"General Administration Planning and
Support Services-Office","151,570,287","33,097,429",21.8,130,0
716004660,,,"66,866,803","1,604,750",2.4,130,0
,716014660,County Executive Committee Affairs,"33,946,000","1,604,750",4.7,130,0
,716024660,Intergovernmental Relations,"10,688,000",-,0.0,130,0
,716034660,County Advisory Services,"10,440,000",-,0.0,130,0
,716044660,Special Programmes,"11,792,803",-,0.0,130,0
717004660,,,"402,569,015","94,163,423",23.4,130,0
,717014660,"General Administration Planning and
Support Services-County Tr","402,569,015","94,163,423",23.4,130,0
718004660,,,"29,681,892","329,000",1.1,130,0
,718014660,Economic Planning,"14,975,973","329,000",2.2,130,0
,718024660,Monitoring and Evaluation,"14,705,919",-,0.0,130,0
902004660,,,"61,786,388","9,079,951",14.7,130,0
,902014660,Gender,"61,786,388","9,079,951",14.7,131,0
904004660,,,"10,915,006",-,0.0,131,0
,904014660,Social Protection,"4,960,000",-,0.0,131,0
,904024660,Disability Mainstreaming,"1,852,000",-,0.0,131,0
,904034660,"Control of Alcohol and Substance
Abuse","4,103,006",-,0.0,131,0
905004660,,,"5,172,864","399,000",7.7,131,0
,905014660,Gender Mainstreaming,"5,172,864","399,000",7.7,131,0
906004660,,,"5,086,099","265,300",5.2,131,0
,906014660,Cultural Heritage,"1,591,000",-,0.0,131,0
,906024660,Cultural Activities,"3,495,099","265,300",7.6,131,0
907004660,,,"15,887,665","746,900",4.7,131,0
,907014660,Sports Training and Competition,"15,887,665","746,900",4.7,131,0
1006004660,,,"45,834,643","448,000",1.0,131,0
,1006014660,"Environment Management and Pro-
tection","43,712,659","294,000",0.7,131,0
,1006024660,Natural Resource Management,"2,121,984","154,000",7.3,131,0
1007004660,,,"106,763,741","25,783,686",24.2,131,0
,1007014660,"General Administration Planning and
Support Services","106,763,741","25,783,686",24.2,131,0
1008004660,,,"66,675,425","651,000",1.0,131,0
,1008014660,Water Services,"45,750,000","651,000",1.4,131,0
,1008024660,Storm Water Management,"20,925,425",-,0.0,131,0
4682000100,,,"61,121,827","7,595,920",12.4,131,0
,209004682,,"48,837,427","7,595,920",15.6,131,0
,211004682,,"6,254,000",-,0.0,131,0
,210004682,,"6,030,400",-,0.0,131,0
4683000100,,,"93,435,397","12,289,491",13.2,131,0
,212004683,,"81,770,397","12,289,491",15.0,131,0
,214004683,,"3,000,000",-,0.0,131,0
,213004683,,"8,665,000",-,0.0,131,0
4684000100,,,"168,264,188","4,054,050",2.4,131,0
,720004684,,"168,264,188","4,054,050",2.4,131,0
,,Grand Total,"5,846,899,005","1,026,664,915",17.6,131,0
