S/No,Revenue,"Annual Budget Allocation
(in Kshs)","Actual Receipts (in
Kshs.)","Actual Receipts as
Percentage of Annu-
al Allocation (%)",page_number,table_index
2,Kenya Climate Smart Agriculture Project,"82,386,194",-,-,429,0
3,"DANIDA (Universal Healthcare in Devolved System
Program)","12,339,500",-,-,429,0
4,Instruments for Devolution Advice and Support,"14,727,370",-,-,429,0
5,"Agriculture Sector Development Support Program
(ASDP II)","20,261,832",-,-,429,0
6,"Financing Locally-Led Climate Action (FLLo-
CA)-County Climate Institutional Support (CCIS)","11,000,000",-,-,429,0
,Sub-Total,"244,714,896",-,-,429,0
C,Other Sources of Revenue,,,,429,0
1,Own Source Revenue,"87,846,000","7,323,600",8.3,429,0
2,Balance b/f from FY2021/22,"1,080,234,257","1,080,234,257",100,429,0
Sub Total,,"1,168,080,257","1,087,557,857",93.1,429,0
Grand Total,,"7,941,203,918","2,164,745,303",27.3,429,0
