col_0,Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
,,,A,B,C=A-B,D=B/A*100,447,1
"Agriculture,
Livestock",,,"878,263,980","73,488,779","804,775,201",8.4,447,1
P1,"Crop Develop-
ment",,"602,032,234",-,"602,032,234",-,447,1
,Sp1.1,"Crop Diversifica-
tion","528,517,155",-,"528,517,155",-,447,1
,Sp1.2,"Post-harvest man-
agement and value
addition","73,515,079",-,"73,515,079",-,447,1
P2,"Administrative
and Support Ser-
vices",,"276,231,746","73,488,779","202,742,967",26.6,447,1
,Sp2.1,"Administrative
and Support Ser-
vices","276,231,746","73,488,779","202,742,967",26.6,447,1
"Trade, Commerce
and Industry",,,"160,670,966","4,018,526","156,652,440",2.5,447,1
P1,"Medium and
small Enterprises",,"97,257,025",-,"97,257,025",-,447,1
,Sp1.1,"Medium and small
Enterprises","97,257,025",-,"97,257,025",-,447,1
P2,"Administrative
and Support Ser-
vices",,"63,413,941","4,018,526","59,395,415",6.3,447,1
,Sp2.1,"Administrative
And Support Ser-
vices","63,413,941","4,018,526","59,395,415",6.3,447,1
,,,A,B,C=A-B,D=B/A*100,448,0
"Water, Environ-
ment and Natural
Resources",,,"560,993,684","35,736,917","525,256,767",6.4,448,0
P1,"Environment
management and
protection",,"462,499,115",-,"462,499,115",-,448,0
,Sp1.1,"Waste Manage-
ment","462,499,115",-,"462,499,115",-,448,0
P2,"Administrative
And Support Ser-
vices",,"98,494,569","35,736,917","62,757,652",36.3,448,0
,Sp2.1,"Administrative
and Support Ser-
vices","98,494,569","35,736,917","62,757,652",36.3,448,0
"Public Works,
Roads and Infra-
structure",,,"619,817,449","19,653,058","600,164,391",3.2,448,0
P1,"Road Construc-
tion and Road
Maintenance",,"417,879,580",-,"417,879,580",-,448,0
,Sp1.1,"Maintenance of
Roads","417,879,580",-,"417,879,580",-,448,0
P2,"Administrative
and Support Ser-
vices",,"201,937,869","19,653,058","182,284,811",9.7,448,0
,Sp2.1,"Administrative
and Support Ser-
vices","201,937,869","19,653,058","182,284,811",9.7,448,0
"Lands, Housing
and Urban Plan-
ning",,,"198,021,203","5,173,757","192,847,446",2.6,448,0
P1,"Administrative
and Support Ser-
vices",,"198,021,203","5,173,757","192,847,446",2.6,448,0
,Sp1.1,"Administrative
And Support Ser-
vices","198,021,203","5,173,757","192,847,446",2.6,448,0
"Gender, Sports,
Culture and
Tourism",,,"196,049,082","31,835,578","164,213,504",16.2,448,0
P1,"Culture develop-
ment and promo-
tion",,"140,341,180",-,"140,341,180",-,448,0
,Sp1.1,"Culture develop-
ment","140,341,180",-,"140,341,180",-,448,0
P2,"Administrative
and Support Ser-
vices",,"55,707,902","31,835,578","23,872,324",57.1,448,0
,Sp2.1,"Administrative
and Support Ser-
vices","55,707,902","31,835,578","23,872,324",57.1,448,0
"Public Service
Management",,,"725,059,978","66,003,135","659,056,843",9.1,448,0
,,,A,B,C=A-B,D=B/A*100,449,0
P1,"Infrastructure
Development",,"148,127,077",-,"148,127,077",-,449,0
,Sp1.1,"Supervision and
Management of
Projects","148,127,077",-,"148,127,077",-,449,0
P2,"Administrative
and Support Ser-
vices",,"576,932,901","66,003,135","510,929,766",11.4,449,0
,Sp2.1,"Administrative
and Support Ser-
vices","576,932,901","66,003,135","510,929,766",11.4,449,0
"Education and
ICT",,,"643,305,145","99,085,242","544,219,903",15.4,449,0
P1,"Vocational Train-
ing Development",,"152,658,774",-,"152,658,774",-,449,0
,Sp1.1,"Vocational Train-
ing Development","152,658,774",-,"152,658,774",-,449,0
P2,"Administrative
and Support Ser-
vices",,"490,646,371","99,085,242","391,561,129",20.2,449,0
,Sp2.1,"Administrative
and Support Ser-
vices","490,646,371","99,085,242","391,561,129",20.2,449,0
Finance,,,"693,159,565","219,373,398","473,786,167",31.6,449,0
P1,"Administrative
and Support Ser-
vices",,"693,159,565","219,373,398","473,786,167",31.6,449,0
,Sp1.1,"Supervision and
Management of
Projects","222,295,289",-,"222,295,289",-,449,0
,Sp1.2,"Administrative
And Support Ser-
vices","470,864,276","219,373,398","251,490,878",46.6,449,0
Governance,,,"161,532,719","4,288,010","157,244,709",2.7,449,0
P1,"Infrastructure
Development",,"10,000,000",-,"10,000,000",-,449,0
,Sp1.1,"Supervision and
Management of
Projects","10,000,000",-,"10,000,000",-,449,0
P2,"Administrative
and Support Ser-
vices",,"151,532,719","4,288,010","147,244,709",2.8,449,0
,Sp2.1,"Administrative
and Support Ser-
vices","151,532,719","4,288,010","147,244,709",2.8,449,0
"County Public
Service Board",,,"96,615,170","6,948,862","89,666,308",7.2,449,0
P1,"Governance and
County Values",,"13,465,000",-,"13,465,000",-,449,0
,Sp1.1,"Infrastructure De-
velopment","13,465,000",-,"13,465,000",-,449,0
,,,A,B,C=A-B,D=B/A*100,450,0
P2,"Administrative
and Support Ser-
vices",,"83,150,170","6,948,862","76,201,308",8.4,450,0
,Sp2.1,"Administrative
and Support Ser-
vices","83,150,170","6,948,862","76,201,308",8.4,450,0
Health Corporate,,,"2,510,852,759","376,141,983","2,134,710,776",15,450,0
P1,"Administrative
and Support Ser-
vices",,"2,510,852,759","376,141,983","2,134,710,776",15,450,0
,Sp1.1,"Preventive Health
Services","607,889,496",-,"607,889,496",-,450,0
,Sp1.2,"Administrative
And Support Ser-
vices","1,902,963,263","376,141,983","1,526,821,280",19.8,450,0
"Economic Plan-
ning",,,"66,994,733","786,000","66,208,733",1.2,450,0
P1,"County Research
and Development
Planning",,"20,300,000",-,"20,300,000",-,450,0
,Sp1.1,"County Develop-
ment Planning
Services","20,300,000",-,"20,300,000",-,450,0
P2,"Administrative
and Support Ser-
vices",,"46,694,733","786,000","45,908,733",1.7,450,0
,Sp2.1,"Administrative
and Support Ser-
vices","46,694,733","786,000","45,908,733",1.7,450,0
"Municipality
Board of Kitale",,,"129,755,000",-,"129,755,000",-,450,0
P1,"Administrative
and Support Ser-
vices",,"129,755,000",-,"129,755,000",-,450,0
,Sp1.1,"Administrative
and Support Ser-
vices","129,755,000",-,"129,755,000",-,450,0
County Attorney,,,"81,250,000",-,"81,250,000",-,450,0
P1,"Administrative
and Support Ser-
vices",,"81,250,000",-,"81,250,000",-,450,0
,Sp1.1,"Administrative
and Support Ser-
vices","81,250,000",-,"81,250,000",-,450,0
County Assembly,,,"961,300,593","91,838,836","869,461,757",9.6,450,0
P1,"Administrative
and Support Ser-
vices",,"961,300,593","91,838,836","869,461,757",9.6,450,0
,Sp1.1,"Administrative
and Support Ser-
vices","961,300,593","91,838,836","869,461,757",9.6,450,0
Grand Total,,,"8,683,642,026","1,034,372,081","7,649,269,945",11.9,450,0
