Program,Sub Program,Description,Final Budget,"Actual Expen-
diture",Variance,"Absorption
Rate (%)",page_number,table_index
,,,(Kshs.),(Kshs.),(Kshs.),,201,0
101005060,,"General Administration and
Planning Services","1,096,274,176","275,680,933","820,593,243",25.1,201,0
,101015060,"Planning and Coordination
Services","428,850,904","77,495,131","351,355,773",18.1,201,0
,101045060,Planning and Administration,"667,423,272","198,185,802","469,237,470",29.7,201,0
102005060,,County Survey Services,"950,000",-,"950,000",0.0,201,0
,102015060,County Survey,"950,000",-,"950,000",0.0,201,0
103005060,,"Physical Planning & Hous-
ing","5,400,000",-,"5,400,000",0.0,201,0
,103015060,Physical planning services,"2,850,000",-,"2,850,000",0.0,201,0
,103025060,county housing management,"2,550,000",-,"2,550,000",0.0,201,0
104005060,,"Promotion of sustainable
land use","600,000",-,"600,000",0.0,201,0
,104015060,"Promotion of Soil and Water
Management","600,000",-,"600,000",0.0,201,0
105005060,,"Agriculture Productivity
Improvement","86,741,383",-,"86,741,383",0.0,201,0
,105015060,"Management of Agriculture
Advisory services","7,353,445",-,"7,353,445",0.0,201,0
,105025060,"Promotion of Crop produc-
tion Value Chains","7,200,000",-,"7,200,000",0.0,201,0
,105035060,"Promotion of Livestock Pro-
duction Value Chains","23,062,054",-,"23,062,054",0.0,201,0
,105055060,Management of Stations,"48,375,884",-,"48,375,884",0.0,201,0
,105075060,"Development of Product
Quality Assurance","750,000",-,"750,000",0.0,201,0
106005060,,"Agricultural Productivity
Improvement","1,100,000",-,"1,100,000",0.0,201,0
,106015060,Agriculture Credit Access,"1,100,000",-,"1,100,000",0.0,201,0
107005060,,"Promotion of market access
and products development","3,000,000",-,"3,000,000",0.0,201,0
,107015060,Promotion of Agribusiness,"500,000",-,"500,000",0.0,201,0
,107025060,Promotion value addition,"2,500,000",-,"2,500,000",0.0,201,0
108005060,,"Revenue Generation and
Management","21,855,964","1,632,442","20,223,522",7.5,201,0
,108015060,Local Revenue Mobilization,"21,855,964","1,632,442","20,223,522",7.5,201,0
109005060,,"Urban Planning $ Develop-
ment Control","53,847,085",-,"53,847,085",0.0,201,0
,109015060,"Urban planning and develop-
ment","53,847,085",-,"53,847,085",0.0,201,0
201005060,,"County Roads and Public
Works Management","867,311,329","67,823,702","799,487,627",7.8,201,0
,201015060,"General administration &
planning","554,103,797","7,823,702","546,280,095",1.4,201,0
,201025060,"Road construction and main-
tenance services","313,207,532","60,000,000","253,207,532",19.2,201,0
203005060,,"Administration, Planning
and Support Services","2,810,456,134","561,675,870","2,248,780,264",20.0,201,0
,203015060,Administrative services,"2,810,456,134","561,666,870","2,248,780,264",20.0,201,0
,,,(Kshs.),(Kshs.),(Kshs.),,202,0
205005060,,Energy Production,"68,150,648","9,000","68,141,648",0.0,202,0
,205025060,,"45,875,324",-,"45,875,324",0.0,202,0
,205035060,Climate Change,"1,400,000","9,000","1,391,000",0.6,202,0
,205045060,Petroleum and Electricity,"20,875,324",-,"20,875,324",0.0,202,0
206005060,,Mining Efficiency,"29,325,324","5,963,520","23,361,804",20.3,202,0
,206045060,Mining Efficiency,"200,000",-,"200,000",0.0,202,0
,206055060,Resource Mobilization,"26,950,000","5,963,520","20,986,480",22.1,202,0
,206065060,Green Energy,"2,175,324",-,"2,175,324",0.0,202,0
207005060,,"Roads General Administra-
tion and Planning","60,000,000",-,"60,000,000",0.0,202,0
,207015060,Public Works,"5,000,000",-,"5,000,000",0.0,202,0
,207045060,"Mechanical Engineering Ser-
vices","55,000,000",-,"55,000,000",0.0,202,0
