Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Programme 3:
Management and
Development of
Sports, Recreation
and Sports Facilities","SP 3.2 Development of
Sports Infrastructure","47,823,107",-,"47,823,107",-,337,0
,SP 3.3 Sporting Tournament,"7,000,000",-,"7,000,000",-,337,0
,SP 3.4 Sports Funding.,"50,500,000",-,"50,500,000",-,337,0
Sub Total,,"105,323,107",-,"105,323,107",-,337,0
"Programme 4: Youth
Empowerment and
Participation","SP 4.2 Youth empowerment
and participation","16,250,000",-,"16,250,000",-,337,0
,SP 4.3 Youth development,"14,500,000",-,"14,500,000",-,337,0
Sub Total,,"30,750,000",-,"30,750,000",-,337,0
"Department of Infrastructure, Roads, Public Works and Transport",,,,,,337,0
"Programme 1: Ad-
ministration, Plan-
ning and Support
Services",SP 1.1. Administrative services.,"41,564,207",-,"41,564,207",-,337,0
,SP 1.2: Personnel services.,"136,652,235","27,063,511","109,588,724",19.8,337,0
,SP 1.3: Financial Services.,-,-,-,-,337,0
Sub Total,,"178,216,442","27,063,511","151,152,931",15.2,337,0
"Programme 2. Infra-
structure, Develop-
ment & Maintenance.","S.P 2.1-Construction
rehabilitation & maintenance
of Roads, Drainage & Bridges.","764,788,293",-,"764,788,293",-,337,0
,"S.P 2.2-Rehabilitation
& Maintenance of
Transport Terminus.","4,850,000",-,"4,850,000",-,337,0
316,,,,,,337,0
,"S.P 2.3-Construction &
Maintenance of non-residential
County Buildings.","34,650,000",-,"34,650,000",-,338,0
,"S.P 2.4-Installation,
Rehabilitation & Maintenance
of Lighting facilities.","114,250,000",-,"114,250,000",-,338,0
Sub Total,,"918,538,293",-,"918,538,293",-,338,0
"Programme 3. Fire-
fighting & Disaster
Management.","S.P 3.1 Firefighting and
Emergency Services","7,700,000",-,"7,700,000",-,338,0
,"S.P3.2 Disaster management(fire
and rescue)","1,000,000",-,"1,000,000",-,338,0
Sub Total,,"7,700,000",-,"7,700,000",-,338,0
"Department of Environment, Water, Energy and Natural Resources",,,,,,338,0
"Programme 1: Ad-
ministration",S.P 1.1: Administrative services,"32,310,941","666,267","31,644,674",2.1,338,0
,S.P 1.2: Human Resource,"216,813,857","56,765,144","160,048,713",26.2,338,0
Sub Total,,"249,124,798","57,431,411","191,693,386",23.1,338,0
"Programme 2: Water
and Sewerage man-
agement",SP 2.1 Provision of Water,"249,124,798","57,431,411","191,693,386",23.1,338,0
,S.P 2.2 Provision of sewerage,"581,182,134",-,"581,182,134",-,338,0
Sub Total,,"830,306,932","57,431,411","772,875,520",6.9,338,0
"Programme 3: Envi-
ronmental Manage-
ment",S.P 3:1 Pollution control,"581,182,134",-,"581,182,134",-,338,0
,"S.P 3:3 Greening and
Beautification","173,192,528",-,"173,192,528",-,338,0
Sub Total,,"754,374,662",-,"754,374,662",-,338,0
"Programme 4: Coun-
ty Energy, Planning,
Regulate, Operation
& Development",Administration,"2,000,000",-,"2,000,000",-,338,0
Sub Total,,"2,000,000",-,"2,000,000",-,338,0
Department of Health Services,,,,,,338,0
"Programme 1:
Administration and
Planning","SP 1.2: Governance
and Leadership","22,319,000",-,"22,319,000",-,338,0
,"SP 1.3: Human Resource
Management","540,716,145","5,742,592","534,973,553",1.1,338,0
