Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure Q1
FY 2022/23 (Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS & SOCIAL DEVELOPMENT",,,,,,402,0
501004216,"General Administration Planning
and Support Services","143,021,225","23,149,993","119,871,232",16.19%,402,0
502004216,"Promotion of Early Childhood Ed-
ucation","477,812,039","58,965,455","418,846,584",12.34%,402,0
504004216,"SP1 Revitalization of Youth Poly-
technics","24,084,986","679,219","23,405,767",2.82%,402,0
,,"644,918,250","82,794,667","562,123,583",12.84%,402,0
DEPARTMENT: COUNTY HEALTH SERVICES,,,,,,402,0
401004217,Health Promotive Services,"133,166,185","21,201,323","111,964,862",15.92%,402,0
401004217,Communicable Disease Control,"85,175,188","19,241,204","65,933,984",22.59%,402,0
401004217,"Non-Communicable Disease &
prevention control","37,352,682","7,128,621","30,224,061",19.08%,402,0
401004217,Maternal Health Services,"54,089,842","12,018,751","42,071,091",22.22%,402,0
402004217,"Provision of Essential Health Ser-
vices In All The Levels","24,914,162","3,639,717","21,274,445",14.61%,402,0
402004217,County Referral Services,"497,434,482","104,375,239","393,059,243",20.98%,402,0
402004217,Free Primary Healthcare,"166,482,850","3,546,099","162,936,751",2.13%,402,0
403004217,Health Infrastructure development,"8,788,504",-,"8,788,504",0.00%,402,0
403004217,Human Resources for health,"68,988,943","13,332,723","55,656,220",19.33%,402,0
403004217,Research and Development,"8,519,002","1,403,637","7,115,366",16.48%,402,0
403004217,"Health Policy, Planning & Financ-
ing","291,852,229","2,165,880","289,686,349",0.74%,402,0
403004217,"Health Standards and Quality As-
surance Services","81,060,204","19,359,485","61,700,719",23.88%,402,0
,,"1,457,824,273","207,412,680","1,250,411,593",14.23%,402,0
"DEPARTMENT: LANDS, PHYSICAL PLANNING AND URBAN DEVELOPMENT",,,,,,402,0
101004218,"Administration, Planning and Sup-
port Services","86,262,149","6,512,441","79,749,708",7.55%,402,0
102004218,Spatial planning,"7,428,266","273,052","7,155,214",3.68%,402,0
102004218,Survey and Mapping,"37,593,850","522,600","37,071,250",1.39%,402,0
102004218,Housing management services,"912,043",-,"912,043",0.00%,402,0
106004218,Urban centre management,"51,172,894","2,425,001","48,747,893",4.74%,403,0
,,"183,369,202","9,733,095","173,636,107",5.31%,403,0
"DEPARTMENT: COUNTY TRANSPORT, PUBLIC WORKS AND WATER SERVICES",,,,,,403,0
201004219,Administrative services,"43,038,389","3,014,691","40,023,698",7.00%,403,0
201004219,Firefighting services,"1,697,990",-,"1,697,990",0.00%,403,0
201004219,"Design, implementation and super-
vision of public buildings","11,930,486",-,"11,930,486",0.00%,403,0
202004219,"Rehabilitation of Roads, Drainage
and Bridges","13,059,780","616,945","12,442,835",4.72%,403,0
202004219,"Design, supervision and rehabilita-
tion of County Buildings","8,173,258",-,"8,173,258",0.00%,403,0
202004219,Street lights management,"16,447,732",-,"16,447,732",0.00%,403,0
202004219,Public Road transport and parking,"265,853,125","1,113,256","264,739,869",0.42%,403,0
,,"360,200,760","4,744,892","355,455,868",1.32%,403,0
"DEPARTMENT: TRADE, TOURISM, COOPERATIVES AND ENTERPRISE DEVELOPMENT",,,,,,403,0
301004220,General administration,"208,510,950","2,575,942","205,935,008",1.24%,403,0
302004220,Enhance Marketing Co-operatives,"30,501,941","2,814,877","27,687,064",9.23%,403,0
303004220,"Business Development Services for
MSE's","160,000",-,"160,000",0.00%,403,0
304004220,"Establish & Management of County
Tourism Information Centre","116,768,645","18,259,489","98,509,156",15.64%,403,0
305004220,Domestic trade development,"19,699,881","1,368,945","18,330,936",6.95%,403,0
305004220,"Market development and promo-
tion of fair-trade services","620,000","88,900","531,100",14.34%,403,0
306004220,"General Administration Planning
and Support Services","28,708,856","2,387,834","26,321,022",8.32%,403,0
,,"404,970,273","27,495,987","377,474,286",6.79%,403,0
"DEPARTMENT: CULTURE, SOCIAL SERVICES AND GENDER",,,,,,403,0
503004221,"Sports Development, Training &
Competition","97,360,000","634,000","96,726,000",0.65%,403,0
901004221,"General Administration Planning
and Support Services","38,329,410","3,282,389","35,047,022",8.56%,403,0
902004221,Conservation of Heritage,"970,000","15,000","955,000",1.55%,403,0
902004221,"Development and Promotion of
Culture","8,036,086","15,000","8,021,086",0.19%,403,0
902004221,Social Welfare and Gender,"25,070,000","6,717,150","18,352,850",26.79%,403,0
