Programme,Sub-Programme,"Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of
30th September 2022
(Kshs.)",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",48,1
Administration and Public Service,,,,,,,,48,1
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",49,0
"Administration
and Public Ser-
vice",County Executive,"181,673,227",-,"51,210,000",-,28.2,0.0,49,0
,County PSB,"37,277,376","45,089,411","9,000,000",-,24.1,0.0,49,0
,"Administration/Gover-
nance","29,695,962","22,000,000","4,600,000",-,15.5,0.0,49,0
,Public Service,"1,899,058,051",-,"402,537,379",-,21.2,0.0,49,0
,Sub Total,"2,147,704,616","67,089,411","467,347,379",-,21.8,0.0,49,0
"Finance, Economic Planning and ICT",,,,,,,,49,0
Finance,Administration,"135,066,000","64,934,000","63,448,500",-,47.0,0.0,49,0
,Subtotal,"135,066,000","64,934,000","63,448,500",-,47.0,0.0,49,0
"Economic Plan-
ning",Administration,"37,256,683","260,000,000","22,680,000",-,60.9,0.0,49,0
,"Budget Preparation &
Management","7,400,528",-,"1,000,000",-,13.5,0.0,49,0
,M & E Services,"4,345,766",-,-,-,0.0,0.0,49,0
,Planning & Statistics,"27,290,556",-,"3,029,600",-,11.1,0.0,49,0
,Subtotal,"76,293,532","260,000,000","26,709,600",-,35.0,0.0,49,0
ICT,Administration,"22,478,654","14,000,000",-,,0.0,0.0,49,0
,Subtotal,"22,478,654","14,000,000",-,,0.0,0.0,49,0
"Agriculture, Livestock and Cooperatives",,,,,,,,49,0
Agriculture,Administration,"41,907,309",-,-,-,0.0,0.0,49,0
,Crop Management,-,"137,414,129",-,-,0.0,0.0,49,0
,Food & Nutrition Security,-,"9,500,000",-,-,0.0,0.0,49,0
,Subtotal,"41,907,309","146,914,129",-,-,0.0,0.0,49,0
"Livestock, Fish-
eries & Veteri-
nary Services",Livestock Development,-,"11,500,000",-,-,0.0,0.0,49,0
,Fisheries Development,-,"5,200,000",-,-,0.0,0.0,49,0
,Veterinary Services,-,"48,800,000",-,-,0.0,0.0,49,0
,Subtotal,-,"65,500,000",-,-,0.0,0.0,49,0
"Cooperatives
and Enterprise
Development",Administration,"31,000,000",,"7,305,000",-,23.6,0.0,49,0
,"Policy Formulation & Ad-
min",-,"3,500,000",-,-,0.0,0.0,49,0
,Co-operative Development,-,"39,989,000",-,-,0.0,0.0,49,0
,"Value Addition & Market-
ing",-,"10,502,633",-,-,0.0,0.0,49,0
,Enterprise Development,-,"15,500,000",-,-,0.0,0.0,49,0
,Subtotal,"31,000,000","69,491,633","7,305,000",-,23.6,0.0,49,0
Water Sanitation and Environment,,,,,,,,49,0
"Water and Irri-
gation",Administration,"130,286,220","6,000,000","300,000",-,0.2,0.0,49,0
,"Development of Water
Supply for Domestic and
Commercial purposes",0,"179,107,100",-,-,0.0,0.0,49,0
,Irrigation Development,0,"3,000,000",-,-,0.0,0.0,49,0
,Subtotal,"130,286,220","188,107,100","300,000",-,0.2,0.0,49,0
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",50,0
"Waste Water
management",Waste water management,0,"1,000,000",-,-,0.0,0.0,50,0
,Subtotal,0,1000000,0,0,0.0,0.0,50,0
"Environment
& Natural re-
sources",Administration,"26,892,900","600,000",-,-,0.0,0.0,50,0
,"Environmental and natural
resources protection and
conservation",0,"189,400,000",-,-,0.0,0.0,50,0
,Subtotal,"26,892,900","190,000,000",-,-,0.0,0.0,50,0
Education and Vocational Training,,,,,,,,50,0
"Education and
Vocational
Training","Policy Planning & General
Administration","135,879,750",-,"3,340,801",-,2.5,0.0,50,0
,"Early Childhood Develop-
ment and Education",-,"176,200,000",-,-,0.0,0.0,50,0
,"Technical Vocational Edu-
cational and Training",-,"30,544,433",-,-,0.0,0.0,50,0
,Subtotal,"135,879,750","206,744,433","3,340,801",-,2.5,0.0,50,0
"Lands, Housing and Urban Planning",,,,,,,,50,0
"Lands, Hous-
ing and Urban
Planning",Lands,"12,065,000","35,000,000",-,-,0.0,0.0,50,0
,Urban Management,"23,615,218","20,000,000",-,-,0.0,0.0,50,0
,Housing Development,"9,350,000",-,-,-,0.0,0.0,50,0
,Municipality,"53,000,000","10,000,000",-,-,0.0,0.0,50,0
,Subtotal,"98,030,218","65,000,000",-,-,0.0,0.0,50,0
"Roads, Public Works and Transport",,,,,,,,50,0
"Roads, Pub-
lic Works and
Transport","Policy planning and ad-
ministrative services","99,673,772","2,500,000","6,000,000",-,6.0,0.0,50,0
,"Roads Construction &
Maintenance",-,"292,326,228",-,-,0.0,0.0,50,0
,"Development and Main-
tenance of other Public
works",-,"71,000,000",-,-,0.0,0.0,50,0
,"County Transport Infra-
structure",-,"29,500,000",-,-,0.0,0.0,50,0
,Subtotal,"99,673,772","395,326,228","6,000,000",-,6.0,0.0,50,0
"Trade, Energy, Tourism and Industry",,,,,,,,50,0
"Trade, Energy,
Tourism and In-
dustry",Administration,"18,269,882",-,-,-,0.0,0.0,50,0
,Trade Development,-,"12,000,000",-,-,0.0,0.0,50,0
,Energy Development,-,"11,000,000",-,-,0.0,0.0,50,0
,Tourism Development,-,"10,000,000",-,-,0.0,0.0,50,0
,Industry,-,"9,000,000",-,-,0.0,0.0,50,0
,Investment,-,"8,000,000",-,-,0.0,0.0,50,0
,Subtotal,"18,269,882","50,000,000",-,-,0.0,0.0,50,0
"Youth, Sports, Gender and Culture",,,,,,,,50,0
