Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Pay-
ments (Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
,"Early Childhood Develop-
ment Education","341,900,006",-,"341,900,006",0.0,41,0
,"General administration ser-
vices","43,090,000","2,532,525","40,557,475",5.9,41,0
,Special Programmes,-,-,-,0.0,41,0
ICT,,-,-,-,0.0,41,0
,Vocational Training,-,-,-,0.0,41,0
Youth Polytechnics,,-,-,-,0.0,41,0
,Vocational Training,-,-,-,0.0,41,0
County Health Services,,"845,636,888","53,701,775","791,935,113",6.4,41,0
,"Curative and Rehabilitative
Services","32,102,225",-,"32,102,225",0.0,41,0
,"Preventive and Promotive
Health Services","387,288,839","491,852","386,796,987",0.1,41,0
,Health/preventive services,"21,000,000",-,"21,000,000",0.0,41,0
,General administration,"405,245,824","53,209,923","352,035,901",13.1,41,0
"Promotion Of Primary
Health Care",,-,-,-,0.0,41,0
,General administration,-,-,-,0.0,41,0
Lands,,"69,463,132",-,"69,463,132",0.0,41,0
,Land Use Planning,-,-,-,0.0,41,0
,"Livestock Development and
Management","29,026,000",-,"29,026,000",0.0,41,0
,Land Administration,"21,033,300",-,"21,033,300",0.0,41,0
,General administration,"19,403,832",-,"19,403,832",0.0,41,0
,,-,-,-,0.0,41,0
,"Other Urban Infrastructure
development and manage-
ment",-,-,-,0.0,41,0
,"Urban Development-Kabar-
net",-,-,-,0.0,41,0
Land Survey & Mapping,,"87,939,205","440,814","87,498,391",0.5,41,0
,"Urban Development-Eldama
ravine",-,-,-,0.0,41,0
,"Civic Education Develop-
ment Services","20,000,000",-,"20,000,000",0.0,41,0
,General administration,"3,584,129","440,814","3,143,315",12.3,41,0
,Land Administration,"64,355,076",-,"64,355,076",0.0,41,0
Housing,,"52,413,656","562,000","51,851,656",1.1,41,0
,"Inter and Intra -governmen-
tal Relations services","45,654,499",-,"45,654,499",0.0,41,0
,"Other Urban Infrastructure
development and manage-
ment",-,-,-,0.0,41,0
,General administration,"6,759,157","562,000","6,197,157",8.3,41,0
Agricultural Services,,"564,743,650",-,"564,743,650",0.0,41,0
,"Livestock Development and
Management","499,712,946",-,"499,712,946",0.0,41,0
,"Improved livestock Produc-
tion","150,000",-,"150,000",0.0,41,0
,"Agricultural mechanisation
services","10,500,000",-,"10,500,000",0.0,42,0
,General administration,"14,869,781",-,"14,869,781",0.0,42,0
,"Fisheries Development and
Management",-,-,-,0.0,42,0
,Agricultural Development,"24,344,323",-,"24,344,323",0.0,42,0
,Agricultural training services,-,-,-,0.0,42,0
,"Crop Production and Man-
agement","15,166,600",-,"15,166,600",0.0,42,0
Culture Services,,"189,692,598","639,200","189,053,398",0.3,42,0
,,-,-,-,0.0,42,0
,Sports Development,-,-,-,0.0,42,0
,,"14,892,453","639,200","14,253,253",4.3,42,0
,,"174,800,145",-,"174,800,145",0.0,42,0
"Sports Development & Man-
agement Services",,-,-,-,0.0,42,0
,General administration,-,-,-,0.0,42,0
,Sports Development,-,-,-,0.0,42,0
