Programme,"Sub-Pro-
gramme","Approved Estimates
(Kshs.)",col_3,"Actual Expenditure as of 30th
September 2022
(Kshs.)",col_5,"Absorption Rate
(%)",col_7,page_number,table_index
,,Rec,Dev,Rec,Dev,Rec,Dev,213,0
Office of The Governor,,,,,,,,213,0
"General Administration and
Planning",701013710,"359,347,394","731,620,000","62,685,200","1,116,419",17.4,0.2,213,0
"General Administration
and Planning",702013710,"56,675,000","14,625,000","740,800",-,1.3,-,213,0
"Office of the County
secretary",703013710,"106,458,776",-,"14,614,492",-,13.7,∞,213,0
Procurement,704023710,"95,444,000",-,"18,049,850",-,18.9,∞,213,0
Sub-total Office of the governor,,"617,925,170","746,245,000","96,090,342","1,116,419",15.6,0.1,213,0
Public Service Management and Administration,,,,,,,,213,0
"Coordination and Adminis-
trative Services",705013710,"137,168,010","19,000,000","27,105,645",-,19.8,-,213,0
"Coordination and
Administrative Services",706013710,"154,600,120",-,"31,207,000",-,20.2,∞,213,0
"Coordination and
Programmes Tracking
Headquarters",707013710,"19,187,244",-,"207,000",-,1.1,∞,213,0
"General Administration
and Planning",701013710,"141,248,716",-,"25,102,000",-,17.8,∞,213,0
"Sub-total Public Service Management and
Administration",,"452,204,090","19,000,000","83,621,645",-,18.5,-,213,0
"Agriculture, Water and Irrigation",,,,,,,,213,0
Agriculture,102013710,"6,569,504","349,128,278",-,"57,625,486",-,16.5,213,0
Agriculture,103013710,"19,410,262","5,000,000","291,452",-,1.5,-,213,0
Agriculture,103023710,"46,153,098","39,657,290","205,818",-,0.4,-,213,0
Agriculture,104013710,"4,833,762","8,000,000",-,-,-,-,213,0
"General Administration
And Planning",101013710,"314,996,726",-,"73,968,380",-,23.5,∞,213,0
Water,101013710,"79,428,738",-,"18,716,331",-,23.6,∞,213,0
Water,111013710,"11,103,798","370,195,020",-,-,-,-,213,0
Water,111023710,"10,736,193","62,000,000",-,"13,051,035",-,21.1,213,0
"Sub-total Agriculture, Water and Irrigation",,"493,232,081","833,980,588","93,181,981","70,676,521",18.9,8.5,213,0
"Basic Education, ICT, and Youth Development",,,,,,,,213,0
Basic Education,502013710,"315,740,000","91,050,000","74,186,928",-,23.5,-,213,0
"General Administration
And Planning",501013710,"151,998,548",-,"41,690,121",-,27.4,∞,213,0
