Department,Program,Sub Programme,"FY 2022/23
Budget","Actual Expenditure
as of 30th September
2022","Absorption
Rate (%)",page_number,table_index
Governorship,"Programme 1: General ad-
ministration & planning","SP1. 1 General administra-
tion & planning","174,935,567","27,941,734",16.0%,263,0
Governorship Total,,,"174,935,567","27,941,734",15.97%,263,0
"Agriculture,
Livestock &
Fisheries","Programme 1: General ad-
ministration & planning","SP1. 1 General administra-
tion & planning","460,052,341","63,780,650",13.86%,263,0
,"Programme 2: Land, Crop de-
velopment & productivity","SP2. 1 Land, Crop develop-
ment & productivity","54,695,000","21,060,782",38.51%,263,0
,"Programme 3: Agribusiness
and information manage-
ment","SP3. 1 Agribusiness and in-
formation management","114,563,089",0,0.00%,263,0
,"Programme 4: Livestock Pro-
duction, Management and
Development","SP4. 1 Livestock Produc-
tion, Management and De-
velopment","57,920,000",0,0.00%,263,0
"Agriculture, Livestock & Fisheries Total",,,"687,230,429","84,841,432",12.35%,263,0
"County Attor-
ney","Programme 1: Legal & advi-
sory services","SP1. 1 Legal & advisory ser-
vices","13,993,375",0,0.00%,263,0
County Attorney Total,,,"13,993,375",0,0.00%,263,0
"County Public
Service Board","Programme 1: General Ad-
ministration and Planning","SP1.1: General Administra-
tion and Planning","117,906,168","4,731,498",4.01%,263,0
County Public Service Board Total,,,"117,906,168","4,731,498",4.01%,263,0
"County Secre-
tary","Programme 1: Leadership
and coordination of depart-
ments.","SP1. 1 Leadership and co-
ordination of departments.","450,702,037","41,735,153",9.26%,263,0
County Secretary Total,,,"450,702,037","41,735,153",9.26%,263,0
"Devolution &
Public Service","Programme 1: General ad-
ministration & planning","SP1. 1 General administra-
tion & planning","250,513,416","39,906,756",15.93%,263,0
,"Programme 2: Public Partici-
pation & Civic Education","SP2. 1: Public Participation
& Civic Education","44,487,500",0,0.00%,263,0
,"Programme 3: Information
and communication","SP3. 1 Information and
communication","11,037,500",0,0.00%,263,0
,"Programme 4: Enforcement
and compliance","SP4. 1 Enforcement and
compliance","40,537,500",0,0.00%,263,0
,"Programme 5: Youth Devel-
opment support & Empow-
erment",SP5. 1 Youth Development,"43,460,786",0,0.00%,263,0
Devolution & Public Service Total,,,"390,036,702","39,906,756",10.23%,263,0
"Education &
ICT","Programme 1: General ad-
ministration & planning","SP1. 1 General administra-
tion & planning","386,844,239","91,566,969",23.67%,264,0
,"Programme 2: Early child-
hood education","SP1. 1 Early childhood ed-
ucation","161,120,429",0,0.00%,264,0
,"Programme 3: Technical
training & non-formal edu-
cation","SP1. 1 Technical training &
non-formal education","97,818,929",0,0.00%,264,0
,"Programme 4: Support to ed-
ucation",SP1. 1 Support to education,"43,269,429",0,0.00%,264,0
,"Programme 5: ICT Infra-
structure & Systems Devel-
opment","SP5. 1 ICT Infrastructure &
Systems Development","29,569,429",0,0.00%,264,0
,"Programme 6: Sports Devel-
opment",SP6 1 Sports Development,"14,757,929",0,0.00%,264,0
Education & ICT Total,,,"733,380,385","91,566,969",12.49%,264,0
"Finance & So-
cio-Economic
Planning","Programme 1: General ad-
ministration & planning","SP1. 1 General administra-
tion & planning","1,194,045,828","101,944,658",8.54%,264,0
,"Programme 2: Public finan-
cial management",SP2.1 Accounting services,"13,200,000",0,0.00%,264,0
,,"SP2.2: Budget formulation,
coordination and manage-
ment","43,070,000",0,0.00%,264,0
,,"SP2.3: Internal audit ser-
vices","7,600,000",0,0.00%,264,0
,,"SP2.4: Resource mobiliza-
tion","43,800,000",0,0.00%,264,0
,,"SP2.5: Supply chain man-
agement services","7,120,000",0,0.00%,264,0
,,SP2.6: Economic planning,"45,710,000",0,0.00%,264,0
Finance & Socio-Economic Planning Total,,,"1,354,545,828","101,944,658",7.53%,264,0
"Gender & Social
Services","Programme 1: General ad-
ministration & planning","SP1. 1 General administra-
tion & planning","88,983,486","7,698,789",8.65%,264,0
,"Programme 2: Gender & So-
cial Development","SP2. 1: Gender & Social De-
velopment","38,290,872",0,0.00%,264,0
Gender & Social Services Total,,,"127,274,358","7,698,789",6.05%,264,0
Health,"Programme 1: General ad-
ministration & planning","SP1. 1 General administra-
tion & planning","2,754,778,197","538,569,143",19.55%,264,0
,"Programme 2: Curative
health care services","SP2. 1: Curative health care
services","437,250,000",0,0.00%,264,0
,"Programme 3: Preventive and
promotive health care ser-
vices","SP3. 1: Preventive and pro-
motive health care services","203,650,000",0,0.00%,264,0
Health Total,,,"3,395,678,197","538,569,143",15.86%,264,0
"Land, Physi-
cal Planning &
Mining","Programme 1: General ad-
ministration & planning","SP1. 1 General administra-
tion & planning","66,286,560","6,978,263",10.53%,264,0
,"Programme 2: : Land Survey
& Mapping","SP2. 1: Land Survey & Map-
ping","27,720,000",0,0.00%,264,0
,"Programme 3: Urban plan-
ning",SP3.1: Urban planning,"96,525,000",0,0.00%,264,0
,"Programme 4: Mining map-
ping & development","SP4.1: Mining mapping &
development","3,100,000",0,0.00%,264,0
,"Programme 5: Environment
management and protection","SP 5.1: Environment man-
agement and protection","93,950,300",0,0.00%,264,0
"Land, Physical Planning & Mining Total",,,"287,581,860","6,978,263",2.43%,264,0
