Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Ex-
penditure Q1
FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,381,1
Governance,Service Delivery Unit,"18,000,000","480,000","17,520,000",2.7,381,1
,"Governor's Office & Investment Promo-
tion","54,000,000","8,309,337","45,690,663",15.4,381,1
,Liaison and Intergovernmental Relations,"20,000,000","520,000","19,480,000",2.6,381,1
,Civic Education and Public Participation,"12,229,680","446,270","11,783,410",3.6,381,1
Sub Total,,"104,229,680","9,755,607","94,474,073",9.4,381,1
County Secretary,County Secretary-Administration,"77,000,000","6,607,064","70,392,936",8.6,381,1
,Cabinet Affairs,"1,970,000",-,"1,970,000",0.0,381,1
"Human Resource
Management","Payroll (Including Compensation to em-
ployees)","2,147,500,000","533,345,283","1,614,154,717",24.8,381,1
,"Human Resource Management (Includ-
ing employee gratuity, pension and med-
ical insurance)","194,000,000","75,125,950","118,874,050",38.7,381,1
Sub Total,,"2,420,470,000","615,078,297","1,805,391,703",25.4,381,1
County Attorney Services,legal and public affairs,"43,796,494","159,000","43,637,494",0.4,381,1
Sub Total,,"43,796,494","159,000","43,637,494",0.4,381,1
Public administration,Public Administration,"8,255,000","261,760","7,993,240",3.2,381,1
,sub-county and ward administration,"19,745,000","1,611,565","18,133,435",8.2,381,1
,Communication and Public Relations,"4,500,000",-,"4,500,000",0.0,381,1
,Enforcement and Compliance,"9,750,000","170,000","9,580,000",1.7,381,1
"ICT and E-government
Services",ICT and E-government Services,"12,700,000","160,000","12,540,000",1.3,381,1
Sub Total,,"54,950,000","2,203,325","52,746,675",4.0,381,1
,,A,B,C=A-B,D=B/A*100,382,0
County Public Service Board,County Public Service Board,"25,000,000","2,999,853","22,000,147",12.0,382,0
Sub Total,,"25,000,000","2,999,853","22,000,147",12.0,382,0
Public Finance Management,County Funds,"301,200,000","44,050,000","257,150,000",14.6,382,0
,treasury services,"14,689,315","1,978,778","12,710,537",13.5,382,0
,"Nyandarua County Trade Development
and Investment Authority (NCTDIA)","5,000,000",-,"5,000,000",0.0,382,0
,Financial reporting,"6,850,000","1,265,433","5,584,567",18.5,382,0
,"Revenue Collection and Administration
(Including automation)","21,460,000","1,718,690","19,741,310",8.0,382,0
,Revenue Enhancement and Monitoring,"16,540,000","1,414,221","15,125,779",8.6,382,0
,Supply Chain Management,"10,104,812","1,260,770","8,844,042",12.5,382,0
,Internal Audit and Risk Management,"9,000,000","436,280","8,563,720",4.8,382,0
,Internal Audit committee,"3,000,000","250,000","2,750,000",8.3,382,0
"Economic planning and
development",County Budgeting,"12,205,000",-,"12,205,000",0.0,382,0
,County Statistics and Data Bank,"8,743,300",-,"8,743,300",0.0,382,0
,Monitoring and Evaluation,"15,670,188",-,"15,670,188",0.0,382,0
,Economic Modelling and Research,"3,451,700",-,"3,451,700",0.0,382,0
,Economic Development Planning,"26,100,000",-,"26,100,000",0.0,382,0
Sub Total,,"454,014,315","52,374,172","401,640,143",11.5,382,0
"Preventive and Promotive
Services",Preventive and Promotive Services,"9,250,000","172,400","9,077,600",1.9,382,0
Curative Services,Curative Services,"250,452,000","53,791,757","196,660,243",21.5,382,0
,universal health care and grants,"191,381,098","12,668,506","178,712,592",6.6,382,0
"General administration,
planning and support services",Solid Waste and Cemeteries,"11,200,000","1,875,000","9,325,000",16.7,382,0
,Infrastructure and Equipment,"263,876,775","54,450,730","209,426,045",20.6,382,0
Sub total,,"726,159,873","122,958,393","603,201,480",16.9,382,0
Primary education,ECDE,"80,945,473","150,000","80,795,473",0.2,382,0
"Youth training and
development",Revitalization of youth polytechnics,"47,126,000","150,000","46,976,000",0.3,382,0
Culture,development and promotion of culture,"7,500,000",,"7,500,000",0.0,382,0
Arts & Theater,Arts & Theatres,"71,782,467","200,000","71,582,467",0.3,382,0
Sub Total,,"207,353,940","500,000","206,853,940",0.2,382,0
"Trade development and
promotion",Financial and Trade Services,"21,800,000","764,000","21,036,000",3.5,382,0
"Industrial development and
investment",Industrial and Enterprise Development,"118,597,585","615,000","117,982,585",0.5,382,0
,Weights & Measures,"1,500,000","110,000","1,390,000",7.3,382,0
"Cooperative development
and management",Cooperative advisory services,"3,140,000","310,000","2,830,000",9.9,382,0
,cooperative audit extension services,"18,060,000","331,840","17,728,160",1.8,382,0
