Programme,Sub Programme,Description,"Approved Bud-
get (Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",page_number,table_index
-,,Default - Non-Programmatic,-,-,-,347,1
,-,Default - Non-Programmatic,-,-,-,348,0
101000000,,Land Policy and Planning,"279,877,543","61,459,394","218,418,149",348,0
,101010000,"Development Planning and Land Re-
forms","279,877,543","61,459,394","218,418,149",348,0
102000000,,"Housing Development and Human
Settlement",-,-,-,348,0
,102010000,Housing Development,-,-,-,348,0
,102040000,,-,-,-,348,0
103000000,,,"521,573,337","25,000,000","496,573,337",348,0
,103020000,Building Standards and Research,"521,573,337","25,000,000","496,573,337",348,0
,103030000,,-,-,-,348,0
,103040000,,-,-,-,348,0
104000000,,,-,-,-,348,0
,104020000,,-,-,-,348,0
105000000,,"Urban and Metropolitan Develop-
ment",-,-,-,348,0
,105010000,Urban Mobility and Transport,-,-,-,348,0
106000000,,"General Administration Planning
and Support Services",-,-,-,348,0
,106010000,"Administration, Planning & Support
Services",-,-,-,348,0
,106020000,"Procurement, Warehousing and Sup-
ply",-,-,-,348,0
107000000,,"General Administration Planning
and Support Services","434,204,501",-,"434,204,501",348,0
,107010000,"Agricultural Policy, Legal and Regula-
tory Frameworks","434,204,501",-,"434,204,501",348,0
108000000,,Crop Development and Management,-,-,-,348,0
,108010000,Land and Crops Development,-,-,-,348,0
109000000,,"Agribusiness and Information Man-
agement",-,-,-,348,0
,109010000,Agribusiness and Market Development,-,-,-,348,0
110000000,,"Irrigation and Drainage Infrastruc-
ture","435,454,526",-,"435,454,526",348,0
,110010000,"Promotion of Irrigation and Drainage
Development and Management","435,454,526",-,"435,454,526",348,0
201000000,,"General Administration, Planning
and Support Services","251,324,518","26,261,718","225,062,800",348,0
,201010000,"General Administration, Planning and
Support Services","251,324,518","26,261,718","225,062,800",348,0
202000000,,Road Transport,"362,033,464",-,"362,033,464",348,0
,202010000,Construction of Roads and Bridges,-,-,-,348,0
,202020000,Rehabilitation of Roads,"362,033,464",-,"362,033,464",348,0
,202030000,Maintenance of Roads,-,-,-,348,0
,202040000,Design of Roads and Bridges,-,-,-,348,0
203000000,,Rail Transport,-,-,-,348,0
,203010000,Rail Transport,-,-,-,348,0
301000000,,"General Administration Planning
and Support Services","253,810,623","30,580,673","223,229,950",348,0
,301010000,,"253,810,623","30,580,673","223,229,950",349,0
302000000,,"Industrial Development and Invest-
ments","85,470,383",-,"85,470,383",349,0
,302010000,"Promotion of Industrial Development
and Investments","85,470,383",-,"85,470,383",349,0
303000000,,Standards and Business Incubation,-,-,-,349,0
,303010000,"Standardisation, Metrology and con-
formity assessment",-,-,-,349,0
,303020000,"Business financing & incubation for
MSMEs",-,-,-,349,0
304000000,,"Cooperative Development and Man-
agement",-,-,-,349,0
,304010000,Governance and Accountability,-,-,-,349,0
305000000,,"East African Affairs and Regional In-
tegration",-,-,-,349,0
,305010000,East African Customs Union,-,-,-,349,0
,305020000,East African Common Market,-,-,-,349,0
,305030000,EAC Monetary Union,-,-,-,349,0
306000000,,"Tourism Development and Promo-
tion","9,272,000",-,"9,272,000",349,0
,306010000,Tourism Promotion and Marketing,-,-,-,349,0
,306020000,"Niche tourism product development
and diversification","9,272,000",-,"9,272,000",349,0
307000000,,Trade Development and Promotion,-,-,-,349,0
,307010000,Domestic Trade Development,-,-,-,349,0
,307020000,Fair Trade and Consumer Protection,-,-,-,349,0
401000000,,"Preventive & Promotive Health Ser-
vices","2,899,637,295","760,334,101","2,139,303,194",349,0
,401010000,Communicable Disease Control,"2,899,637,295","760,334,101","2,139,303,194",349,0
402000000,,Curative Health Services,-,-,-,349,0
,402010000,National Referral Services,-,-,-,349,0
403000000,,Health Research and Development,-,-,-,349,0
,403010000,Capacity Building & Training,-,-,-,349,0
,403020000,Research & Innovations,-,-,-,349,0
404000000,,"General Administration, Planning &
Support Services",-,-,-,349,0
,404010000,"Health Policy, Planning & Financing",-,-,-,349,0
,404020000,"Health Standards, Quality Assurance
& Standards",-,-,-,349,0
,404030000,National Quality Control Laboratories,-,-,-,349,0
405000000,,Maternal and Child Health,-,-,-,349,0
,405010000,Family planning services,-,-,-,349,0
,405030000,Immunisation,-,-,-,349,0
501000000,,Primary Education,"463,373,616","155,068,291","308,305,325",349,0
,501010000,Free Primary Education,"463,373,616","155,068,291","308,305,325",349,0
502000000,,Secondary Education,"197,693,002",-,"197,693,002",349,0
,502010000,"Secondary Bursary Management Ser-
vices","197,693,002",-,"197,693,002",349,0
,502020000,Free Day Secondary Education,-,-,-,350,0
,502030000,"Secondary Teachers Education Ser-
vices",-,-,-,350,0
503000000,,Quality Assurance and Standards,-,-,-,350,0
,503010000,Curriculum Development,-,-,-,350,0
701000000,,"General Administration Planning
and Support Services","1,128,339,610","176,553,307","951,786,303",350,0
,701020000,,"1,128,339,610","176,553,307","951,786,303",350,0
702000000,,Cabinet Affairs,-,-,-,350,0
,702010000,,-,-,-,350,0
703000000,,Government Advisory Services,-,-,-,350,0
,703010000,State Corporations Advisory Services,-,-,-,350,0
,703020000,Kenya-South Sudan Advisory Services,-,-,-,350,0
704000000,,State House Affairs,-,-,-,350,0
