Programme,"Sub- Pro-
gramme",Approved Estimates (Kshs),col_3,Actual Payments (Kshs),col_5,Absorption Rate (%),col_7,page_number,table_index
,"Internation-
al Tourism
Promotion and
Marketing","310,000.00",-,-,,0.0,0.0,183,0
,"Promotion
of Industrial
Development","1,268,500.00",-,-,,0.0,0.0,183,0
,"Provision of
Industrial
Training","140,000.00",-,-,,0.0,0.0,183,0
"Cooperative
Development
and Marketing","General Ad-
ministration &
Planning",-,"5,666,667.00",-,,0.0,0.0,183,0
,"Cooperative
Advisory and
Extension
Services","295,000.00",-,-,,0.0,0.0,183,0
,"Cooperative
Education and
Training","542,000.00",-,-,,0.0,0.0,183,0
,"Cooperative
Governance
and Account-
ability","159,000.00",-,-,,0.0,0.0,183,0
"Cooperative
Audit Services","Inspections and
Investigations
for Coopera-
tives","70,000.00",-,-,,0.0,0.0,183,0
Sub Total,,"42,839,441","5,666,667","8,287,146",-,19.3,0.0,183,0
"Water Supply
Services","Water and
Irrigation",-,"35,200,000.00",-,,0.0,0.0,183,0
"Energy
Programme",Energy Services,"405,000.00",-,-,,0.0,0.0,183,0
"Cleaning
and Waste
Management","Environment
Management
and Protection","675,800.00",-,-,,0.0,0.0,183,0
Nema,"Waste Manage-
ment Services","107,408,439",-,"22,214,577",,20.7,0.0,183,0
Sub Total,,"108,489,239","35,200,000","22,214,577",-,20.5,0.0,183,0
"Land and Physi-
cal Planning","General Ad-
ministration
and Planning","29,853,028.00",-,"10,425,549",,34.9,0.0,183,0
,"County Spatial
Planning","3,190,000.00",-,-,,0.0,0.0,183,0
,"Town Zoning
and Mapping",-,"18,333,333.00",-,,0.0,0.0,183,0
,"Survey and
Mapping","505,000.00",-,-,,0.0,0.0,183,0
