Programme,Sub-Programme,"Approved
Estimates FY
2022/23 (Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
County Attorney,,,,,,293,0
,,A,B,C=A-B,D=B/A*100,294,0
"Management and
administration",General administration,"53,000,000",-,"53,000,000",-,294,0
,Finance,"50,000,000",-,"50,000,000",-,294,0
,"Statistics, research, information man-
agement and public relations","2,900,000",-,"2,900,000",-,294,0
Law administration,Law report and reviews,"17,000,000",-,"17,000,000",-,294,0
,Promotion of rule of law,"1,000,000",-,"1,000,000",-,294,0
,Legal aid,"1,000,000",-,"1,000,000",-,294,0
Legal education,Professional and career development,"2,600,000",-,"2,600,000",-,294,0
Pending bills,Pending bills,"35,000,000",-,"35,000,000",-,294,0
sub total,,"162,500,000",-,"162,500,000",-,294,0
County Executive,,,,,,294,0
"Enhanced Manage-
ment, Coordination
& Supervision.",Peace Building Initiatives,"1,857,500","1,030,000","827,500",55,294,0
"Governance and
Executive Manage-
ment",Citizen Delivery Services,"74,637,247","10,802,250","63,834,997",14,294,0
,"Governance and Executive manage-
ment","48,146,000","5,973,677","42,172,323",12,294,0
"General Adminis-
tration",Strategy and advisory,"9,193,500","1,868,270","7,325,230",20,294,0
,General Administration,"126,227,247","3,673,300","122,553,947",3,294,0
Sub total,,"260,061,494","23,347,497","236,713,997",9,294,0
"Education, Gender, Sports, Youth Development and Culture",,,,,,294,0
"General adminis-
tration",General administration,"561,241,209","57,355,199","503,886,010",10,294,0
,Education Support Services,"3,000,000",-,"3,000,000",-,294,0
,"Construction of Cultural Central and
Cultural Activities","4,500,000",-,"4,500,000",-,294,0
,"Youth Enterprise Training and
Agri-Business Project","8,000,000",-,"8,000,000",-,294,0
,Vocational Training Services,"2,000,000",-,"2,000,000",-,294,0
ECDE Services,ECDE Services,"6,500,000",-,"6,500,000",-,294,0
,Child Care Services,"43,000,000",-,"43,000,000",-,294,0
"Sports and Talent
Development",Sports Development,"47,500,000",-,"47,500,000",-,294,0
"Culture Develop-
ment Promotion
and Arts",Culture and Heritage Conservation,"4,500,000",-,"4,500,000",-,294,0
Education Support,Education Support,"5,000,000",-,"5,000,000",-,294,0
,Bursaries,"100,000,000",-,"100,000,000",-,294,0
"Gender and Equali-
ty Services",Women Empowerment,"4,975,000",-,"4,975,000",-,294,0
,People with Disability Empowerment,"5,000,000",-,"5,000,000",-,294,0
External Funding,Conditional Grants,"18,219,947",-,"18,219,947",-,294,0
Sub total,,"813,436,156","57,355,199","756,080,957",7,294,0
"Environment, Natural Resource and Disaster Management",,,,,,294,0
"Solid Waste Man-
agement",Solid Waste Management,"13,150,000","2,241,455","10,908,545",17,294,0
,,A,B,C=A-B,D=B/A*100,295,0
"Forestry Conserva-
tion and Develop-
ment","Forestry Conservation and Develop-
ment","2,200,000",-,"2,200,000",-,295,0
"Disaster Manage-
ment Services",Disaster Management Services,"6,558,510","3,202,850","3,355,660",49,295,0
"General Admin-
istration Support
Services","General Administration Support Ser-
vices","81,028,526","3,505,120","77,523,406",4,295,0
Sub total,,"102,937,035","8,949,425","93,987,610",9,295,0
Finance and Economic Planning,,,,,,295,0
"General Adminis-
tration",General Administration (Planning),"554,826,556","43,639,120","511,187,435",8,295,0
"Financial manage-
ment services",Resource mobilization,"13,476,574","3,451,941","10,024,633",26,295,0
,Accounting Services,"56,518,177","19,679,823","36,838,354",35,295,0
,Procurement Services,"7,846,285","2,551,226","5,295,059",33,295,0
,Audit Services,"5,170,000","2,077,440","3,092,560",40,295,0
"Economic policy
and county plan-
ning",Budget Coordination and Management,"2,137,500","489,600","1,647,900",23,295,0
,Policy and Plans Development,"72,705,604","20,080,090","52,625,514",28,295,0
,Community Development,"1,468,353","469,900","998,453",32,295,0
Sub total,,"714,149,048","92,439,141","621,709,907",13,295,0
Health-Medical services,,,,,,295,0
"General adminis-
tration",General administration,"492,000",-,"492,000",-,295,0
,"Infrastructure and Health facility man-
agement","53,291,500",-,"53,291,500",-,295,0
,Purchase of Non-pharmaceuticals,"117,368,919",-,"117,368,919",-,295,0
,General administration,"1,607,845,948","350,481,243","1,257,364,705",22,295,0
,"Health standards, quality assurance and
standards","1,836,000",-,"1,836,000",-,295,0
,"Human Resource Management & de-
velopment","3,525,000",-,"3,525,000",-,295,0
External Funding,Conditional Grants,"76,648,936",-,"76,648,936",-,295,0
"Maternal Health
Services",Maternal Health Services,"1,256,000",-,"1,256,000",-,295,0
"Preventive, promo-
tive Health services
and Disease
Control",Human Nutrition and Dietetics,"1,025,000",-,"1,025,000",-,295,0
,Malaria,"1,115,000",-,"1,115,000",-,295,0
,HIV/AIDS and TB,"1,585,000",-,"1,585,000",-,295,0
,"Disease surveillance /Emergency pre-
paredness& response","10,145,000","445,500","9,699,500",4,295,0
,Health promotion & education,"775,000","144,883","630,117",19,295,0
,"Non-Communicable Diseases, Violence
and Injuries","6,760,000","1,987,690","4,772,310",29,295,0
"Curative, Rehabili-
tative and Referral
services",Hospital Services,"3,065,200","533,745","2,531,455",17,295,0
Sub total,,"1,886,734,503","353,593,061","1,533,141,442",19,295,0
Health - Public health,,,,,,295,0
,,A,B,C=A-B,D=B/A*100,296,0
"Planning and
administrative
support services",Health management informative system,"17,615,750",-,"17,615,750",-,296,0
,Administrative and support services,"48,724,000",-,"48,724,000",-,296,0
,"Standards, quality assurance & regula-
tions","34,659,000",-,"34,659,000",-,296,0
,"Human resource management & devel-
opment","74,447,818",-,"74,447,818",-,296,0
"Preventive and
promotive health
services",Community health services,"5,520,000",-,"5,520,000",-,296,0
,"Sanitation and environmental health
services","4,428,000",-,"4,428,000",-,296,0
,Human nutrition and dietetics,"2,688,000",-,"2,688,000",-,296,0
,HIV and AIDS management,"3,300,000",-,"3,300,000",-,296,0
,Disease surveillance,"3,208,000",-,"3,208,000",-,296,0
,Emergency preparedness and response,"4,500,000",-,"4,500,000",-,296,0
,Health promotion,"2,350,000",-,"2,350,000",-,296,0
,Family& reproductive health,"3,143,000",-,"3,143,000",-,296,0
,Non-communicable diseases (NCDs),"4,478,000",-,"4,478,000",-,296,0
,"Maternal child and adolescence health
services","11,388,000",,"11,388,000",-,296,0
External funding,Donor funds,"19,438,750",,"19,438,750",-,296,0
LINDA MAMA,"Health Centres and dispensaries Linda
Mama reimbursement (140 facilities)","13,760,000",-,"13,760,000",-,296,0
,"Hospital Linda Mama reimbursement
(14 hospitals)","26,500,000",-,"26,500,000",-,296,0
"Curative, rehabili-
tative and referral
services","Pharmaceutical and non-pharmaceuti-
cal commodities","151,437,385",-,"151,437,385",-,296,0
,Emergency and referral services,"5,556,000",-,"5,556,000",-,296,0
,Malaria Control,"3,520,000",-,"3,520,000",-,296,0
,Tuberculosis Control,"2,180,000",-,"2,180,000",-,296,0
"Improvement of
Health Infrastruc-
ture at Dispensary
and Health Centre
- Public","Improvement of Health Infrastructure
at Dispensary and Health Centre - Pub-
lic","105,050,000",-,"105,050,000",-,296,0
External Funding,"THS Transforming Health systems Do-
nor Grant","48,944,473",-,"48,944,473",-,296,0
Sub total,,"596,836,176",-,"596,836,176",-,296,0
"Lands, Housing and Physical Planning",,,,,,296,0
"Land development
services",Survey Services,"29,300,000",-,"29,300,000",-,296,0
"General adminis-
tration",General administration,"324,019,287","13,271,751","310,747,536",4,296,0
,Donor Fund,"141,635,618",-,"141,635,618",-,296,0
sub total,,"494,954,905","13,271,751","481,683,154",3,296,0
Public Service Management,,,,,,296,0
"General adminis-
tration",Infrastructure Development Services,"8,950,000",-,"8,950,000",-,296,0
,General administration,"814,161,959","144,072,136","670,089,822",18,296,0
ICT Infrastructure,ICT Infrastructure,"5,000,000",-,"5,000,000",-,296,0
,,A,B,C=A-B,D=B/A*100,297,0
"Enhanced Manage-
ment, Coordination
& Supervision.","Enhanced Management, Coordination
& Supervision.","1,530,000","721,500","808,500",47,297,0
"Information
Communication
Services",Information Communication Services,"850,000",-,"850,000",-,297,0
Personnel Services,Personnel Services,"2,300,277","482,900","1,817,377",21,297,0
,Human Resource Management,"950,000",-,"950,000",-,297,0
"Sub County
Administration
Services",Devolved Units Development Services,"3,020,000","360,250","2,659,750",12,297,0
"Budget Formula-
tion coordination
and Management","Budget Formulation coordination and
Management","12,765,420","2,954,783","9,810,637",23,297,0
Sub total,,"849,527,655","148,591,569","700,936,086",17,297,0
"Roads, Transport and Public Works",,,,,,297,0
"Road management
services",Construction of Bridges and Culverts,"75,000,000",-,"75,000,000",-,297,0
,Road management services,"362,350,932",-,"362,350,932",0,297,0
,Urban and Town Road Development,"10,000,000",-,"10,000,000",-,297,0
"General adminis-
tration",General administration,"545,445,426","13,266,057","532,179,369",2,297,0
Sub total,,"992,796,358","13,266,057","979,530,301",1,297,0
Trade Tourism and Cooperative Development,,,,,,297,0
"Commerce and
tourism develop-
ment",Tourism Promotion and Marketing,"2,000,000",-,"2,000,000",-,297,0
,Cooperative Development Services,"1,500,000",-,"1,500,000",-,297,0
,Industrial and Enterprise Development,"500,000",-,"500,000",-,297,0
,"Trade Infrastructure Development Ser-
vices","36,125,531",-,"36,125,531",-,297,0
,"Cooperative Audit Services, Inspection
and Risk Assessment","390,000",-,"390,000",-,297,0
,Cooperative Development Services,"1,000,000",-,"1,000,000",-,297,0
"General
administration",General administration,"131,432,385","16,726,734","114,705,650",13,297,0
,Verification,"750,000",-,"750,000",-,297,0
,Mapping of Liquor Outlets,"1,250,000",-,"1,250,000",-,297,0
Sub total,,"174,947,915","16,726,734","158,221,181",10,297,0
Water And Energy,,,,,,297,0
"Water Supply
and Management
Services",Rural Water Services,"339,601,838",-,"339,601,838",-,297,0
,Urban Water Supply & Management,"19,123,658","8,983,057","10,140,602",47,297,0
"Alternative
Energy Services",Alternative Energy Technologies,"51,998,780","200,000","51,798,780",0.3,297,0
,Conventional Power Services,"2,500,000","1,024,078","1,475,922",41,297,0
Sub total,,"413,224,276","10,207,135","403,017,141",2,297,0
Grand total,,"8,972,982,928","818,814,624","8,154,168,304",9,297,0
