Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expenditure
Q1 FY 2022/23
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,170,0
"County Assem-
bly",Legislation,"397,707,096","137,301,602",,35,170,0
,Oversight,"27,050,000",,,0,170,0
,Administration,"475,242,904",,,0,170,0
,Development,"150,000,000",,,0,170,0
,Sub Totals,"1,050,000,000","137,301,602",-,13,170,0
"Office of the
Governor",Intergovernmental relations,"138,570,685",-,"138,570,685",0,170,0
,"Administration, planning and
support services","26,300,000","1,787,500","32,855,170",7,170,0
,Sub Totals,"164,870,685","1,787,500","171,425,855",1,170,0
"County
Attorney","Administration Planning and
Support Services","121,432,340",,,0,170,0
,Development,"35,000,000",,,0,170,0
,Sub Totals,"156,432,340",-,-,0,170,0
Finance,"Administration, Planning and
Support Services","196,500,000",,,0,170,0
,Financial Management,"20,712,337",,,0,170,0
,Audit Services,"11,100,000",,,0,170,0
,Accounting Services,"19,847,401",,,0,170,0
,"Supply Chain Management
Services","17,100,000",,,0,170,0
,"Resource Mobilisation/Debt
Management","25,565,000",,,0,170,0
,Development,"25,781,690",,,0,170,0
,Sub Totals,"316,606,428",-,-,0,170,0
"Economic
Planning",Administration,"10,500,000",,,0,170,0
,Economic Planning,"48,250,000",,,,170,0
,Monitoring & Evaluation,"29,706,784",,,0,170,0
,Sub Totals,"88,456,784",-,-,0,170,0
Agriculture,"General Administration, Plan-
ning and Support Services","21,431,200",,,0,170,0
,"Crop Production and Manage-
ment","21,404,866",,,0,170,0
,"Agribusiness and Information
Management","30,872,960",,,0,170,0
,"Irrigation and Drainage Infra-
structure","3,813,624",,,0,170,0
,,A,B,C=A-B,D=B/A*100,171,0
,"Sustainable soil and Water man-
agement","433,114,044",,,0,171,0
,Sub Totals,"510,636,694",-,-,0,171,0
Livestock,"Administration, Planning and
Support services","27,290,735",,,0,171,0
,"Livestock Policy and Capacity
Development","7,000,000",,,0,171,0
,"Livestock Value Addition and
Marketing","18,000,000",,,0,171,0
,"Food Safety and Animal Prod-
ucts Development","11,284,184",,,0,171,0
,"Livestock Disease Management
and Control","4,000,000",,,0,171,0
,Sub Totals,"67,574,919",-,-,0,171,0
Fishers,Administration,"24,484,854",,,0,171,0
,Fisheries Production,"20,358,869",,,0,171,0
,"Sustainable Fisheries Production
and Development","102,500,000",,,0,171,0
,Sub Totals,"147,343,723",-,-,0,171,0
Water,"General Administration, Plan-
ning and Support Services","64,956,854",,,0,171,0
,Water Supply Infrastructure,"2,637,310,195",,,0,171,0
,Sub Totals,"2,702,267,049",-,-,0,171,0
Enviroment,"County Environment Manage-
ment","57,428,675",,,0,171,0
,Development,"156,598,295",,,0,171,0
,Sub Totals,"214,026,970",-,-,0,171,0
Education,"General administration, planning
and support services","414,550,000",,,0,171,0
,"Early Childhood development
education","3,900,000",,,0,171,0
,Vocational Training,"3,315,287",,,0,171,0
,Education and training,"445,764,202",,,0,171,0
,Sub Totals,"867,529,489",-,-,0,171,0
ICT,"Information Communication
Technology","25,456,672",,,0,171,0
,Sub Totals,"25,456,672",-,-,0,171,0
Health,"Curative and Rehabilitative
Services","696,370,000",,,0,171,0
,General Administration,"450,199,826",,,0,171,0
,"Reproductive Maternal Neonatal
Child Adolescent Health","637,599,129",,,0,171,0
,Sub Totals,"1,784,168,955",-,-,0,171,0
Public Health,Communicable Disease Control,"191,205,527",,,0,171,0
,Sub Totals,"191,205,527",-,-,0,171,0
