Programme,Sub-Programme,"Approved Esti-
mates FY 2022/23
(Kshs.)","Actual Expend-
iture Q1 FY
2022/23 (Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index,"Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)"
,,A,B,C=A-B,D=B/A*100,76,0,,,
Grand Total,,"8,118,458,146","951,200,449","7,167,257,697",11.7,76,0,,,
,,A,,,,81,1,B,C=A-B,D=B/A*100
Agriculture and Irrigation,,,,,,81,1,,,
General administration and support services,,"99,199,387",,,,81,1,"18,374,041","80,825,346",19
,"General administration and support
services","99,199,387",,,,81,1,"18,374,041","80,825,346",19
Crop Development,,"38,839,119",,,,81,1,0,"38,839,119",0
,Cash Crops Development,"28,814,119",,,,81,1,0,"28,814,119",0
,"Agricultural Extension and Training
Services","10,025,000",,,,81,1,0,"10,025,000",0
Irrigation Development,,"47,800,000",,,,81,1,0,"47,800,000",0
,Irrigation Development,"47,800,000",,,,81,1,0,"47,800,000",0
"Livestock, Veterinary and Fisheries",,,,,,81,1,,,
General administration and support services,,"94,216,098",,,,81,1,"18,332,683","75,883,415",19
,"General administration and support
services","94,216,098",,,,81,1,"18,332,683","75,883,415",19
Livestock Development,,"29,896,927",,,,81,1,0,"29,896,927",0
,Livestock Production,"29,471,927",,,,81,1,0,"29,471,927",0
,"Livestock Extension and Training Ser-
vices","425,000",,,,81,1,0,"425,000",0
Cooperative Development,,"12,012,571",,,,81,1,0,"12,012,571",0
,,A,,,,82,0,B,C=A-B,D=B/A*100
,Cooperatives development,"12,012,571",,,,82,0,0,"12,012,571",0
Veterinary Services,,"30,020,389",,,,82,0,0,"30,020,389",0
,Disease Surveillance and Control,"26,320,389",,,,82,0,0,"26,320,389",0
,A I Services,"3,700,000",,,,82,0,0,"3,700,000",0
Trade and Tourism,,,,,,82,0,,,
General administration and support services,,"37,975,644",,,,82,0,"7,760,275","30,215,369",20
,"General administration and support
services","37,975,644",,,,82,0,"7,760,275","30,215,369",20
Tourism Development,,"2,000,000",,,,82,0,0,"2,000,000",0
,Tourism Development,"2,000,000",,,,82,0,0,"2,000,000",0
Trade and Enterprise Development,,"3,550,000",,,,82,0,0,"3,550,000",0
,Trade and enterprise development,"3,550,000",,,,82,0,0,"3,550,000",0
Culture and Heritage Preservation,,"3,300,000",,,,82,0,0,"3,300,000",0
,Culture and Heritage Preservation,"3,300,000",,,,82,0,0,"3,300,000",0
"Roads, Public Works and Transport",,,,,,82,0,,,
General administration and support services,,"103,432,092",,,,82,0,"19,031,317","84,400,775",18
,"General administration and support
services","103,432,092",,,,82,0,"19,031,317","84,400,775",18
Road Improvement,,"338,994,954",,,,82,0,0,"338,994,954",0
,Rural road Works,"338,994,954",,,,82,0,0,"338,994,954",0
Public works,,"3,870,000",,,,82,0,0,"3,870,000",0
,Public Works,"3,870,000",,,,82,0,0,"3,870,000",0
Energy,,"12,298,408",,,,82,0,"869,405","11,429,003",7
,Energy,"12,298,408",,,,82,0,"869,405","11,429,003",7
"Sports, Youth and Gender Affairs",,,,,,82,0,,,
General administration and support services,,"43,936,817",,,,82,0,"8,424,213","35,512,605",19
,"General administration and support
services","43,936,817",,,,82,0,"8,424,213","35,512,605",19
Sports Development,,"30,915,000",,,,82,0,0,"30,915,000",0
,Sports Infrastructure Development,"20,365,000",,,,82,0,0,"20,365,000",0
,Sports Talent Development,"10,550,000",,,,82,0,0,"10,550,000",0
Social Empowerment,,"34,500,000",,,,82,0,0,"34,500,000",0
,Social Empowerment,"34,500,000",,,,82,0,0,"34,500,000",0
Social Protection.,,"4,620,000",,,,82,0,0,"4,620,000",0
,Social Protection,"4,620,000",,,,82,0,0,"4,620,000",0
ICT Services,,"465,000",,,,82,0,0,"465,000",0
,ICT Services,"465,000",,,,82,0,0,"465,000",0
Education and Technical Training,,,,,,82,0,,,
General administration and support services,,"225,275,804",,,,82,0,"43,814,112","181,461,692",19
,"General administration and support
services","225,275,804",,,,82,0,"43,814,112","181,461,692",19
,,A,,,,83,0,B,C=A-B,D=B/A*100
"Technical and Vocational Education and Training
(TVET)",,"54,994,455",,,,83,0,0,"54,994,455",0
,"Technical Vocational Education &
Training","54,994,455",,,,83,0,0,"54,994,455",0
Pre-Primary Education,,"108,945,155",,,,83,0,0,"108,945,155",0
,Pre-Primary Education,"108,945,155",,,,83,0,0,"108,945,155",0
County Public Service Board,,,,,,83,0,,,
