Programme,Sub-Programme,"Approved Estimates
FY 2022/23 (Kshs.)","Actual Expen-
diture Q1 FY
2022/23 (Kshs.)",Variance (Kshs.),"Absorption
Rate (%s)",page_number,table_index
,"Business Support and
Consumer Protection","1,500,000",0,"1,500,000",0.0,493,0
Tourism Development,"Tourism Promotion and
Branding","1,000,000",0,"1,000,000",0.0,493,0
,,"1,000,000",0,"1,000,000",0.0,493,0
,,A,B,C=A-B,D=B/A*100,494,0
"Administration, Planning and
Support Services",Administrative Service,"765,869,127","404,251,716","361,617,411",52.8,494,0
,,"187,826,911","7,926,956","179,899,955",4.2,494,0
,"Human Resource
Management and
Development","571,177,216","396,146,760","175,030,456",69.4,494,0
,Healthcare Financing,"6,865,000","178,000","6,687,000",2.6,494,0
"Promotive and Preventive
Healthcare Services",,"4,670,000",0,"4,670,000",0.0,494,0
,Public Health Services,"2,060,000",0,"2,060,000",0.0,494,0
,"Community Health
Strategy","1,000,000",0,"1,000,000",0.0,494,0
,Health Promotion,"250,000",0,"250,000",0.0,494,0
,"Reproductive Health-
care","1,350,000",0,"1,350,000",0.0,494,0
,"Disease Surveillance
and Emergency","10,000",0,"10,000",0.0,494,0
"Curative and Rehabilitative
Health Services",,"29,650,000",0,"29,650,000",0.0,494,0
,Medical services,"29,400,000",0,"29,400,000",0.0,494,0
,County referral services,"250,000",0,"250,000",0.0,494,0
Child and Maternal Health Care,,"8,060,000","995,000","7,065,000",12.3,494,0
,"Antenatal and Post Na-
tal healthcare","1,300,000",0,"1,300,000",0.0,494,0
,"Antenatal and Post Na-
tal Healthcare","5,260,000","995,000","4,265,000",18.9,494,0
,"Newborn, Child and
Adolescent Health","250,000",0,"250,000",0.0,494,0
,Nutrition Services,"1,250,000",0,"1,250,000",0.0,494,0
"Administration, Planning and
Support Service",,"85,065,873","3,830,210","81,235,663",4.5,494,0
,Administrative Service,"85,065,873","3,830,210","81,235,663",4.5,494,0
"Vocational Education and
Training",,"72,797,046","593,100","72,203,946",0.8,494,0
,"Youth Polytechnic De-
velopment","72,797,046","593,100","72,203,946",0.8,494,0
Early Childhood Development,,"125,907,607","31,441,289","94,466,318",25.0,494,0
,ECD Development,"125,907,607","31,441,289","94,466,318",25.0,494,0
"Administration, Planning and
Support of Service",,"583,472,878","240,749,141","342,723,737",41.3,494,0
,Administrative Service,"564,930,541","239,907,986","325,022,555",42.5,494,0
,County Administration,"7,273,767","841,155","6,432,612",11.6,494,0
,"County Radio Informa-
tion Services","11,268,570",0,"11,268,570",0.0,494,0
"Coordination of Policy
Formulation Implementation
of Vision 2030",,"2,500,000",0,"2,500,000",0.0,494,0
,"Emergency & Disaster
Fund","2,500,000",0,"2,500,000",0.0,494,0
,,A,B,C=A-B,D=B/A*100,495,0
Public Finance Management,,"61,658,750","3,488,620","58,170,130",5.7,495,0
,"Public Finance Manage-
ment","45,376,250","135,200","45,241,050",0.3,495,0
,Accounting Services,"1,400,000",0,"1,400,000",0.0,495,0
,Audit Services,"4,022,500","1,222,000","2,800,500",30.4,495,0
,"Budget Formulation
Coordination","3,650,000","833,000","2,817,000",22.8,495,0
,Resource Mobilization,"2,105,000","459,500","1,645,500",21.8,495,0
,"Budget Expenditure
Management","5,105,000","838,920","4,266,080",16.4,495,0
County Planning Services,,"5,825,000",0,"5,825,000",0.0,495,0
,"Monitoring and Evalu-
ation","2,275,000",0,"2,275,000",0.0,495,0
,"Coordination of Policy
Formulation and Plans","3,550,000",0,"3,550,000",0.0,495,0
"Management and Administration
of County Services",,"36,738,052","2,438,730","34,299,322",6.6,495,0
,County Executive,"17,053,052","2,288,730","14,764,322",13.4,495,0
,County Secretary,"11,335,000","150,000","11,185,000",1.3,495,0
,Legal Services,"8,350,000",0,"8,350,000",0.0,495,0
"Administration, Planning and
Support Service",,"28,056,852","2,131,241","25,925,611",7.6,495,0
,Administrative Service,"28,056,852","2,131,241","25,925,611",7.6,495,0
Promotion of Sports,,"40,800,000",0,"40,800,000",0.0,495,0
,Promotion of Sports,"28,075,000",0,"28,075,000",0.0,495,0
,"Promotion of Culture
and Heritage","12,725,000",0,"12,725,000",0.0,495,0
Social Protection,,"5,400,000","239,000","5,161,000",4.4,495,0
,Social Protection,"2,750,000",0,"2,750,000",0.0,495,0
,"Gender, Children,
Youth and People with
Disability","2,650,000","239,000","2,411,000",9.0,495,0
"Administration, Planning and
Support Service",,"77,941,969","16,373,708","61,568,261",21.0,495,0
,Administrative Service,"77,941,969","16,373,708","61,568,261",21.0,495,0
,,"50,832,500","260,000","50,572,500",0.5,495,0
Water Supply Management,"Water Supply Manage-
ment","30,520,000","120,000","30,400,000",0.4,495,0
,"Waste Water Manage-
ment","20,312,500","140,000","20,172,500",0.7,495,0
"Environmental Protection and
Conservation",,"7,397,500",0,"7,397,500",0.0,495,0
,"Environmental Protec-
tion and Conservation","7,397,500",0,"7,397,500",0.0,495,0
1005004860,,"14,370,000",0,"14,370,000",0.0,495,0
,"Farm Forest Manage-
ment","5,072,500",0,"5,072,500",0.0,495,0
,"Natural Resources man-
agement","9,297,500",0,"9,297,500",0.0,495,0
,Grand Total,"2,744,595,739","899,711,331","1,844,884,408",32.8,495,0
