Head,Program,Description,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
,501004610,"General Administra-
tion and policy formu-
lation",0,0,0,0.0%,362,0
,502004610,"Manpower Develop-
ment, Employment
and Productivity Man-
agement","1,162,448,893.00","349,151,813.60","813,297,079.40",30.0%,362,0
4615000200,,"Gender and Youth Af-
fairs","145,110,830.00","176,000.00","144,934,830.00",0.1%,362,0
,901004610,"Social Development
and Children Services","145,110,830.00","176,000.00","144,934,830.00",0.1%,362,0
4615000300,,"Vocational Education
and Training","114,374,448.00","1,167,000.00","113,207,448.00",1.0%,362,0
,901004610,"Social Development
and Children Services","114,374,448.00","1,167,000.00","113,207,448.00",1.0%,362,0
4615000400,,Sports,0,0,0,0.0%,362,0
,901004610,"Social Development
and Children Services",0,0,0,0.0%,362,0
4615000500,,"Arts, Culture and Her-
itage","19,852,699.00","200,000.00","19,652,699.00",1.0%,362,0
,901004610,"Social Development
and Children Services","19,852,699.00","200,000.00","19,652,699.00",1.0%,362,0
4615000600,,"Social services and
Recreation","21,803,130.00",0,"21,803,130.00",0.0%,362,0
,901004610,"Social Development
and Children Services","21,803,130.00",0,"21,803,130.00",0.0%,362,0
4616000100,,"Environment protec-
tion, Energy, Water &
Natural Resources","652,450,000.00","2,374,540.00","650,075,460.00",0.4%,362,0
,1002004610,"Environment Manage-
ment and Protection","652,450,000.00","2,374,540.00","650,075,460.00",0.4%,362,0
,1001004610,,0,0,0,0.0%,362,0
4617000100,,"County Public Service
Board","95,580,000.00","7,855,900.00","87,724,100.00",8.2%,362,0
,907004610,,0,0,0,0.0%,362,0
,701004610,"General Administra-
tion, Planning and
Support Services","95,580,000.00","7,855,900.00","87,724,100.00",8.2%,363,0
4618000100,,Crop Production,"524,843,912.00","45,190,824.55","479,653,087.45",8.6%,363,0
,102004610,"Crop Development and
management","524,843,912.00","45,190,824.55","479,653,087.45",8.6%,363,0
,108004610,,0,0,0,0.0%,363,0
,103004610,"Livestock Resources
management and de-
velopment",0,0,0,0.0%,363,0
4618000200,,Livestock Production,"165,882,138.00",0,"165,882,138.00",0.0%,363,0
,112004610,,0,0,0,0.0%,363,0
,102004610,"Crop Development and
management","94,551,137.00",0,"94,551,137.00",0.0%,363,0
,103004610,"Livestock Resources
management and de-
velopment","71,331,001.00",0,"71,331,001.00",0.0%,363,0
4618000300,,Fisheries,"29,682,503.00",0,"29,682,503.00",0.0%,363,0
,104004610,"Fisheries development
and management","29,682,503.00",0,"29,682,503.00",0.0%,363,0
,111004610,,0,0,0,0.0%,363,0
4618000400,,veterinary Services,"61,891,447.00",0,"61,891,447.00",0.0%,363,0
,112004610,,0,0,0,0.0%,363,0
,103004610,"Livestock Resources
management and de-
velopment","61,891,447.00",0,"61,891,447.00",0.0%,363,0
4619000100,,"Health- Medical Ser-
vices","3,419,311,816.00","893,424,245.00","2,525,887,571.00",26.1%,363,0
,703004610,"Economic Policy and
County Planning",0,0,0,#DIV/0!,363,0
,401004610,"Preventive &Promotive
Health Services","981,400,000.00","205,189,234.80","776,210,765.20",20.9%,363,0
,403004610,"General Administra-
tion, Planning & Sup-
port Services","2,437,911,816.00","688,235,010.20","1,749,676,805.80",28.2%,363,0
4619000200,,Public Health,"343,898,184.00","28,786,446.00","315,111,738.00",8.4%,363,0
,404004610,,0,0,0,0.0%,363,0
,402004610,"Curative Health Ser-
vices","343,898,184.00","28,786,446.00","315,111,738.00",8.4%,363,0
4620000100,,"Land,Housing & Sur-
vey","59,227,117.00",0,"59,227,117.00",0.0%,363,0
,107004610,"Urban Mobility and
Transport",0,0,0,0.0%,363,0
,101004610,"General administra-
tion, planning and sup-
port services",0,0,0,0.0%,363,0
,102004610,"Crop Development and
management",0,0,0,0.0%,363,0
,106004610,"Housing Development
and Human Settlement",0,0,0,0.0%,363,0
,105004610,"Land Policy and Plan-
ning","59,227,117.00",0,"59,227,117.00",0.0%,363,0
4620000200,,Town Management,"243,368,217.00","44,854,235.00","198,513,982.00",18.4%,363,0
,105004610,"Land Policy and Plan-
ning",0,0,0,0.0%,363,0
,107004610,"Urban Mobility and
Transport","243,368,217.00","44,854,235.00","198,513,982.00",18.4%,364,0
4620000300,,Fiscal Planning,"149,074,666.00",0,"149,074,666.00",0.0%,364,0
,106004610,"Housing Development
and Human Settlement","149,074,666.00",0,"149,074,666.00",0.0%,364,0
4621000100,,ICT & E-Government,0,0,0,0.0%,364,0
,202004610,ICT Services,0,0,0,0.0%,364,0
,210004610,,0,0,0,0.0%,364,0
4622000100,,Tourism,"602,690,000.00","171,139,400.00","431,550,600.00",28.4%,364,0
,303004610,"Tourism Development
and Promotion","602,690,000.00","171,139,400.00","431,550,600.00",28.4%,364,0
,306004610,,0,0,0,0.0%,364,0
4622000200,,Wildlife,0,0,0,0.0%,364,0
,301004610,"General Administra-
tion and Support Ser-
vices",0,0,0,0.0%,364,0
,1003004610,,0,0,0,0.0%,364,0
4622000300,,"Trade, Industry",0,0,0,0.0%,364,0
,302004610,"Wildlife Conservation
and Security",0,0,0,0.0%,364,0
,301004610,"General Administra-
tion and Support Ser-
vices",0,0,0,0.0%,364,0
4622000400,,Cooperatives,0,0,0,0.0%,364,0
,301004610,"General Administra-
tion and Support Ser-
vices",0,0,0,0.0%,364,0
4622000500,,,0,0,0,0.0%,364,0
,301004610,"General Administra-
tion and Support Ser-
vices",0,0,0,0.0%,364,0
4623000100,,,"556,106,185.00","33,760,683.00","522,345,502.00",6.1%,364,0
,701004610,"General Administra-
tion, Planning and
Support Services","320,876,185.00","33,760,683.00","287,115,502.00",10.5%,364,0
,704004610,"Legislation and Repre-
sentation","235,230,000.00",0,"235,230,000.00",0.0%,364,0
4623000200,,,"407,179,034.00","23,671,700.00","383,507,334.00",5.8%,364,0
,701004610,"General Administra-
tion, Planning and
Support Services","407,179,034.00","23,671,700.00","383,507,334.00",5.8%,364,0
4623000300,,,"62,044,781.00",0,"62,044,781.00",0.0%,364,0
,701004610,"General Administra-
tion, Planning and
Support Services","62,044,781.00",0,"62,044,781.00",0.0%,364,0
4624000100,,,"179,253,822.00",0,"179,253,822.00",0.0%,364,0
,301004610,"General Administra-
tion and Support Ser-
vices","179,253,822.00",0,"179,253,822.00",0.0%,364,0
4624000200,,,"23,486,530.00",0,"23,486,530.00",0.0%,364,0
,301004610,"General Administra-
tion and Support Ser-
vices","23,486,530.00",0,"23,486,530.00",0.0%,364,0
4624000300,,,"7,189,648.00",0,"7,189,648.00",0.0%,364,0
