Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure",100,0
"Department of Agriculture, Livestock and Cooperative",,,,,,,,100,0
Agriculture,"Administration and
Support Service","104,551,581","483,705,728","44,500,000",0.00,42.6,0,100,0
,"Extension Service
and Exhibition","1,200,000",0.00,0.00,0.00,0,0,100,0
"Livestock Pro-
duction","Livestock Adminis-
tration","56,545,802","40,478,667","16,591,000",0.00,29.3,0,100,0
,"Livestock Produc-
tion","5,550,000",0.00,0.00,0.00,0,0,100,0
,Veterinary Service,"3,350,000","30,000,000",0.00,0.00,0,0,100,0
Fish Production,Fisheries Service,"200,000",0.00,0.00,0.00,0,0,100,0
Cooperative,"Cooperative Devel-
opment","600,000",0.00,0.00,0.00,0,0,100,0
,Sub Total,"171,997,383","554,184,395","61,091,000",0.00,35.5,0,100,0
"Department of Environment, Energy, Natural Resource and Wildlife Management",,,,,,,,100,0
"Environment
Service","Administration and
Support Service","59,243,025","80,000,000",0.00,0.00,0,0,100,0
,"Environment Man-
agement","1,100,000",0.00,0.00,0.00,0,0,100,0
,Natural Resource,"1,600,000",0.00,0.00,0.00,0,0,100,0
"Energy Develop-
ment Program","Energy Develop-
ment","1,205,000",0.00,0.00,0.00,0,0,100,0
,Sub-Total,"63,148,025","80,000,000",0.00,0.00,0,0,100,0
Department of Road and Transport,,,,,,,,100,0
Road,"Administration and
Support Service","37,906,400",0.00,"125,000",0.00,0.3,0,100,0
,Road,"2,417,200","250,000,000","1,000,000",0.00,41.4,0,100,0
,Sub-Total,"40,323,600","250,000,000","1,125,000",0.00,2.8,0,100,0
"Department of Trade, Tourism and Enterprise",,,,,,,,100,0
"Administration
and Support Ser-
vice","Administration
Support Service","75,447,996",0.00,0.00,0.00,0,0,100,0
Trade,Trade,"2,400,000","20,000,000",0.00,0.00,0,0,100,0
"Weight and Mea-
sure",Weight and Measure,"1,350,000",0.00,0.00,0.00,0,0,100,0
Tourism,Tourism,"802,259",0.00,0.00,0.00,0,0,100,0
,Sub- Total,"80,000,255","20,000,000",0.00,0.00,0,0,100,0
Department of Health and Sanitation,,,,,,,,100,0
"Administration
and Support Ser-
vice","Administration and
Support Service","2,260,062,603",0.00,"881,010,000",0.00,39.0,0,100,0
Curative Service,Curative,"151,267,750","389,729,405","127,000,000",0.00,84.0,0,100,0
