Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
County Assembly,,,,,,159,1
"Legislation and Oversight
services",,"780,400,000",-,"780,400,000",-,159,1
,"Legislation and Over-
sight services","780,400,000",-,"780,400,000",-,159,1
Representation services,,"153,500,000",-,"153,500,000",-,159,1
,"Representation
services","153,500,000",-,"153,500,000",-,159,1
"General Administration
and support services",,"567,798,533",-,"567,798,533",-,160,0
,"General Adminis-
tration and support
services","567,798,533",-,"567,798,533",-,160,0
,Sub-Total,"1,501,698,533",-,"1,501,698,533",-,160,0
County Executive,,,,,,160,0
"General Administration and
Support Services",,"282,967,488","47,195,226","235,772,262",16.7,160,0
,"General Adminis-
tration Planning and
Support Services","282,967,488","47,195,226","235,772,262",16.7,160,0
Representation services,,"58,613,503",-,"58,613,503",-,160,0
,"Representation
services","58,613,503",-,"58,613,503",-,160,0
,Sub-Total,"341,580,991","47,195,226","294,385,765",13.8,160,0
County Public Service Board,,,,,,160,0
"Leadership and Admin of HR
Management and Development
in County Public Service",,"78,096,211","4,312,580","73,783,631",5.5,160,0
,"Human Resource
development and
management services","78,096,211","4,312,580","73,783,631",5.5,160,0
,Sub-Total,"78,096,211","4,312,580","73,783,631",5.5,160,0
Finance & Economic Planning & ICT,,,,,,160,0
"Public Finance Management
and Economic Policy and
Strategy",,"1,616,116,344","276,738,084","1,339,378,260",17.1,160,0
,"General Adminis-
tration and support
services","1,373,851,722","248,579,342","1,125,272,380",18.1,160,0
,"financial manage-
ment services","225,764,622","27,278,996","198,485,626",12.1,160,0
,"Economic planning
services","16,500,000","879,746","15,620,254",5.3,160,0
,Sub-Total,"1,616,116,344","276,738,084","1,339,378,260",17.1,160,0
Administration & Public Service,,,,,,160,0
"Admin & Co-ord of county
affairs, HR Dev, Mngt, Capacity
Building",,"19,121,529","1,346,200","17,775,329",7.0,160,0
,"Human resource
development and
management","19,121,529","1,357,200","17,764,329",7.1,160,0
"General Administration
Planning and Support Services",,"847,866,814","120,908,209","726,958,605",14.3,160,0
,"General Adminis-
tration Planning and
Support Services","847,866,814","120,908,209","726,958,605",14.3,160,0
,Sub-Total,"866,988,343","122,254,409","744,733,934",14.1,160,0
Agriculture and Crop Production,,,,,,160,0
"Crop, Livestock and Fisheries
Development and Management",,"1,350,941,384","194,474,101","1,156,467,283",14.4,160,0
,"General adminis-
tration and support
services","40,708,416","473,450","40,234,966",1.2,161,0
,"Livestock resource
management and
development","517,454,081","86,703,989","430,750,092",16.8,161,0
,"Fisheries Develop-
ment","15,000,000",-,"15,000,000",-,161,0
,"Crop production and
management","777,778,887","107,296,662","670,482,225",13.8,161,0
,Sub-Total,"1,350,941,384","194,474,101","1,156,467,283",14.4,161,0
"Water, Environment & Natural Resources",,,,,,161,0
"Water Resources Mngt,
Environment Protection and
Conservation",,"310,580,000",-,"310,580,000",-,161,0
,"Environmental &
Solid Waste manage-
ment","94,580,000",-,"94,580,000",-,161,0
,"Water Resource
Management and
Sanitation","191,000,000",-,"191,000,000",-,161,0
,"Natural Resources
Conservation and
Management","15,000,000",-,"15,000,000",-,161,0
,"Renewable Energy
and Climate Change","10,000,000",-,"10,000,000",-,161,0
"General Administration
and Support Services",,"341,523,466","47,763,414","293,760,052",14.0,161,0
,"General Adminis-
tration & Support
Services","341,523,466","47,763,414","293,760,052",14.0,161,0
,Sub-Total,"652,103,466","47,763,414","604,340,052",7.3,161,0
Health Services,,,,,,161,0
Health curative services,,"603,006,904",-,"603,006,904",-,161,0
,"Health curative
services","603,006,904",-,"603,006,904",-,161,0
"General Administration
and Support Services",,"4,131,533,024","1,016,141,129","3,115,391,895",24.6,161,0
,"General Adminis-
tration and Support
Services","4,131,533,024","1,016,141,129","3,115,391,895",24.6,161,0
Community Health Services,,"482,616,764","3,999,225","478,617,539",0.8,161,0
,"Community Health
Services","482,616,764","3,999,225","478,617,539",0.8,161,0
"County Hospital
Infrastructure",,"382,919,716",-,"382,919,716",-,161,0
,"County Hospital
Infrastructure","382,919,716",-,"382,919,716",-,161,0
"County Pharmaceutical
Services",,"96,000,000",-,"96,000,000",-,161,0
,"Pharmaceutical and
Non-Pharmaceutical
supplies","96,000,000",-,"96,000,000",-,161,0
,Sub-Total,"5,696,076,408","1,020,140,354","4,675,936,054",17.9,161,0
"Education, Culture & Social Services",,,,,,162,0
"Pre-primary education Promo-
tion of Culture; ICT and Social
Services",,"432,007,975","338,400","431,669,575",0.1,162,0
,"Pre-primary educa-
tion and youth poly-
technics services","432,007,975","338,400","431,669,575",0.1,162,0
"General Administration
and Support Services",,"771,702,219","191,296,665","580,405,554",24.8,162,0
,"General Adminis-
tration and Support
Services","771,702,219","191,296,665","580,405,554",24.8,162,0
"Culture, Gender and
Social services",,"15,500,000",-,"15,500,000",-,162,0
,"Culture, Gender and
Social services","15,500,000",-,"15,500,000",-,162,0
,Sub-Total,"1,219,210,194","191,635,065","1,027,575,129",15.7,162,0
Youth & Sports,,,,,,162,0
"Development and Management
of Sports Facilities",,"161,245,280","18,797,518","142,447,762",11.7,162,0
,"Development and
Management of
Sports Facilities","161,245,280","18,797,518","142,447,762",11.7,162,0
Youth Empowerment,,"50,000,000",-,"50,000,000",-,162,0
,Youth Empowerment,"50,000,000",-,"50,000,000",-,162,0
"Promotion and
development of sports",,"75,538,853",,"75,538,853",-,162,0
,"Promotion and de-
velopment of sports","75,538,853",-,"75,538,853",-,162,0
,Sub-Total,"286,784,133","18,797,518","267,986,615",6.6,162,0
"Lands, Physical Planning & Housing",,,,,,162,0
"Land Management and Physical
Planning; & Housing Devel-
opment",,"482,707,046","16,672,197","466,034,849",3.5,162,0
,"Land Management
and Physical Plan-
ning","368,707,046","16,672,197","352,034,849",4.5,162,0
,"Housing Develop-
ment","114,000,000",-,"114,000,000",-,162,0
"Municipal Administration
& Urban Development",,"11,952,608","335,630","11,616,978",2.8,162,0
,"Municipal Admin-
istration and Urban
Development","11,952,608","335,630","11,616,978",2.8,162,0
,Sub-Total,"494,659,654","17,007,827","477,651,827",3.4,162,0
"Trade, Tourism, Industry & Co-Operative",,,,,,162,0
