Programme,Sub- Programme,"Approved Budget
(Ksh. Million)","Actual Payments
(Kshs. Million)","Variance
(Kshs. Million)","Absorption
(%)",page_number,table_index
3011 The Executive,"Governor's Affairs & Advisory Ser-
vices",160.0,5.2,0.0,3.3,305,0
,"Deputy Governor's Affairs & External
Relations",90.0,0.0,0.0,0.0,305,0
,"Cabinet Affairs, Policy Research and
Legal Services",80.5,0.0,0.0,0.0,305,0
,MV 2035 & E-Government,18.0,0.0,0.0,0.0,305,0
,Strategic Delivery Unit,36.5,0.0,0.0,0.0,305,0
"3013 County Public
Service Board",Administration Unit,150.0,11.0,0.0,7.3,305,0
"3014 Finance and Eco-
nomic Planning",Administration Unit,825.3,487.3,0.0,59.0,305,0
,Accounting Unit,30.2,6.4,0.0,21.2,305,0
,Planning and Monitoring Unit,39.0,7.4,0.0,19.0,305,0
"3015 Energy, Environ-
ment & Waste Man-
agement","Administration, Planning and Sup-
port Services",569.2,62.7,0.0,11.0,305,0
,Waste Management,75.2,0.0,0.0,0.0,305,0
,"Environmental Compliance and
Monitoring",127.0,0.0,0.0,0.0,305,0
,Climate Change,180.2,0.0,0.0,0.0,305,0
,Energy,93.3,0.0,0.0,0.0,305,0
"3016 Education, Infor-
mation Technology &
MV 2035","General Administration, Planning
and Support Services",349.6,48.3,0.0,13.8,305,0
,Education headquarters,104.2,0.0,0.0,0.0,305,0
,Childcare,117.5,0.0,0.0,0.0,305,0
,Elimu Fund,211.9,0.0,0.0,0.0,305,0
,"Information Technology Headquar-
ters",144.3,0.0,0.0,0.0,305,0
3017 Health Services,Administration Unit,"3,034.3",737.8,0.0,24.3,305,0
,Curative/Clinical Health Services,231.8,171.1,0.0,73.8,305,0
,"Preventive and Promotive Services
Unit",86.1,0.0,0.0,0.0,305,0
,Special Programs,51.8,0.0,0.0,0.0,305,0
"3018 Water, Sanitation
& Natural Resources",Administration unit,"1,063.6",5.5,0.0,0.5,305,0
,"Sanitation/Sewerage Services Head-
quarters",28.8,0.0,0.0,0.0,305,0
,Water Supply Headquarters,20.5,0.0,0.0,0.0,305,0
,Natural Resources,17.2,0.0,0.0,0.0,305,0
"3019 Youth, Gender,
Sports and Cultural
Affairs",Administration Unit,108.4,11.8,0.0,10.9,305,0
,Youth Empowerment,52.4,0.0,0.0,0.0,305,0
,"Gender Affairs and Disability Main-
streaming",77.0,0.0,0.0,0.0,305,0
,Sports Unit,474.1,0.0,0.0,0.0,305,0
,Sports development,30.5,0.0,0.0,0.0,305,0
,Cultural Affairs,17.6,0.0,0.0,0.0,305,0
,Public Recreation and Entertainment,0.0,0.0,0.0,0.0,305,0
"3020 Trade, Tourism &
Investment",Administration Unit,335.7,51.5,0.0,15.3,306,0
,Trade Development,163.8,0.0,0.0,0.0,306,0
,Development of Tourism,22.2,0.0,0.0,0.0,306,0
,"Investment Promotion and Products
Headquarters",0.0,0.0,0.0,-,306,0
,Ease of Doing Business-Headquarters,73.1,0.0,0.0,0.0,306,0
,"Development of County Industrial
Parks",235.2,0.0,0.0,0.0,306,0
"3021 Lands, Housing
and Physical Planning",Administration Unit,216.7,21.2,0.0,9.8,306,0
,Land Management Unit,23.6,0.0,0.0,0.0,306,0
,Physical planning,87.7,0.0,0.0,0.0,306,0
,Housing Development Unit,45.4,0.0,0.0,0.0,306,0
,Urban Renewal,296.8,0.0,0.0,0.0,306,0
"3022 Transport, In-
frastructure & Public
Works",Administration Unit,431.0,52.5,0.0,12.2,306,0
,Road and Transport Unit,474.9,14.8,0.0,3.1,306,0
,Works Unit,19.8,0.0,0.0,0.0,306,0
,"Transport Planning, Management and
Safety",38.8,0.0,0.0,0.0,306,0
,Mechanical Services,69.4,0.0,0.0,0.0,306,0
,"Safety, Risk Management and Rescue
Services",86.2,0.0,0.0,0.0,306,0
"3023 Agriculture,
Fisheries, Livestock
and Co-operatives",Administration Unit-Headquarters,157.1,22.3,0.0,14.2,306,0
,Crop Management Unit,110.1,0.0,0.0,0.0,306,0
,Livestock Unit,71.7,0.0,0.0,0.0,306,0
,Fisheries Unit-Headquarters,72.8,0.0,0.0,0.0,306,0
,Veterinary Services,51.2,0.0,0.0,0.0,306,0
,Co-operatives,22.1,0.0,0.0,0.0,306,0
"3026 Devolution &
Public Service Admin-
istration",Administration,764.9,114.8,0.0,15.0,306,0
,"Devolution and public service admin-
istration",20.6,0.0,0.0,0.0,306,0
,"County Administration and Decen-
tralised Services",83.5,0.0,0.0,0.0,306,0
,Public Service Reforms and Delivery,72.9,0.0,0.0,0.0,306,0
,Compliance and Enforcement,68.1,0.0,0.0,0.0,306,0
"3012 County Assem-
bly",General Administration and Planning,142.5,72.6,0.0,0.0,306,0
,"Legislation, Oversight and Represen-
tation",746.5,4.3,0.0,0.6,306,0
Grand Total,,"13,700.0","1,908.7","11,791.3",13.9,306,0
