Programme,Sub-Programme,Approved Estimates,col_3,"Actual Expenditure as of 30th
September 2022",col_5,Absorption Rate (%),col_7,page_number,table_index
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",411,0
County Assembly,,,,,,,,411,0
"County
Assembly",Legislation,"256,081,706.50",-,"37,281,690.65",-,14.6,-,411,0
,Oversight,"20,000,000",-,-,-,-,-,411,0
,"Staff Management
and Development","178,052,733.50","381,944,376","32,422,804.70",-,18.2,-,411,0
,Sub Total,"454,134,440","381,944,376","69,704,495.35",-,15.3,-,411,0
Governance and Administration,,,,,,,,411,0
"County
Executive","General
Administration,
Planning and
Services","133,320,880.50","4,750,000.00","2,403,546.45",-,1.8,-,411,0
,"The Office of the
Governor","70,568,482",-,"1,356,600.00",-,1.9,-,411,0
,"County Public Ser-
vice Board","31,325,515.50",-,-,-,-,-,411,0
,"Fire-fighting and di-
saster management","3,483,924",-,"90,000.00",-,2.6,-,411,0
,"Sub County Admin-
istration","48,828,523",-,"64,850.95",-,0.1,-,411,0
,"Human Resource
Management","15,997,439.50",-,-,-,-,-,411,0
,Sub-Total,"303,524,764.50","4,750,000.00","3,914,997.40",-,1.3,-,411,0
Finance and Economic Planning,,,,,,,,411,0
"Finance,
Planning
and Vision
2030",Financial Services,"7,080,429.50",-,"393,720.00",-,5.6,-,411,0
,"Administration,
Planning, Revenue
and Services","338,744,957.50","4,397,522.00","21,826,644.20",-,6.4,-,411,0
,Procurement,"3,627,315",-,"385,000.00",-,10.6,-,411,0
,Budget Services,"12,917,503.50",-,"4,133,900.00",-,32.0,-,411,0
,Internal Audit,"5,469,664.50",-,"1,853,340.00",-,33.9,-,411,0
,"Economic Planning
Services","21,472,963.00",-,"7,897,418.95",-,36.8,-,411,0
,Sub-Total,"389,312,833","4,397,522.50","36,490,023.15",-,9.4,-,411,0
"Agriculture, Food, Livestock and
Fisheries",,,,,,,,411,0
"Agricul-
ture, Live-
stock and
Fisheries",Administration,"39,067,552.00","7,859,395.00","320,511.35",-,0.8,-,411,0
,Veterinary Services,"9,433,351.50","10,280,237.00","80,100.00",-,0.8,-,411,0
,Crop Management,"71,000,042.00","182,091,618.50","144,729.00",-,0.2,-,411,0
,"Fisheries Develop-
ment and Manage-
ment","9,182,831.00","11,577,396.00","272,939.00",-,3.0,-,411,0
,Sub Total,"128,683,776.50","211,808,646.50","818,279.35",-,0.6,-,411,0
"Water, Irrigation, Environment
and Natural Resources",,,,,,,,411,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",412,0
"Water, En-
vironment
and Natural
Resources",Administration,"20,700,326.00",-,"124,450.00",-,0.6,-,412,0
,Water Services,"13,090,000.00","200,694,176.50","475,600.00",-,3.6,-,412,0
,Forestry,"1,985,000.00","500,375.00","570,300.00",-,28.7,-,412,0
,Sub Total,"35,775,326.00","201,194,551.50","1,170,350.00",-,3.3,-,412,0
"Education, Youth Affairs, Gen-
der and Social Services",,,,,,,,412,0
"Education,
Youth
Affairs,
Culture
and Social
Services","Administration
Services","127,558,077","2,001,254.00","359,000.00",-,0.3,-,412,0
,ECD programmes,"7,824,691.00","102,157,595.50","251,800.00",-,3.2,-,412,0
,"Youth Polytechnics,
Youth Training","3,121,792.00","25,148,814.50","299,000.00","8,000,000.00",9.6,31.8,412,0
,Sports,"11,031,804.50","30,994,313.50","149,000.00",-,1.4,-,412,0
,Social Resources,"5,714,792.50","22,592,707.50",-,-,-,-,412,0
,Culture,-,"22,592,707.50",-,"14,000,000.00",-,-,412,0
,Sub Total,"155,251,157.00","182,894,685.00","1,058,800.00","14,000,000.00",0.7,7.7,412,0
County Health Services,,,,,,,,412,0
"Health
Services","General
Administration
and Planning","769,899,353.00",-,"1,500,000.00",-,0.2,-,412,0
,"Curative healthcare
services","51,941,624.50","97,773,570.00","14,718,491.80",-,28.3,-,412,0
,"Preventive, Promo-
tive and Rehabili-
tative","43,077,948.00",-,"17,678,974.00",-,41.0,-,412,0
,"Facility Improve-
ment Fund","51,250,350.00",-,"1,250,000.00",-,2.4,-,412,0
,HIV Services,"11,744,270.00",-,"30,268.00",-,0.3,-,412,0
,TB Services,"38,223,375.50",-,-,-,-,-,412,0
,Nutrition Services,"30,289,268.00",-,"607,267.00",-,2.0,-,412,0
,"Environmental
Health Services","25,079,058.00",-,"850,000.00",-,3.4,-,412,0
,Sub Total,"1,021,505,247.00","97,773,570","36,635,000.80",-,3.6,-,412,0
"Lands, Physical Planning, Urban
Development and Housing",,,,,,,,412,0
"Depart-
ment of
lands,
physical
planning
and Hous-
ing",Physical Planning,"22,776,991.00","5,830,000.00","24,000,000.00",-,25.6,-,412,0
,"Land Survey and
Mapping","4,291,253.50","21,498,653.00",-,-,-,-,412,0
,Housing,"11,520,177.00","21,897,944.50",-,-,-,-,412,0
,,"Recurrent Expen-
diture","Development
Expenditure","Recurrent
Expenditure","Development
Expenditure","Recurrent
Expenditure","Develop-
ment Ex-
penditure",413,0
,"General Admin-
istration, Plan-
ning and Support
Services","45,016,315.00","23,565,581.50","306,000.00",-,0.7,-,413,0
,Sub Total,"83,604,736.50","72,792,179.00","3330,000.00",-,4.0,-,413,0
"Roads, Public Works, Energy
and Transport",,,,,,,,413,0
"Roads,
Public
Works and
Transport","General
Administration
Services","479,897.50",-,-,-,-,-,413,0
,"Road Development,
maintenance and
Management","38,502,361.00","380,374,480.50","4,012,170.00",-,10.4,-,413,0
,"County Govern-
ment Buildings
Services","313,620.50",-,-,-,-,-,413,0
