Programme,Sub-Programme,"Approved
Estimates
FY 2022/23
(Kshs.)","Actual Ex-
penditure Q1
FY 2022/23
(Kshs.)","Variance
(Kshs.)","Absorption
Rate (% )",page_number,table_index
,,A,B,C=A-B,D=B/A*100,57,1
County Assembly,,,,,,57,1
General Administration and Support Services,"General Administration and
Support Services","890,853,117","134,867,555","755,985,562",15.1,57,1
Legislation services,Legislation services,"7,785,000",,"7,785,000",0.0,57,1
Oversight,Oversight,"31,904,402",,"31,904,402",0.0,57,1
Representation and outreach services,"Representation and outreach
services","153,299,716",,"153,299,716",0.0,57,1
General Infrastructure,General Infrastructure,"41,359,406",,"41,359,406",0.0,57,1
Total,,"1,125,201,641","134,867,555","990,334,086",12.0,57,1
"Agriculture, Livestock & Cooperative",,,,,,57,1
"Programme 1: General Administration, planning and support services",,,,,,57,1
Administrative and Support Services,"S.P 1.1 Administrative and
Support Services","98,067,425",,"98,067,425",0.0,57,1
Human Resource Management and Development.,"S.P 1.2 Human Resource Man-
agement and Development.","324,105,980","72,727,804","251,378,176",22.4,57,1
,,A,B,C=A-B,D=B/A*100,58,0
"Policy, Legal and Regulatory Framework","S.P 1.3: Policy, Legal and Reg-
ulatory Framework","7,600,000",,"7,600,000",0.0,58,0
Planning and Financial Management,"S.P 1.4: Planning and Finan-
cial Management","11,615,043",,"11,615,043",0.0,58,0
Sector Coordination,S.P 1.5 Sector Coordination,"4,000,000",,"4,000,000",0.0,58,0
Leadership and Governance,"S.P 1.6: Leadership and Gov-
ernance","2,000,000",,"2,000,000",0.0,58,0
Sub- County Administrative Costs,"S.P 1.7 Sub-County Adminis-
trative Costs","21,600,000",,"21,600,000",0.0,58,0
Programme 2: Land and Crop Development and Management,,,,,,58,0
Agricultural extension and training services,"S.P 2.1: Agricultural extension
and training services",-,,,,58,0
Crop production and productivity,"S.P 2.2: Crop production and
productivity","179,970,400",,"179,970,400",0.0,58,0
"Soil rehabilitation, protection and conservation","SP 2.4 Soil rehabilitation, pro-
tection and conservation",-,,,,58,0
Value addition and Agro-processing,"SP 2. 5 Value addition and
Agro-processing","8,000,000",,"8,000,000",0.0,58,0
